naziv;nadredjena_ustanova;vrsta_ustanove;tip_financiranja;upisnik;adresa;mjesto;telefon;faks;e_mail;web;celnik
Prirodoslovno-matematički fakultet, Zagreb;Sveučilište u Zagrebu;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Horvatovac 102/a;Zagreb;(+385 1) 4606 010;(+385 1) 4606 013;dekanat@dekanat.pmf.hr;www.pmf.unizg.hr;dekan prof. dr. sc. Mirko Planinić
RIT Croatia, Dubrovnik;NA;Visoka škola;Privatno;Znanstvena ustanova i visoko učilište;Don Frana Bulića 6;Dubrovnik;(+385 20) 433 000;(+385 20) 433 001;ritcroatia@croatia.rit.edu;www.croatia.rit.edu;dekan mr. sc. Donald Hudspeth
RRIF Visoka škola za financijski menadžment, Zagreb;NA;Visoka škola;Privatno;Visoko učilište;Martićeva 29;Zagreb;(+385 1) 4699 735;(+385 1) 4699 736;visoka-skola@rrif.hr;www.visoka-skola-rrif.hr;dekanica mr. sc. Đurđica Jurić
Rudarsko-geološko-naftni fakultet, Zagreb;Sveučilište u Zagrebu;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Pierottijeva 6;Zagreb;(+385 1) 5535 700;(+385 1) 4836 051;dekan@rgn.unizg.hr;www.rgn.unizg.hr;dekan izv. prof. dr. sc. Vladislav Brkić
Stomatološki fakultet, Zagreb;Sveučilište u Zagrebu;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Gundulićeva 5;Zagreb;"(+385 1) 4802 111;4807 350";"(+385 1) 4830 804; 4807 367";dekanat@sfzg.hr;www.sfzg.unizg.hr;dekanica prof. dr. sc. Zrinka Tarle
Sveučilište  Josipa Jurja Strossmayera u Osijeku;NA;Sveučilište;Javno;Znanstvena ustanova i visoko učilište;Trg Sv. Trojstva 3;Osijek;(+385 31) 224 102;NA;rektorat@unios.hr;www.unios.hr;dekan prof. dr. sc. Vlado Guberac
Sveučilište Algebra (u osnivanju), Zagreb;NA;Sveučilište;Privatno;Visoko učilište;Ilica 242;Zagreb;(+385 1) 2222 182;(+385 1) 2222 183;info@racunarstvo.hr;www.algebra.hr;privremeni rektor prof. dr. sc. Slavko Krajcar
Sveučilište Josipa Jurja Strossmayera u Osijeku - Odjel za matematiku;Sveučilište  Josipa Jurja Strossmayera u Osijeku;Sveučilišni odjel;Javno;Znanstvena ustanova i visoko učilište;Trg Ljudevita Gaja 6;Osijek;(+385 31) 224 800;(+385 31) 224 801;math@mathos.hr;www.mathos.unios.hr;pročelnik Kristian Sabo
Sveučilište Jurja Dobrile u Puli;NA;Sveučilište;Javno;Znanstvena ustanova i visoko učilište;Zagrebačka ulica 30;Pula - Pola;(+385 52) 377 000;(+385 52) 216 416;ured@unipu.hr;www.unipu.hr;dekan prof. dr. sc. Alfio Barbieri
Muzička akademija, Zagreb;Sveučilište u Zagrebu;Umjetnička akademija;Javno;Znanstvena ustanova i visoko učilište;Trg Republike Hrvatske 12;Zagreb;(+385 1) 4810-200;(+385 1) 4872 380;"muza@muza.hr;dekanat@muza.hr";www.muza.unizg.hr;dekan Igor Lešnik
Pomorski fakultet, Rijeka;Sveučilište u Rijeci;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Studentska 2;Rijeka;(+385 51) 338 411;(+385 51) 336 755;dekanat@pfri.hr;www.pfri.uniri.hr;dekan dr. sc. Alen Jugović
Pomorski fakultet, Split;Sveučilište u Splitu;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Ruđera Boškovića 37;Split;(+385 21) 619 399;(+385 21) 619 499;dekan@pfst.hr;www.pfst.unist.hr;dekan prof. dr. sc. Pero Vidan
Poslovno veleučilište Zagreb;NA;Veleučilište;Privatno;Visoko učilište;Ulica grada Vukovara 68;Zagreb;"(+385 1) 6310 844; 6310 888";(+385 1) 6310 628;pvzg@pvzg.hr;www.pvzg.hr;dekan dr. sc. Lukša Lulić
Pravni fakultet, Osijek;Sveučilište  Josipa Jurja Strossmayera u Osijeku;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Ulica Stjepana Radića 13;Osijek;(+385 31) 224 500;(+385 31) 224 540;ured@zakon.pravos.hr;www.pravos.unios.hr;dekan izv. prof. dr. sc. Tunjica Petrašević
Pravni fakultet, Rijeka;Sveučilište u Rijeci;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Hahlić 6;Rijeka;(+385 51) 359 500;NA;dekanat@pravri.hr;www.pravri.uniri.hr;dekanica prof. dr. sc. Vesna Crnić-Grotić
Pravni fakultet, Split;Sveučilište u Splitu;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Ulica Domovinskog rata 8;Split;(+385 21) 393 555;(+385 21 393 597);dekanat@pravst.hr;www.pravst.unist.hr;dekan izv. prof. dr. sc. Ratko Brnabić
Pravni fakultet, Zagreb;Sveučilište u Zagrebu;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Trg Republike Hrvatske  14;Zagreb;(+385 1) 4564 309;(+385 1) 4564 030;dekanat@pravo.hr;www.pravo.unizg.hr;dekan prof. dr. sc. Ivan Koprić
Prehrambeno-biotehnološki fakultet;Sveučilište u Zagrebu;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Pierottijeva 6;Zagreb;(+385 1) 4605 000;(+385 1) 4836 083;dekan@pbf.hr;www.pbf.unizg.hr;dekanica dr. sc. Jadranka Frece
Prehrambeno-tehnološki fakultet, Osijek;Sveučilište  Josipa Jurja Strossmayera u Osijeku;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Franje Kuhača 18;Osijek;(+385 31) 224 300;(+385 31) 207 115;office@ptfos.hr;www.ptfos.unios.hr;dekan prof. dr. sc. Jurislav Babić
Prirodoslovno-matematički fakultet, Split;Sveučilište u Splitu;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Ruđera Boškovića 33;Split;(+385 21) 619 222;(+385 1) 619 227;dekanat@pmfst.hr;www.pmfst.unist.hr;dekan prof. dr. sc. Nikola Koceić Bilan
Prirodoslovno-matematički fakultet, Zagreb;Sveučilište u Zagrebu;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Horvatovac 102/a;Zagreb;(+385 1) 4606 010;(+385 1) 4606 013;dekanat@dekanat.pmf.hr;www.pmf.unizg.hr;dekan prof. dr. sc. Mirko Planinić
RIT Croatia, Dubrovnik;NA;Visoka škola;Privatno;Znanstvena ustanova i visoko učilište;Don Frana Bulića 6;Dubrovnik;(+385 20) 433 000;(+385 20) 433 001;ritcroatia@croatia.rit.edu;www.croatia.rit.edu;dekan mr. sc. Donald Hudspeth
RRIF Visoka škola za financijski menadžment, Zagreb;NA;Visoka škola;Privatno;Visoko učilište;Martićeva 29;Zagreb;(+385 1) 4699 735;(+385 1) 4699 736;visoka-skola@rrif.hr;www.visoka-skola-rrif.hr;dekanica mr. sc. Đurđica Jurić
Rudarsko-geološko-naftni fakultet, Zagreb;Sveučilište u Zagrebu;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Pierottijeva 6;Zagreb;(+385 1) 5535 700;(+385 1) 4836 051;dekan@rgn.unizg.hr;www.rgn.unizg.hr;dekan izv. prof. dr. sc. Vladislav Brkić
Stomatološki fakultet, Zagreb;Sveučilište u Zagrebu;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Gundulićeva 5;Zagreb;"(+385 1) 4802 111;4807 350";"(+385 1) 4830 804; 4807 367";dekanat@sfzg.hr;www.sfzg.unizg.hr;dekanica prof. dr. sc. Zrinka Tarle
Sveučilište  Josipa Jurja Strossmayera u Osijeku;NA;Sveučilište;Javno;Znanstvena ustanova i visoko učilište;Trg Sv. Trojstva 3;Osijek;(+385 31) 224 102;NA;rektorat@unios.hr;www.unios.hr;dekan prof. dr. sc. Vlado Guberac
Sveučilište Algebra (u osnivanju), Zagreb;NA;Sveučilište;Privatno;Visoko učilište;Ilica 242;Zagreb;(+385 1) 2222 182;(+385 1) 2222 183;info@racunarstvo.hr;www.algebra.hr;privremeni rektor prof. dr. sc. Slavko Krajcar
Sveučilište Josipa Jurja Strossmayera u Osijeku - Odjel za matematiku;Sveučilište  Josipa Jurja Strossmayera u Osijeku;Sveučilišni odjel;Javno;Znanstvena ustanova i visoko učilište;Trg Ljudevita Gaja 6;Osijek;(+385 31) 224 800;(+385 31) 224 801;math@mathos.hr;www.mathos.unios.hr;pročelnik Kristian Sabo
Sveučilište Jurja Dobrile u Puli;NA;Sveučilište;Javno;Znanstvena ustanova i visoko učilište;Zagrebačka ulica 30;Pula - Pola;(+385 52) 377 000;(+385 52) 216 416;ured@unipu.hr;www.unipu.hr;dekan prof. dr. sc. Alfio Barbieri
Sveučilište Sjever, Koprivnica;NA;Sveučilište;Javno;Znanstvena ustanova i visoko učilište;Trg dr. Žarka Dolinara 1;Koprivnica;(+385 48) 240 294;(+385 48) 240 295;info@unin.hr;http://www.unin.hr;rektor prof. dr. sc. Marin Milković
Sveučilište u Dubrovniku;NA;Sveučilište;Javno;Znanstvena ustanova i visoko učilište;Branitelja Dubrovnika 29;Dubrovnik;(+385 20) 445 700;(+385 20) 435 590;rektoratdu@unidu.hr;www.unidu.hr;rektor dr. sc. Nikša Burum
Sveučilište u Osijeku - Odjel za biologiju;Sveučilište  Josipa Jurja Strossmayera u Osijeku;Sveučilišni odjel;Javno;Znanstvena ustanova i visoko učilište;Cara Hadrijana 8/A;Osijek;(+385 31) 399 900;(+385 31) 399 939;info@biologija.unios.hr;www.biologija.unios.hr;pročelnica izv. prof. dr. sc. Tanja Žuna Pfeiffer
Sveučilište u Osijeku - Odjel za fiziku;Sveučilište  Josipa Jurja Strossmayera u Osijeku;Sveučilišni odjel;Javno;Znanstvena ustanova i visoko učilište;Trg Ljudevita Gaja 6;Osijek;(+385 31) 232 700;(+385 31) 232 701;ured@fizika.unios.hr;www.fizos.unios.hr;pročelnica dr. sc. Vanja Radolić
Sveučilište u Osijeku - Odjel za kemiju;Sveučilište  Josipa Jurja Strossmayera u Osijeku;Sveučilišni odjel;Javno;Znanstvena ustanova i visoko učilište;Cara Hadrijana 8/A;Osijek;(+385 31) 399 950;(+385 31) 399 969;info@kemija.unios.hr;www.kemija.unios.hr;pročelnica doc. dr. sc. Elvira Kovač-Andrić
Sveučilište u Rijeci;NA;Sveučilište;Javno;Znanstvena ustanova i visoko učilište;Trg braće Mažuranića 10;Rijeka;(+385 51) 406 500;(+385 51) 406 588;ured@uniri.hr;www.uniri.hr;rektorica prof. dr. sc. Snježana Prijić-Samaržija
Sveučilište u Rijeci - Odjel za biotehnologiju;Sveučilište u Rijeci;Sveučilišni odjel;Javno;Znanstvena ustanova i visoko učilište;Radmile Matejčić 2;Rijeka;(+385 51) 584 550;(+385 51) 584 599;ured@biotech.uniri.hr;www.biotech.uniri.hr;pročelnica prof. dr. sc. Miranda Mladinić Pejatović
Sveučilište u Rijeci - Odjel za informatiku;Sveučilište u Rijeci;Sveučilišni odjel;Javno;Znanstvena ustanova i visoko učilište;Radmile Matejčić 2;Rijeka;(+385 51) 345 034;(+385 51) 345 207;ured@inf.uniri.hr;www.inf.uniri.hr;pročelnica prof. dr. sc. Patrizia Poščić
Sveučilište u Rijeci - Odjel za matematiku;Sveučilište u Rijeci;Sveučilišni odjel;Javno;Znanstvena ustanova i visoko učilište;Radmile Matejčić 2;Rijeka;(+385 51) 345 046, 050, 052;(+385 51) 345 207;math@math.uniri.hr;www.math.uniri.hr;pročelnik prof. dr. sc. Dean Crnković
Sveučilište u Rijeci, Odjel za fiziku;Sveučilište u Rijeci;Sveučilišni odjel;Javno;Znanstvena ustanova i visoko učilište;Radmile Matejčić 2;Rijeka;+385 51 584 600;+385 51 584 649;fizika@phy.uniri.hr;phy.uniri.hr;pročelnik dr. sc. Marin Karuza
Sveučilište u Slavonskom Brodu;NA;Sveučilište;Javno;Znanstvena ustanova i visoko učilište;Trg Ivane Brlić Mažuranić 2;Slavonski Brod;(+385 35) 446-188;(+385 35) 446-446;info@unisb.hr;www.unisb.hr;dekan prof. dr. sc. Ivan Samardžić
Sveučilište u Splitu;NA;Sveučilište;Javno;Znanstvena ustanova i visoko učilište;Ruđera Boškovića 31;Split;(+385 21) 558 200;(+385 21) 348 163;rektorat@unist.hr;www.unist.hr;dekan prof. dr. sc. Dragan Ljutić
Sveučilište u Splitu Sveučilišni odjel za forenzične znanosti;Sveučilište u Splitu;Sveučilišni odjel;Javno;Visoko učilište;Ruđera Boškovića 31;Split;(+385 21) 510 180;(+385 21) 510 180;forenzika@unist.hr;forenzika.unist.hr;pročelnik dr. sc. Damir Piplica
Sveučilište u Splitu Sveučilišni odjel za stručne studije;Sveučilište u Splitu;Sveučilišni odjel;Javno;Visoko učilište;Kopilica 5;Split;(+385 21) 348 900, 346 886;(+385 21) 348 900, 339 369;procelnika@oss.unist.hr;http://www.oss.unist.hr;pročelnik dr. sc. Petar Pepur
Sveučilište u Splitu Sveučilišni odjel za studije mora;Sveučilište u Splitu;Sveučilišni odjel;Javno;Visoko učilište;Ruđera Boškovića 37;Split;(+385 21) 510 193;(+385 21) 510 190;maja.krzelj@unist.hr;http://more.unist.hr;pročelnica doc. dr. sc. Maja Krželj
Sveučilište u Splitu Sveučilišni odjel zdravstvenih studija;Sveučilište u Splitu;Sveučilišni odjel;Javno;Visoko učilište;Ulica Ruđera Boškovića 35;Split;"(+385 21) 564 800; 806; 807";(+385 21) 564 819;ured@ozs.unist.hr;http://ozs.unist.hr;dekan red. prof. dr. sc. Stipan Janković
Sveučilište u Zadru;NA;Sveučilište;Javno;Znanstvena ustanova i visoko učilište;Ul. Mihovila Pavlinovića 1;Zadar;"(+385 23) 200 501; (+385 23) 200 580";(+385 23) 316 882;rektorat@unizd.hr;www.unizd.hr;rektorica prof. dr. sc. Dijana Vican
Sveučilište u Zagrebu;NA;Sveučilište;Javno;Znanstvena ustanova i visoko učilište;Trg Republike Hrvatske 14;Zagreb;"(+385 1) 4564 111; 4564 233; 255";"(+385 1) 4830 602; 4564 108";"unizginfo@unizg.hr; rector@unizg.hr";www.unizg.hr;dekan prof. dr. sc. Damir Boras
Sveučilište VERN, Zagreb;NA;Sveučilište;Privatno;Visoko učilište;Trg Drage Iblera 10;Zagreb;(+385 1) 4881 820;(+385 1) 4881 830;rektorat@vern.hr;www.vern.hr;dekan prof. dr. sc. Vlatko Cvrtila
Tehnički fakultet, Rijeka;Sveučilište u Rijeci;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Vukovarska 58;Rijeka;(+385 51) 651 444;(+385 51) 675 818;dekanat@riteh.hr;www.riteh.uniri.hr;dekan prof. dr. sc. Duško Pavletić
Tehničko veleučilište u Zagrebu;NA;Veleučilište;Javno;Znanstvena ustanova i visoko učilište;Vrbik 8;Zagreb;(+385 1) 5603 900;(+385 1) 5603 999;tvz@tvz.hr;www.tvz.hr;dekanica dr. sc. Jana Žiljak Gršić
Tekstilno-tehnološki fakultet, Zagreb;Sveučilište u Zagrebu;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Prilaz baruna Filipovića 28a;Zagreb;(+385 1) 3712-500;NA;fakultet@ttf.hr;www.ttf.unizg.hr;v.d. dekanica izv. prof. dr. sc. Anica Hursa Šajatović
Učiteljski fakultet, Rijeka;Sveučilište u Rijeci;Fakultet;Javno;Visoko učilište;Sveučilišna avenija 6;Rijeka;(+385 51) 265 800;(+385 51) 584 999;dekanat@ufri.hr;www.ufri.uniri.hr;dekanica dr. sc. Lidija Vujičić
Učiteljski fakultet, Zagreb;Sveučilište u Zagrebu;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Savska cesta 77;Zagreb;(+385 1) 6327-301, 6327-300;(+385 1) 6177 860;dekanat@ufzg.hr;www.ufzg.unizg.hr;dekan dr. sc. Siniša Opić
Umjetnička akademija, Split;Sveučilište u Splitu;Umjetnička akademija;Javno;Znanstvena ustanova i visoko učilište;Zagrebačka 3;Split;(+385 21) 360 178;(+385 21) 344 043;office@umas.hr;www.umas.unist.hr;dekan izv. prof. Edvin Dragičević
"Veleučilište ""Lavoslav Ružička"" u Vukovaru";NA;Veleučilište;Javno;Visoko učilište;Županijska 50;Vukovar;(+385 32) 444 688;(+385 32) 444 686;dekanat@vevu.hr;www.vevu.hr;dekan dr. sc. Željko Sudarić
"Veleučilište ""Marko Marulić"", Knin";NA;Veleučilište;Javno;Visoko učilište;Kralja Petra Krešimira IV br. 30;Knin;"(+385 22) 664 450; 664 459";(+385 22) 661 374;"referada@veleknin.hr; info@veleknin.hr";www.veleknin.hr;dekanica Lovorka Blažević
"Veleučilište ""Nikola Tesla"" u Gospiću";NA;Veleučilište;Javno;Visoko učilište;Ulica bana Ivana Karlovića 16;Gospić;(+385 53) 676 321;(+385 53) 573 076;ured.dekana@velegs-nikolatesla.hr;www.velegs-nikolatesla.hr;dekanica dr. sc. Vlatka Ružić
Veleučilište Hrvatsko zagorje Krapina;NA;Veleučilište;Javno;Visoko učilište;Šetalište Hrvatskog  narodnog preporoda 6;Krapina;(+385 49) 382 125;(+385 49) 382 125;"tajnik@vhzk.hr;nsikirica@vhz.hr";www.vhzk.hr;dekan dr. sc. Nenad Sikirica
Veleučilište s pravom javnosti Baltazar Zaprešić;NA;Veleučilište;Privatno;Visoko učilište;Vladimira Novaka 23;Zaprešić;"(+385 1) 3355 477; 4002 782";(+385 1) 3355 480;tajnistvo@bak.hr;www.bak.hr;dekan dr. sc. Ivan Ružić
Sveučilište u Slavonskom Brodu;NA;Sveučilište;Javno;Znanstvena ustanova i visoko učilište;Trg Ivane Brlić Mažuranić 2;Slavonski Brod;(+385 35) 446-188;(+385 35) 446-446;info@unisb.hr;www.unisb.hr;dekan prof. dr. sc. Ivan Samardžić
Sveučilište u Splitu;NA;Sveučilište;Javno;Znanstvena ustanova i visoko učilište;Ruđera Boškovića 31;Split;(+385 21) 558 200;(+385 21) 348 163;rektorat@unist.hr;www.unist.hr;dekan prof. dr. sc. Dragan Ljutić
Sveučilište u Splitu Sveučilišni odjel za forenzične znanosti;Sveučilište u Splitu;Sveučilišni odjel;Javno;Visoko učilište;Ruđera Boškovića 31;Split;(+385 21) 510 180;(+385 21) 510 180;forenzika@unist.hr;forenzika.unist.hr;pročelnik dr. sc. Damir Piplica
Sveučilište u Splitu Sveučilišni odjel za stručne studije;Sveučilište u Splitu;Sveučilišni odjel;Javno;Visoko učilište;Kopilica 5;Split;(+385 21) 348 900, 346 886;(+385 21) 348 900, 339 369;procelnika@oss.unist.hr;http://www.oss.unist.hr;pročelnik dr. sc. Petar Pepur
Sveučilište u Splitu Sveučilišni odjel za studije mora;Sveučilište u Splitu;Sveučilišni odjel;Javno;Visoko učilište;Ruđera Boškovića 37;Split;(+385 21) 510 193;(+385 21) 510 190;maja.krzelj@unist.hr;http://more.unist.hr;pročelnica doc. dr. sc. Maja Krželj
Sveučilište u Splitu Sveučilišni odjel zdravstvenih studija;Sveučilište u Splitu;Sveučilišni odjel;Javno;Visoko učilište;Ulica Ruđera Boškovića 35;Split;"(+385 21) 564 800; 806; 807";(+385 21) 564 819;ured@ozs.unist.hr;http://ozs.unist.hr;dekan red. prof. dr. sc. Stipan Janković
Sveučilište u Zadru;NA;Sveučilište;Javno;Znanstvena ustanova i visoko učilište;Ul. Mihovila Pavlinovića 1;Zadar;"(+385 23) 200 501; (+385 23) 200 580";(+385 23) 316 882;rektorat@unizd.hr;www.unizd.hr;rektorica prof. dr. sc. Dijana Vican
Sveučilište u Zagrebu;NA;Sveučilište;Javno;Znanstvena ustanova i visoko učilište;Trg Republike Hrvatske 14;Zagreb;"(+385 1) 4564 111; 4564 233; 255";"(+385 1) 4830 602; 4564 108";"unizginfo@unizg.hr; rector@unizg.hr";www.unizg.hr;dekan prof. dr. sc. Damir Boras
Sveučilište VERN, Zagreb;NA;Sveučilište;Privatno;Visoko učilište;Trg Drage Iblera 10;Zagreb;(+385 1) 4881 820;(+385 1) 4881 830;rektorat@vern.hr;www.vern.hr;dekan prof. dr. sc. Vlatko Cvrtila
Tehnički fakultet, Rijeka;Sveučilište u Rijeci;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Vukovarska 58;Rijeka;(+385 51) 651 444;(+385 51) 675 818;dekanat@riteh.hr;www.riteh.uniri.hr;dekan prof. dr. sc. Duško Pavletić
Tehničko veleučilište u Zagrebu;NA;Veleučilište;Javno;Znanstvena ustanova i visoko učilište;Vrbik 8;Zagreb;(+385 1) 5603 900;(+385 1) 5603 999;tvz@tvz.hr;www.tvz.hr;dekanica dr. sc. Jana Žiljak Gršić
Tekstilno-tehnološki fakultet, Zagreb;Sveučilište u Zagrebu;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Prilaz baruna Filipovića 28a;Zagreb;(+385 1) 3712-500;NA;fakultet@ttf.hr;www.ttf.unizg.hr;v.d. dekanica izv. prof. dr. sc. Anica Hursa Šajatović
Učiteljski fakultet, Rijeka;Sveučilište u Rijeci;Fakultet;Javno;Visoko učilište;Sveučilišna avenija 6;Rijeka;(+385 51) 265 800;(+385 51) 584 999;dekanat@ufri.hr;www.ufri.uniri.hr;dekanica dr. sc. Lidija Vujičić
Učiteljski fakultet, Zagreb;Sveučilište u Zagrebu;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Savska cesta 77;Zagreb;(+385 1) 6327-301, 6327-300;(+385 1) 6177 860;dekanat@ufzg.hr;www.ufzg.unizg.hr;dekan dr. sc. Siniša Opić
Umjetnička akademija, Split;Sveučilište u Splitu;Umjetnička akademija;Javno;Znanstvena ustanova i visoko učilište;Zagrebačka 3;Split;(+385 21) 360 178;(+385 21) 344 043;office@umas.hr;www.umas.unist.hr;dekan izv. prof. Edvin Dragičević
"Veleučilište ""Lavoslav Ružička"" u Vukovaru";NA;Veleučilište;Javno;Visoko učilište;Županijska 50;Vukovar;(+385 32) 444 688;(+385 32) 444 686;dekanat@vevu.hr;www.vevu.hr;dekan dr. sc. Željko Sudarić
"Veleučilište ""Marko Marulić"", Knin";NA;Veleučilište;Javno;Visoko učilište;Kralja Petra Krešimira IV br. 30;Knin;"(+385 22) 664 450; 664 459";(+385 22) 661 374;"referada@veleknin.hr; info@veleknin.hr";www.veleknin.hr;dekanica Lovorka Blažević
"Veleučilište ""Nikola Tesla"" u Gospiću";NA;Veleučilište;Javno;Visoko učilište;Ulica bana Ivana Karlovića 16;Gospić;(+385 53) 676 321;(+385 53) 573 076;ured.dekana@velegs-nikolatesla.hr;www.velegs-nikolatesla.hr;dekanica dr. sc. Vlatka Ružić
Veleučilište Hrvatsko zagorje Krapina;NA;Veleučilište;Javno;Visoko učilište;Šetalište Hrvatskog  narodnog preporoda 6;Krapina;(+385 49) 382 125;(+385 49) 382 125;"tajnik@vhzk.hr;nsikirica@vhz.hr";www.vhzk.hr;dekan dr. sc. Nenad Sikirica
Veleučilište s pravom javnosti Baltazar Zaprešić;NA;Veleučilište;Privatno;Visoko učilište;Vladimira Novaka 23;Zaprešić;"(+385 1) 3355 477; 4002 782";(+385 1) 3355 480;tajnistvo@bak.hr;www.bak.hr;dekan dr. sc. Ivan Ružić
Veleučilište u Bjelovaru;NA;Veleučilište;Privatno;Visoko učilište;Trg Eugena Kvaternika 4;Bjelovar;(+385 43) 241 191;(+385 43) 241 202;info@vub.hr;www.vub.hr;dekanica dr. sc. Zrinka Puharić
Veleučilište u Karlovcu;NA;Veleučilište;Javno;Znanstvena ustanova i visoko učilište;Trg Josipa Jurja Strossmayera 9;Karlovac;(+385 47) 843 500;(+385 47) 843 503;dekanat@vuka.hr;www.vuka.hr;v.d. dekan Ivan Štedul
Veleučilište u Požegi;NA;Veleučilište;Javno;Visoko učilište;Vukovarska 17;Požega;(+385 34)  311 460;(+385 34) 271 008;ured@vup.hr;www.vup.hr;dekan prof. dr. sc. Borislav Miličević
Veleučilište u Rijeci;NA;Veleučilište;Javno;Visoko učilište;Trpimirova 2/V;Rijeka;(+385 51) 321 300;(+385 51) 211 270;ured@veleri.hr;www.veleri.hr;dekan dr. sc. Saša Hirnig
Veleučilište u Šibeniku;NA;Veleučilište;Javno;Visoko učilište;Trg Andrije Hebranga 11;Šibenik;(+385 22) 311 060;(+385 22) 216 716;dekanat@vus.hr;www.vus.hr;dekan dr. sc. Ljubo Runjić
Veleučilište u Virovitici;NA;Veleučilište;Javno;Visoko učilište;Ulica Matije Gupca 78;Virovitica;(+385 33) 721 099;(+385 33) 721 037;info@vuv.hr;www.vuv.hr;v.d. dekanica dr. sc. Irena Bosnić
Veleučilište Velika Gorica;NA;Veleučilište;Privatno;Visoko učilište;Zagrebačka 5;Velika Gorica;(+385 1) 6222 501;(+385 1) 6222 301;info@vvg.hr;www.vvg.hr;dekan mr. sc. Ivan Toth
Veterinarski fakultet, Zagreb;Sveučilište u Zagrebu;Fakultet;Javno;Znanstvena ustanova i visoko učilište;Heinzelova 55;Zagreb;"(+385 1) 2390 111; 2390 106";(+385 1) 2441 390;"fakultet@vef.hr; info@vet.hr;nenad.turk@vef.hr";www.vef.unizg.hr;dekan prof. dr. sc. Nenad Turk
Visoka poslovna škola PAR, Rijeka;NA;Visoka škola;Privatno;Visoko učilište;Trg riječke rezolucije 4;Rijeka;(+385 51) 327 037;(+385 51) 327 305;info@par.hr;www.par.hr;dekanica dr. sc. Gordana Nikolić
Visoka škola Ivanić-Grad;NA;Visoka škola;Privatno;Visoko učilište;Moslavačka ulica 13;Ivanić-Grad;(+385 1) 2016 841;NA;info@vsig.hr;www.vsig.hr;dekan dr. sc. Mile Marinčić
Visoka škola međunarodnih odnosa i diplomacije Dag Hammarskjöld, Zagreb;NA;Visoka škola;Privatno;Visoko učilište;Trg J. F. Kennedya 6B;Zagreb;(+385 1) 3700 666;(+385 1) 3700 405;tajnistvo@diplomacija.hr;www.diplomacija.hr;v.d. dekan Aleksandar Ostojić
Visoka škola SECURUS (u osnivanju);NA;Visoka škola;Privatno;Visoko učilište;Stoja 2;Pula - Pola;(+385 52) 386 155;(+385 52) 382 399;info@vs-securus.hr;www.vs-securus.hr;v.d. dekan Petar Vitas
Visoka škola za informacijske tehnologije, Zagreb;NA;Visoka škola;Privatno;Visoko učilište;Klaićeva 7;Zagreb;(385 1)  3764 200;(385 1) 3764 264;"dekanat@vsite.hr;referada@vsite.hr";www.vsite.hr;dekan Milan Davidović
Visoka škola za inspekcijski i kadrovski menadžment, Split;NA;Visoka škola;Privatno;Visoko učilište;Zrinsko Frankopanska 209;Split;(+385 21) 645 375;(+385 21) 382 124;"dekan@vsikmp.hr; referada@vsikmp.hr";www.vsikmp.hr;dekan dr. sc. Đorđe Nadrljanski
Visoka škola za menadžment i dizajn Aspira, Split;NA;Visoka škola;Privatno;Visoko učilište;Mike Tripala  6;Split;(+385 21) 323 077;(+385 21) 323 078;info@aspira.hr;www.aspira.hr;dekan Alen Jerkunica
Visoka škola za sigurnost s pravom javnosti, Zagreb;NA;Visoka škola;Privatno;Visoko učilište;Ivana Lučića 5;Zagreb;(+358 1) 6168 143;(+358 1) 6168 566;tajnistvo@vss.hr;www.vss.hr;dekan dr. sc. Nenad Kacian
Visoko evanđeosko teološko učilište, Osijek;NA;Visoka škola;Privatno;Visoko učilište;Cvjetkova 32, p.p.370;Osijek;(+385 31) 494 200;(+385 31) 494 201;info@evtos.hr;www.evtos.hr;dekan dr. sc. Peter Kuzmič
Visoko gospodarsko učilište u Križevcima;NA;Visoka škola;Javno;Znanstvena ustanova i visoko učilište;Milislava Demerca 1;Križevci;(+385 48) 681 597;(+385 48) 682 790;"dekan@vguk.hr; uprava@vguk.hr";www.vguk.hr;dekanica dr. sc. Marcela Andreata-Koren
Visoko učilište Algebra, Zagreb;NA;Visoka škola;Privatno;Znanstvena ustanova i visoko učilište;Ilica 242;Zagreb;(+385 1) 2222 182;(+385 1) 2222 183;info@racunarstvo.hr;www.racunarstvo.hr;dekan dr. sc. Mislav Balković
