naziv;opis;sifra;zupanija;adresa;mjesto;lokacija;ravnatelj;telefon;faks;e_mail;web
Glazbena škola Josipa Runjanina;Umjetnička škola;16-088-510;Vukovarsko-srijemska;H.D. Genschera 16E;32100  Vinkovci; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Dinka  Peti;032/550-367 , 032/550-350 , 032/550-365;032/550-367;ured@glazbena-jrunjanina-vk.skole.hr;www.runjanina.hr
Glazbena škola Jan Vlašimsky Virovitica;Osnovna škola, Srednja škola, Umjetnička škola;10-089-507;Virovitičko-podravska;ANTUNA MIHANOVIĆA 21;33000  Virovitica; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Damir  Mihaljević;033/721-804 , 033/721-910 , 033/721-805;NA;ured@gs-jvlasimsky-vt.skole.hr , glazbena@vlasimsky.hr , ravnatelj@vlasimsky.hr;NA
Osnovna škola Marije Jurić Zagorke;Osnovna škola, Umjetnička škola;01-094-003;Zagrebačka;BRDO 12A;10340  Vrbovec; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Edina  Operta;01/279-29-29, 279-29-39 , 01/279-29-29, 279-29-39;01/279-29-29;ured@os-mjzagorke-vrbovec.skole.hr;http://os-mjzagorke-vrbovec.skole.hr/
Osnovna škola Dragutina Tadijanovića;Osnovna škola, Umjetnička škola;16-096-002;Vukovarsko-srijemska;204.vukovarske brigade 24A;32000  Vukovar; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Lidija  Miletić;032/ 450-306 , 032/450-306;032/443 033;racunovodstvo@os-dtadijanovica-vu.skole.hr   , ravnateljica@os-dtadijanovica-vu.skole.hr   , tajnica@os-dtadijanovica-vu.skole.hr , skola@os-dtadijanovica-vu.skole.hr;http://www.os-dtadijanovica-vu.skole.hr/
Osnovna škola Ksavera Šandora Gjalskog;Osnovna škola, Umjetnička škola;02-097-001;Krapinsko-zagorska;ĐAČKI PUT 1;49210  Zabok; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Tomislav  Polanović;049/221-050 , 049/221-050 , 049/500-639 , 049/500641;049/223-623;ured@os-ksaver-sandor-djalski-zabok.skole.hr;NA
Škola za umjetnost, dizajn, grafiku i odjeću Zabok;Srednja škola, Umjetnička škola;02-097-502;Krapinsko-zagorska;Prilaz prof. Ivana Vrančića 5;49210  Zabok; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Božica  Šarić;049/221-620 , 049/221-174 , 049/221-205 , 049/221-169;049/221-147;ured@ss-sudigo-zabok.skole.hr;http://ss-sudigo-zabok.skole.hr
ŠKOLA PRIMIJENJENE UMJETNOSTI I DIZAJNA;Srednja škola, Umjetnička škola;13-107-516;Zadarska;PERIVOJ VLADIMIRA NAZORA 3/III;23000  Zadar; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Marjana  Bakmaz;023/212-228;023/224-053;spud.zd@skole.hr;NA
Osnovna glazbena škola SV. BENEDIKTA;Osnovna škola, Umjetnička škola;13-107-012;Zadarska;Madijevaca 10;23000  Zadar; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Igor  Cecić;023/251-419;NA;ogs.sv.benedikta@hi.t-com.hr , ogs.sv.benedikta@hotmail.com;http://ogs-svbenedikta-zd.skole.hr/
Glazbena škola Blagoje Bersa Zadar;Osnovna škola, Srednja škola, Umjetnička škola;13-107-521;Zadarska;Dr. Franje Tuđmana 24e;23000  Zadar; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Branka  Višić Karavida;"023 319-127 , 023/319-127; 300-099 , 023/300-098";023/315-757;gl-skola-blagoja-bersa-zd@zd.htnet.hr;http://www.glazbena-skola-zadar.hr
Glazbena škola Ladislav Račić;Osnovna škola, Srednja škola, Umjetnička škola;21-114-634;Grad Zagreb;Park Ribnjak 1;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ladislav  Račić;01 4818 592;NA;info@rock-akademija.hr;www.rock-akademija.hr
"Privatna glazbena škola ""Iva Kuprešak""";Osnovna škola, Srednja škola, Umjetnička škola;21-114-158;Grad Zagreb;Ljubijska ul. 82;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Kuprešak  Iva;099/352-0880;NA;ik2210@columbia.edu;NA
LATIDO glazbena škola;Umjetnička škola;21-114-604;Grad Zagreb;Palinovečka 19;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;NA;095 837 7151;NA;latido.hr@gmail.com;NA
GLAZBENA ŠKOLA BONAR;Osnovna škola, Srednja škola, Umjetnička škola;02-014-003;Grad Zagreb;DRAGE GERVAISA 13;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ružica  Gelo Ciglenečki;091/5681435;NA; ruzica.gelo-ciglenecki@bonar.hr , info@bonar.hr;NA
"Glazbena škola ""Muzički atelje""";Osnovna škola, Srednja škola, Umjetnička škola;21-114-630;Grad Zagreb;Harambašićeva 14;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Zdravko  Miladin;095/910-2412;NA;info@muzickiatelje.hr;NA
OSNOVNA GLAZBENA ŠKOLA SCHOLA MUSICA;Osnovna škola, Umjetnička škola;21-114-130;Grad Zagreb;Srebrnjak 66;10000  Zagreb; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ksenija  Burić;0915297219;NA;silvija@ogs-scholamusica.hr;NA
