naziv;nadredjena_ustanova;vrsta_ustanove;upisnik;adresa;mjesto;telefon;faks;e_mail;web;celnik
Hrvatski memorijalno-dokumentacijski centar Domovinskog rata;NA;NA;Znanstvena ustanova;Marulićev trg 21;Zagreb;(+385 1) 4828 268;(+385 1) 4828 221;centar@centardomovinskograta.hr;www.centardomovinskograta.hr;ravnatelj dr. sc. Ante Nazor
Hrvatski prirodoslovni muzej;NA;NA;Znanstvena ustanova;Demetrova 1;Zagreb;(+385 1) 4851-645, (+385 1) 4851-700;NA;hpm@hpm.hr;NA;ravnateljica dr. sc. Tatjana Vlahović
Hrvatski šumarski institut, Jastrebarsko;NA;NA;Znanstvena ustanova;Cvjetno naselje 41;Jastrebarsko;"(+385 1) 6273 000; (+385 1) 6281 492";NA;ured@sumins.hr;www.sumins.hr;ravnateljica doc. dr. sc. Sanja Perić
Hrvatski veterinarski institut, Zagreb;NA;NA;Znanstvena ustanova;Savska cesta 143;Zagreb;"(+385 1) 6190 845; (+385 1) 6123 666";NA;ured@veinst.hr;www.veinst.hr;ravnatelj dr. sc. Boris Habrun
Hrvatski zavod za javno zdravstvo;NA;NA;Znanstvena ustanova;Rockfellerova 7;Zagreb;(+385 1) 4683-001;NA;ravnatelj@hzjz.hr;www.hzjz.hr;ravnatelj dr. sc. Krunoslav Capak
Hrvatski zavod za transfuzijsku medicinu;NA;NA;Znanstvena ustanova;Petrova 3;Zagreb;(+385 1) 4600-333, (+385 1) 4633-283;NA;irena.jukic@hztm.hr;NA;ravnateljica dr. sc. Irena Jukić
Hrvatsko katoličko sveučilište, Zagreb;NA;Sveučilište;Znanstvena ustanova i visoko učilište;Ilica 242;Zagreb;(+385 1) 3706 600;(+385 1) 3706 601;"info@unicath.hr;rektorat@unicath.hr";www.unicath.hr;rektor dr. sc. Željko Tanjić
Imunološki zavod d.d.;NA;NA;Znanstvena ustanova;Rockefellerova 2;Zagreb;(+385 1) 6414-100, (+385 1) 6414-258;NA;"ured@imz.hr;zvijece@imz.hr";www.imz.hr;direktor mr. Davorin Gajnik
INA-Industrija nafte d.d.;NA;NA;Znanstvena ustanova;Avenija Većeslava Holjevca 10;Zagreb;(+385 1) 6450 000;(+385 1) 6452 100;ina-besplatni.telefon@ina.hr;http://www.ina.hr/;direktor Gabriel Račka
InfoDom d.o.o.;NA;NA;Znanstvena ustanova;A. Žaje 61, Zagreb;Zagreb;(+385 1) 3040-588;(+385 1) 3040-593;infodom@infodom.hr;www.infodom.hr;direktor dr. sc. Slavko Vidović
"Institut ""Ruđer Bošković"", Zagreb";NA;NA;Znanstvena ustanova;Bijenička cesta 54;Zagreb;(+385 1) 4561 111;NA;ravnatelj@irb.hr;www.irb.hr;ravnatelj dr. sc. David Matthew Smith
Institut društvenih znanosti Ivo Pilar, Zagreb;NA;NA;Znanstvena ustanova;Marulićev trg 19/I;Zagreb;(+385 1) 4886 800, (+385 1) 4886-817;NA;ured@pilar.hr;www.pilar.hr;ravnatelj prof. dr. sc. Željko Holjevac
INSTITUT IGH, d.d.;NA;NA;Znanstvena ustanova;Janka Rakuše 1;Zagreb;(+385 1) 6125-125;(+385 1) 6125 401;igh@igh.hr;www.igh.hr;direktor Oliver Kumrić
Institut prometa i veza,  Zagreb;NA;NA;Znanstvena ustanova;Kušlanova 2;Zagreb;(+385 1) 2300-146;(+385 1) 2333-595;ipv@ipv-zg.hr;www.ipv-zg.hr;ravnatelj doc. dr. sc. Predrag Brlek
Institut za antropologiju;NA;NA;Znanstvena ustanova;Ljudevita Gaja 32;Zagreb;(+385 1) 5535-100, (+385 1) 5535-102;NA;ured@inantro.hr;www.inantro.hr;ravnatelj dr. sc. Saša Missoni
Institut za arheologiju, Zagreb;NA;NA;Znanstvena ustanova;Ljudevita Gaja 32;Zagreb;(+385 1) 6150 250;NA;ured.ravnatelja@iarh.hr;www.iarh.hr;ravnatelj dr. sc. Marko Dizdar
Institut za društvena istraživanja , Zagreb;NA;NA;Znanstvena ustanova;Amruševa 11/II;Zagreb;(+385 1) 4810 264;NA;idiz@idi.hr;www.idi.hr;ravnatelj dr. sc. Boris Jokić
Institut za etnologiju i folkloristiku, Zagreb;NA;NA;Znanstvena ustanova;Šubićeva 42;Zagreb;(+385 1) 4596-700;NA;institut@ief.hr;www.ief.hr;ravnateljica dr. sc. Iva Niemčić
Institut za filozofiju, Zagreb;NA;NA;Znanstvena ustanova;Ulica grada Vukovara 54;Zagreb;"(+385 1) 6111 532; (+385 1) 6111-984";NA;filozof@ifzg.hr;www.ifzg.hr;ravnatelj dr. sc. Luka Boršić
Institut za fiziku, Zagreb;NA;NA;Znanstvena ustanova;Bijenička cesta 46;Zagreb;"(+385 1) 4698 888; (+385 1) 4698 811";NA;ifs@ifs.hr;www.ifs.hr;ravnatelj dr. sc. Osor-Slaven Barišić
Institut za hrvatski jezik i jezikoslovlje, Zagreb;NA;NA;Znanstvena ustanova;Ulica Republike Austrije 16;Zagreb;(+385 1) 3783-833;NA;ihjj@ihjj.hr;www.ihjj.hr;ravnatelj dr. sc. Željko Jozić
Institut za informatičke inovacije, Sveti Križ Začretje;NA;NA;Znanstvena ustanova;Aleja Lavoslava Vukelića 2, Sveti Križ Začretje;Sveti Križ Začretje;(+385 49) 228-846;NA;janko@svetikriz.com;www.svetikriz.com;ravnatelj dr. sc. Janko Mršić-Flogel
Institut za istraživanje;NA;NA;Znanstvena ustanova;ILICA 256B, Zagreb;Zagreb;(+385 1) 3784-690;(+385 1) 3784-878;dario.matika@morh.hr;www.morh.hr;ravnatelj dr. sc. Dario Matika
Institut za istraživanje i razvoj održivih eko sustava;NA;NA;Znanstvena ustanova;Jagodno 100a;Velika Gorica;(+385 1) 6168-522;NA;ires@ires.hr;www.ires.hr;ravnatelj dr. sc. Zoran Pišl
Institut za jadranske kulture i melioraciju krša, Split;NA;NA;Znanstvena ustanova;Put Duilova 11;Split;(+385 21) 434 444, (+385 21) 434 434, (+385 21) 434 485;NA;ured@krs.hr;www.krs.hr;ravnateljica dr. sc. Katja Žanić
Institut za javne financije, Zagreb;NA;NA;Znanstvena ustanova;Smičiklasova 21;Zagreb;"(+385 1) 4886 444; (+385 1) 4819 363";NA;ured@ijf.hr;www.ijf.hr;ravnatelj izv. prof. dr. sc. Vjekoslav Bratić
Institut za medicinska istraživanja i medicinu rada, Zagreb;NA;NA;Znanstvena ustanova;Ksaverska cesta 2;Zagreb;(+385 1) 4682-502;NA;uprava@imi.hr;http://www.imi.hr;ravnateljica prof. dr. sc. Ana Lucić Vrdoljak
Institut za migracije i narodnosti, Zagreb;NA;NA;Znanstvena ustanova;Trg Stjepana Radića 3;Zagreb;(+385 1) 6111-586, (+385 1) 6111-563;(+385 1) 6119-680;imin@imin.hr;www.imin.hr;ravnateljica dr. sc. Marina Perić Kaselj
Institut za oceanografiju i ribarstvo, Split;NA;NA;Znanstvena ustanova;Šetalište I.Meštrovića 63;Split;(+385 21) 408-000, (+385 21) 408-002;NA;office@izor.hr;www.izor.hr;ravnatelj dr. sc. Nedo Vrgoč
Institut za poljoprivredu i turizam, Poreč;NA;NA;Znanstvena ustanova;C. Huguesa 8;Poreč - Parenzo;(+385 52) 408 300;NA;institut@iptpo.hr;www.iptpo.hr;ravnatelj dr. sc. Dean Ban
Institut za povijest umjetnosti, Zagreb;NA;NA;Znanstvena ustanova;Ulica grada Vukovara 68;Zagreb;(+385 1) 6112 744;NA;ured@ipu.hr;www.ipu.hr;ravnateljica dr. sc. Katarina Horvat-Levaj
Institut za razvoj i međunarodne odnose;NA;NA;Znanstvena ustanova;Ljudevita Farkaša Vukotinovića 2;Zagreb;"(+385 1) 4877-460;(+385 1) 4877-461";NA;ured@irmo.hr;www.irmo.hr;ravnateljica dr. sc. Sanja Tišma
Institut za turizam, Zagreb;NA;NA;Znanstvena ustanova;Vrhovec 5;Zagreb;(+385 1) 3909 666;NA;ured@iztzg.hr;www.iztzg.hr;ravnatelj dr. sc. Damir Krešić
Katolički bogoslovni fakultet, Đakovo;Sveučilište  Josipa Jurja Strossmayera u Osijeku;Fakultet;Znanstvena ustanova i visoko učilište;Petra Preradovića 17;Đakovo;(+385 31) 802 400;(+385 31) 802 403;"tajnistvo@djkbf.hr; dekan@djkbf.hr";www.djkbf.unios.hr;dekan dr. sc. Vladimir Dugalić
Katolički bogoslovni fakultet, Split;Sveučilište u Splitu;Fakultet;Znanstvena ustanova i visoko učilište;Zrinsko-Frankopanska 19;Split;(+385 21) 308 300;"(+385 21) 386 144; 386 142";office@kbf-st.hr;www.kbf.unist.hr;dekan dr. sc. Mladen Parlov
Katolički bogoslovni fakultet, Zagreb;Sveučilište u Zagrebu;Fakultet;Znanstvena ustanova i visoko učilište;Vlaška 38;Zagreb;"(+385 1) 4890 400; (+385 1) 4890 402";(+385 1) 4814 704;"kbf@kbf.unizg.hr;ured@kbf.unizg.hr";www.kbf.unizg.hr;dekan mr. sc. Josip Šimunović
"KBC ""Sestre Milosrdnice""";NA;NA;Znanstvena ustanova;Vinogradska cesta 29;Zagreb;(+385 1) 3787-111, (+385 1) 3768-295;NA;"ravnatelj-kbsm@mail.com;kbcsm@kbcsm.hr";www.kbcsm.hr;ravnatelj prof. dr. sc. Davor Vagić
KBC Split;NA;NA;Znanstvena ustanova;Spinčićeva 1;Split;"(+385 21) 556-516, (+385 21) 556-200;(+385 21) 556-517";NA;office@kbsplit.hr;www.kbsplit.hr;sanacijski upravitelj dr. sc. Nikola Kolja Poljak
Kemijsko-tehnološki fakultet, Split;Sveučilište u Splitu;Fakultet;Znanstvena ustanova i visoko učilište;Ruđera Boškovića 35;Split;(+385 21) 329 422;(+385 21) 329 461;dekanat@ktf-split.hr;www.ktf.unist.hr;dekan prof. dr. sc. Matko Erceg
Kineziološki fakultet, Split;Sveučilište u Splitu;Fakultet;Znanstvena ustanova i visoko učilište;Ulica Nikole Tesle 6;Split;(+385 21) 302 440;(+385 21) 385 382;dekanat@kifst.hr;www.kifst.unist.hr;dekan prof. dr. sc. Damir Sekulić
Kineziološki fakultet, Zagreb;Sveučilište u Zagrebu;Fakultet;Znanstvena ustanova i visoko učilište;Horvaćanski zavoj 15;Zagreb;(+385 1) 3658 666;(+385 1) 3634 146;dekanat@kif.unizg.hr;www.kif.unizg.hr;dekan izv. prof. dr. sc. Tomislav Krističević
"Klinička bolnica ""Dubrava""";NA;NA;Znanstvena ustanova;Avenija Gojka Šuška 6;Zagreb;(+385 1) 2902-444;NA;kbd@kbd.hr;NA;ravnatelj dr. sc. Milan Kujundžić
"Klinička bolnica ""Merkur""";NA;NA;Znanstvena ustanova;Zajčeva ulica 19;Zagreb;(+385 1) 2431-396, (+385 1) 2431-390;NA;ravnateljstvo@kb-merkur.hr;www.kb-merkur.hr;ravnatelj doc. dr. sc. Željko Vidas
"Klinička bolnica ""Sveti Duh""";NA;NA;Znanstvena ustanova;Sveti Duh 64;Zagreb;(+385 1) 3712-111, (+385 1) 3712-153;(+385 1) 3712 308;kb@kbsd.hr;www.kbsd.hr;ravnatelj Miran Martinac
Klinički bolnički centar Osijek;NA;NA;Znanstvena ustanova;Ulica Josipa Huttlera 4;Osijek;(+385 31) 511-106;NA;znanstvena.jedinica@kbco.hr;http://www.kbco.hr;ravnatelj doc. dr. sc. Željko Zubčić
Klinički bolnički centar Rijeka;NA;NA;Znanstvena ustanova;Krešimirova 42;Rijeka;(+385 51) 658 802;NA;ravnateljstvo@kbc-rijeka.hr;www.kbc-rijeka.hr;ravnatelj prof. dr. sc. Herman Haller
Klinički bolnički centar Zagreb;NA;NA;Znanstvena ustanova;Šalata 2;Zagreb;(+385 1) 2368 987, (+385 1) 2368 729;(+385 1) 2379 922;ravnatelj@kbc-zagreb.hr, klinicki.bolnicki.centar.zagreb@kbc-zagreb.hr;www.kbc-zagreb.hr;ravnatelj akademik Željko Reiner
Klinika za dječje bolesti;NA;NA;Znanstvena ustanova;Klaićeva 16;Zagreb;01/4600 100;01/4826 053;kdb@kdb.hr;www.kdb.hr;sanacijski upravitelj Osman Kadić
Institut za oceanografiju i ribarstvo, Split;NA;NA;Znanstvena ustanova;Šetalište I.Meštrovića 63;Split;(+385 21) 408-000, (+385 21) 408-002;NA;office@izor.hr;www.izor.hr;ravnatelj dr. sc. Nedo Vrgoč
Institut za poljoprivredu i turizam, Poreč;NA;NA;Znanstvena ustanova;C. Huguesa 8;Poreč - Parenzo;(+385 52) 408 300;NA;institut@iptpo.hr;www.iptpo.hr;ravnatelj dr. sc. Dean Ban
Institut za povijest umjetnosti, Zagreb;NA;NA;Znanstvena ustanova;Ulica grada Vukovara 68;Zagreb;(+385 1) 6112 744;NA;ured@ipu.hr;www.ipu.hr;ravnateljica dr. sc. Katarina Horvat-Levaj
Institut za razvoj i međunarodne odnose;NA;NA;Znanstvena ustanova;Ljudevita Farkaša Vukotinovića 2;Zagreb;"(+385 1) 4877-460;(+385 1) 4877-461";NA;ured@irmo.hr;www.irmo.hr;ravnateljica dr. sc. Sanja Tišma
Institut za turizam, Zagreb;NA;NA;Znanstvena ustanova;Vrhovec 5;Zagreb;(+385 1) 3909 666;NA;ured@iztzg.hr;www.iztzg.hr;ravnatelj dr. sc. Damir Krešić
Katolički bogoslovni fakultet, Đakovo;Sveučilište  Josipa Jurja Strossmayera u Osijeku;Fakultet;Znanstvena ustanova i visoko učilište;Petra Preradovića 17;Đakovo;(+385 31) 802 400;(+385 31) 802 403;"tajnistvo@djkbf.hr; dekan@djkbf.hr";www.djkbf.unios.hr;dekan dr. sc. Vladimir Dugalić
Katolički bogoslovni fakultet, Split;Sveučilište u Splitu;Fakultet;Znanstvena ustanova i visoko učilište;Zrinsko-Frankopanska 19;Split;(+385 21) 308 300;"(+385 21) 386 144; 386 142";office@kbf-st.hr;www.kbf.unist.hr;dekan dr. sc. Mladen Parlov
Katolički bogoslovni fakultet, Zagreb;Sveučilište u Zagrebu;Fakultet;Znanstvena ustanova i visoko učilište;Vlaška 38;Zagreb;"(+385 1) 4890 400; (+385 1) 4890 402";(+385 1) 4814 704;"kbf@kbf.unizg.hr;ured@kbf.unizg.hr";www.kbf.unizg.hr;dekan mr. sc. Josip Šimunović
"KBC ""Sestre Milosrdnice""";NA;NA;Znanstvena ustanova;Vinogradska cesta 29;Zagreb;(+385 1) 3787-111, (+385 1) 3768-295;NA;"ravnatelj-kbsm@mail.com;kbcsm@kbcsm.hr";www.kbcsm.hr;ravnatelj prof. dr. sc. Davor Vagić
KBC Split;NA;NA;Znanstvena ustanova;Spinčićeva 1;Split;"(+385 21) 556-516, (+385 21) 556-200;(+385 21) 556-517";NA;office@kbsplit.hr;www.kbsplit.hr;sanacijski upravitelj dr. sc. Nikola Kolja Poljak
Kemijsko-tehnološki fakultet, Split;Sveučilište u Splitu;Fakultet;Znanstvena ustanova i visoko učilište;Ruđera Boškovića 35;Split;(+385 21) 329 422;(+385 21) 329 461;dekanat@ktf-split.hr;www.ktf.unist.hr;dekan prof. dr. sc. Matko Erceg
Kineziološki fakultet, Split;Sveučilište u Splitu;Fakultet;Znanstvena ustanova i visoko učilište;Ulica Nikole Tesle 6;Split;(+385 21) 302 440;(+385 21) 385 382;dekanat@kifst.hr;www.kifst.unist.hr;dekan prof. dr. sc. Damir Sekulić
Kineziološki fakultet, Zagreb;Sveučilište u Zagrebu;Fakultet;Znanstvena ustanova i visoko učilište;Horvaćanski zavoj 15;Zagreb;(+385 1) 3658 666;(+385 1) 3634 146;dekanat@kif.unizg.hr;www.kif.unizg.hr;dekan izv. prof. dr. sc. Tomislav Krističević
"Klinička bolnica ""Dubrava""";NA;NA;Znanstvena ustanova;Avenija Gojka Šuška 6;Zagreb;(+385 1) 2902-444;NA;kbd@kbd.hr;NA;ravnatelj dr. sc. Milan Kujundžić
"Klinička bolnica ""Merkur""";NA;NA;Znanstvena ustanova;Zajčeva ulica 19;Zagreb;(+385 1) 2431-396, (+385 1) 2431-390;NA;ravnateljstvo@kb-merkur.hr;www.kb-merkur.hr;ravnatelj doc. dr. sc. Željko Vidas
"Klinička bolnica ""Sveti Duh""";NA;NA;Znanstvena ustanova;Sveti Duh 64;Zagreb;(+385 1) 3712-111, (+385 1) 3712-153;(+385 1) 3712 308;kb@kbsd.hr;www.kbsd.hr;ravnatelj Miran Martinac
Klinički bolnički centar Osijek;NA;NA;Znanstvena ustanova;Ulica Josipa Huttlera 4;Osijek;(+385 31) 511-106;NA;znanstvena.jedinica@kbco.hr;http://www.kbco.hr;ravnatelj doc. dr. sc. Željko Zubčić
Klinički bolnički centar Rijeka;NA;NA;Znanstvena ustanova;Krešimirova 42;Rijeka;(+385 51) 658 802;NA;ravnateljstvo@kbc-rijeka.hr;www.kbc-rijeka.hr;ravnatelj prof. dr. sc. Herman Haller
Klinički bolnički centar Zagreb;NA;NA;Znanstvena ustanova;Šalata 2;Zagreb;(+385 1) 2368 987, (+385 1) 2368 729;(+385 1) 2379 922;ravnatelj@kbc-zagreb.hr, klinicki.bolnicki.centar.zagreb@kbc-zagreb.hr;www.kbc-zagreb.hr;ravnatelj akademik Željko Reiner
Klinika za dječje bolesti;NA;NA;Znanstvena ustanova;Klaićeva 16;Zagreb;01/4600 100;01/4826 053;kdb@kdb.hr;www.kdb.hr;sanacijski upravitelj Osman Kadić
"Klinika za infektivne bolesti ""Dr Fran Mihaljević""";NA;NA;Znanstvena ustanova;Mirogojska cesta 8;Zagreb;(+385 1) 2826-222, (+385 1) 2826-250;NA;bfm@bfm.hr;NA;v.d. ravnatelj prof. dr. sc. Ilija Kuzman
Klinika za ortopediju Lovran;NA;NA;Znanstvena ustanova;Šetalište M. Tita 1;Lovran;(+385 51) 710 200;(+385 51) 292-098;klinika.lovran@ri.t-com.hr;www.orto-lovran.hr;ravnatelj prof. dr. sc. Branko Šestan
Klinika za psihijatriju Vrapče;NA;NA;Znanstvena ustanova;Bolnička cesta 32;Zagreb;(+385 1) 3780-666, (+385 1) 3780-600;(+385 1) 3483-660;tajnistvo@bolnica-vrapce.hr;www.bolnica-vrapce.hr;ravnatelj prof. dr. sc. Vlado Jukić
KONČAR - Institut za elektrotehniku d.d.;NA;NA;Znanstvena ustanova;Fallerovo šetalište 22;Zagreb;(+385 1) 3667-315;NA;dnogic@koncar-institut.hr;www.koncar-institut.hr;predsjednik dr. sc. Siniša Marijan
Leksikografski zavod;NA;NA;Znanstvena ustanova;Frankopanska 26;Zagreb;(+385 1) 4800 333;NA;lzmk@lzmk.hr;www.lzmk.hr;ravnatelj dr. sc. Antun Vujić
Libertas Međunarodno sveučilište, Zagreb;NA;Sveučilište;Znanstvena ustanova i visoko učilište;Trg J. F. Kennedy 6b;Zagreb;(+385 1) 5633 101;(+385 1) 5633 111;asamodol@libertas.hr;www.libertas.hr;v.d. rektor dr. sc. Ivo Andrijanić
Medicinski fakultet, Osijek;Sveučilište  Josipa Jurja Strossmayera u Osijeku;Fakultet;Znanstvena ustanova i visoko učilište;Josipa Huttlera 4;Osijek;(+385 31) 512 800;(+385 31) 512 833;medicina@mefos.hr;www.mefos.unios.hr;dekan mr. sc. Ivica Mihaljević
Medicinski fakultet, Rijeka;Sveučilište u Rijeci;Fakultet;Znanstvena ustanova i visoko učilište;Braće Branchetta 20;Rijeka;(+385 51) 651 203;(+385 51) 675 806;dekanat_medri@uniri.hr;www.medri.uniri.hr;dekan izv. prof. dr. sc. Goran Hauser
Medicinski fakultet, Split;Sveučilište u Splitu;Fakultet;Znanstvena ustanova i visoko učilište;Šoltanska 2;Split;(+385 21) 557 900;(+385 21) 557 625;office@mefst.hr;www.mefst.unist.hr;dekan prof. dr. sc. Ante Tonkić
Medicinski fakultet, Zagreb;Sveučilište u Zagrebu;Fakultet;Znanstvena ustanova i visoko učilište;Šalata 3;Zagreb;(+385 1) 4566 777;(+385 1) 4566 724;mf@mef.hr;www.mef.unizg.hr;dekan prof. dr. sc. Slavko Orešković
Mediteranski institut za istraživanje života;NA;NA;Znanstvena ustanova;Meštrovićevo šetalište 45;Split;(+385 21) 555-600;NA;medils@medils.hr;www.medils.hr;ravnatelj dr. sc. Miroslav Radman
Metalurški fakultet, Sisak;Sveučilište u Zagrebu;Fakultet;Znanstvena ustanova i visoko učilište;Aleja narodnih heroja 3;Sisak;"(+385 44) 533 379; 533 378";(+385 44) 533 378;dekanat@simet.hr;www.simet.unizg.hr;dekanica prof. dr. sc. Zdenka Zovko Brodarac
"MUP Centar za forenzična ispitivanja, istraživanja i vještačenja ""Ivan Vučetić""";NA;NA;Znanstvena ustanova;Ilica 335;Zagreb;(+3851) 3778-231;(+3851) 3788-051;aledic@mup.hr;https://forenzika.gov.hr;načelnica Andrea Ledić
MUP Policijska akademija – Visoka policijska škola, Zagreb;NA;Visoka škola;Znanstvena ustanova i visoko učilište;Avenija Gojka Šuška 1;Zagreb;(+385 1) 2426 311;(+385 1) 2426 415;"vps@fkz.hr; policijska.akademija@mup.hr";https://policijska-akademija.gov.hr/visoka-policijska-skola/43;dekan dr. sc. Krunoslav Borovec
Muzička akademija, Zagreb;Sveučilište u Zagrebu;Umjetnička akademija;Znanstvena ustanova i visoko učilište;Trg Republike Hrvatske 12;Zagreb;(+385 1) 4810-200;(+385 1) 4872 380;"muza@muza.hr;dekanat@muza.hr";www.muza.unizg.hr;dekan Igor Lešnik
Nacionalna i sveučilišna knjižnica u Zagrebu;Sveučilište u Zagrebu;NA;Znanstvena ustanova;Hrvatske bratske zajednice 4;Zagreb;(+385 1) 6164 002;NA;ured@nsk.hr;www.nsk.hr;ravnateljica dr. sc. Tatijana Petrić
Nacionalni centar za vanjsko vrednovanje obrazovanja;NA;NA;Znanstvena ustanova;Damira Tomljanovića Gavrana 11;Zagreb;(+385 1) 4501-800;(+385 1) 4501-801;ncvvo@ncvvo.hr;www.ncvvo.hr;ravnateljica Ivana Katavić
"Nastavni zavod za javno zdravstvo ""Dr. Andrija Štampar""";NA;NA;Znanstvena ustanova;Mirogojska cesta 16;Zagreb;(+385 1) 4696 100;(+385 1) 4678 102;uprava@stampar.hr;www.stampar.hr;ravnatelj Zvonimir Šostar
OIKON d.o.o.;NA;NA;Znanstvena ustanova;Trg senjskih uskoka 1-2;Zagreb;(+385 1) 5507-100;(+385 1) 5507-101;oikon@oikon.hr;www.oikon.hr;ravnatelj dr. sc. Zdravko Špirić
"Opća bolnica ""Dr. Josip Benčević""";NA;NA;Znanstvena ustanova;Andrije Štampara 42;Slavonski Brod;(+385 35) 201-201;NA;opca-bolnica-sb@sb.t-com.hr;www.bolnicasb.hr;ravnatelj dr. sc. Milan Bitunjac
Opća bolnica Dubrovnik;NA;NA;Znanstvena ustanova;Dr. Roka Mišetića 2;Dubrovnik;(+385 20) 431-777;(+385 20) 426-149;uprava@bolnica-du.hr;www.bolnica-du.hr;ravnatelj Branko Bazdan
Opća bolnica Karlovac;NA;NA;Znanstvena ustanova;Andrije Štampara 3;Karlovac;(+385 47) 608-100, (+385 47) 608-001;NA;info@bolnica-karlovac.hr;NA;ravnatelj doc. dr. sc. Ervin Jančić
Opća bolnica Pula;NA;NA;Znanstvena ustanova;Zagrebačka 30;Pula - Pola;(+385 52) 376-400;NA;obpula@obpula.hr;www.obpula.hr;ravnatelj Lems Jerin
Opća bolnica Šibenik;NA;NA;Znanstvena ustanova;Stjepana Radića 83;Šibenik;(+385 22) 332-760, (+385 22) 246-246;NA;opca-bolnica-sibenik3@si.t-com.hr;si.hatenet.hr;ravnatelj Željko Burić
Opća bolnica Varaždin;NA;NA;Znanstvena ustanova;Ivana Meštrovića bb;Varaždin;(+385 42) 393-000;NA;ravnateljstvo@bv.hr;www.obv.hr;ravnatelj Dubravko Tršinski
Opća bolnica Zabok;NA;NA;Znanstvena ustanova;Bračak 8;Zabok;(+385 49) 204 000, (+385 49) 204 011;(+385 49) 204 019;informacije@bolnica-zabok.hr;www.bolnica-zabok.hr;ravnatelj Stanko Belina
Opća bolnica Zadar;NA;NA;Znanstvena ustanova;Bože Peričića 5;Zadar;023/505 119;023/315 724;zculina065@gmail.com;www.bolnica-zadar.hr;ravnatelj Željko Čulina
Opća županijska bolnica Požega;NA;NA;Znanstvena ustanova;Osječka 107;Požega;(+385 34) 254-555, (+385 34) 254-505;NA;info@pozeska-bolnica.hr;www.pozeska-bolnica.hr;ravnatelj prof. dr. sc. Željko Glavić
PLIVA HRVATSKA d.o.o.;NA;NA;Znanstvena ustanova;Prilaz baruna Filipovića 25;Zagreb;(+385 1) 3720-600;NA;tatjana.medjesi@pliva.hr;www.pliva.com;predsjednik uprave Tihomir Orešković
"PODRAVKA prehrambena industrija d.d. FC ""Istraživanje i razvoj";NA;NA;Znanstvena ustanova;Ante Starčevića 32;Koprivnica;(+385 48) 651-100;(+385 48) 622-518;podravka@podravka.hr;www.podravka.hr;NA
Mediteranski institut za istraživanje života;NA;NA;Znanstvena ustanova;Meštrovićevo šetalište 45;Split;(+385 21) 555-600;NA;medils@medils.hr;www.medils.hr;ravnatelj dr. sc. Miroslav Radman
Metalurški fakultet, Sisak;Sveučilište u Zagrebu;Fakultet;Znanstvena ustanova i visoko učilište;Aleja narodnih heroja 3;Sisak;"(+385 44) 533 379; 533 378";(+385 44) 533 378;dekanat@simet.hr;www.simet.unizg.hr;dekanica prof. dr. sc. Zdenka Zovko Brodarac
"MUP Centar za forenzična ispitivanja, istraživanja i vještačenja ""Ivan Vučetić""";NA;NA;Znanstvena ustanova;Ilica 335;Zagreb;(+3851) 3778-231;(+3851) 3788-051;aledic@mup.hr;https://forenzika.gov.hr;načelnica Andrea Ledić
MUP Policijska akademija – Visoka policijska škola, Zagreb;NA;Visoka škola;Znanstvena ustanova i visoko učilište;Avenija Gojka Šuška 1;Zagreb;(+385 1) 2426 311;(+385 1) 2426 415;"vps@fkz.hr; policijska.akademija@mup.hr";https://policijska-akademija.gov.hr/visoka-policijska-skola/43;dekan dr. sc. Krunoslav Borovec
Muzička akademija, Zagreb;Sveučilište u Zagrebu;Umjetnička akademija;Znanstvena ustanova i visoko učilište;Trg Republike Hrvatske 12;Zagreb;(+385 1) 4810-200;(+385 1) 4872 380;"muza@muza.hr;dekanat@muza.hr";www.muza.unizg.hr;dekan Igor Lešnik
Nacionalna i sveučilišna knjižnica u Zagrebu;Sveučilište u Zagrebu;NA;Znanstvena ustanova;Hrvatske bratske zajednice 4;Zagreb;(+385 1) 6164 002;NA;ured@nsk.hr;www.nsk.hr;ravnateljica dr. sc. Tatijana Petrić
Nacionalni centar za vanjsko vrednovanje obrazovanja;NA;NA;Znanstvena ustanova;Damira Tomljanovića Gavrana 11;Zagreb;(+385 1) 4501-800;(+385 1) 4501-801;ncvvo@ncvvo.hr;www.ncvvo.hr;ravnateljica Ivana Katavić
"Nastavni zavod za javno zdravstvo ""Dr. Andrija Štampar""";NA;NA;Znanstvena ustanova;Mirogojska cesta 16;Zagreb;(+385 1) 4696 100;(+385 1) 4678 102;uprava@stampar.hr;www.stampar.hr;ravnatelj Zvonimir Šostar
OIKON d.o.o.;NA;NA;Znanstvena ustanova;Trg senjskih uskoka 1-2;Zagreb;(+385 1) 5507-100;(+385 1) 5507-101;oikon@oikon.hr;www.oikon.hr;ravnatelj dr. sc. Zdravko Špirić
"Opća bolnica ""Dr. Josip Benčević""";NA;NA;Znanstvena ustanova;Andrije Štampara 42;Slavonski Brod;(+385 35) 201-201;NA;opca-bolnica-sb@sb.t-com.hr;www.bolnicasb.hr;ravnatelj dr. sc. Milan Bitunjac
Opća bolnica Dubrovnik;NA;NA;Znanstvena ustanova;Dr. Roka Mišetića 2;Dubrovnik;(+385 20) 431-777;(+385 20) 426-149;uprava@bolnica-du.hr;www.bolnica-du.hr;ravnatelj Branko Bazdan
