naziv;opis;tip_ustanove;maticna_skola;sifra;podsifra;zupanija;adresa;mjesto;lokacija;ravnatelj;telefon;faks;e_mail;web;podrucni_objekti
Osnovna škola Vinica;Osnovna škola;Matična škola;NA;05-230-001;0-0;Varaždinska;MARČAN, VINIČKA 10;42207  Vinica; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Mirjana  Jambriško;042 722 599 , 042 722 587 , 042 722 588 , 042 208 475 , 042 722 585;042 208 474;os-vinica@os-vinica.skole.hr;http://os-vinica.skole.hr/;  Osnovna škola Vinica - Područna škola Ladanje Gornje   , Školska 2, 42207 Gornje Ladanje ,   Osnovna škola Vinica - Područna škola Natkrižovljan   , NATKRIŽOVLJAN 63, 42208 Natkrižovljan
Osnovna škola Sračinec;Osnovna škola;Matična škola;NA;05-231-001;0-0;Varaždinska;VARAŽDINSKA 98;42209  Sračinec; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Lidija  Valec;042/208-959 , 042 208-959 , 042 712-600;042 208-393;lidija.valec@ossracinec.hr , ljiljanka.skomrak@ossracinec.hr , skola@ossracinec.hr ;http://os-sracinec.skole.hr;  Osnovna škola Sračinec - Područna škola Svibovec Podravski   , SVIBOVEC PODRAVSKI, ŠKOLSKA 11, 42209 Svibovec Podravski
Osnovna škola Franje Serta Bednja;Osnovna škola;Matična škola;NA;05-232-001;0-0;Varaždinska;LJUDEVITA GAJA 15;42253  Bednja; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Sanja  Majcen;042/796-302 , 042/771-603;042/796-302;admin@os-fserta-bednja.skole.hr , ured@os-fserta-bednja.skole.hr;http://os-fserta-bednja.skole.hr/;  Osnovna škola Franje Serta Bednja - Područna škola Josipa Jedvaja Vrbno   , Vrbno 22, 42253 Vrbno
Osnovna škola Gustav Krklec Maruševec;Osnovna škola;Matična škola;NA;05-233-001;0-0;Varaždinska;ČALINEC 78;42243  Maruševec; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Tomislav  Vincek;042/729377 kućni 1 , 042/729-377 , 042/209678;042/209679;ured@os-gkrklec-calinec.skole.hr;NA;  Osnovna škola Gustav Krklec Maruševec - Područna škola Druškovec   , Druškovec 4b, 42243 Druškovec ,   Osnovna škola Gustav Krklec Maruševec - Područna škola Greda-Jurketinec   , Greda 191, 42243 Maruševec
Osnovna škola grofa Janka Draškovića;Osnovna škola;Matična škola;NA;05-234-001;0-0;Varaždinska;KLENOVNIK 21;42244  Klenovnik; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Mijo  Barišić;042/771-417 , 042/444-260 , 042/763-415 , 042/771-416;042/763-415;ured@os-grofa-jdraskovica-klenovnik.skole.hr;www:http://skole.htnet.hr/os-klenovnik-001/skola;NA
Osnovna škola Andrije Kačića Miošića;Osnovna škola;Matična škola;NA;05-235-001;0-0;Varaždinska;DONJA VOĆA 19d;42245  Donja Voća; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Rahela  Blažević;042766120 , 042766550;042766120;ured@os-akmiosica-donja-voca.skole.hr;NA;  Osnovna škola Andrije Kačića Miošića - Područna škola Antuna Gustava Matoša   , GORNJA VOĆA 243, 42245 Gornja Voća
Osnovna škola Ante Starčevića;Osnovna škola;Matična škola;NA;05-236-001;0-0;Varaždinska;HRVATSKIH PAVLINA 42;42250  Lepoglava; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ratko  Tomić;791-095;NA;ratko.tomic1@gmail.com , tajnistvo@os-astarcevica-lepoglava.skole.hr;NA;NA
Osnovna škola Ivana Rangera, Kamenica;Osnovna škola;Matična škola;NA;05-236-002;0-0;Varaždinska;Kamenica35 H;42250  Kamenica; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Mirjana  Posavec;042/ 701-107 , 042/ 771-092;042/ 701-107;ured@os-irangera-kamenica.skole.hr;http://www.os-kamenica.com;  Osnovna škola Ivana Rangera, Kamenica - Područna škola Žarovnica   , ŽAROVNICA 24B, 42250 Žarovnica
Osnovna škola Izidora Poljaka, Višnjica;Osnovna škola;Matična škola;NA;05-236-003;0-0;Varaždinska;Donja Višnjica 156;42250  Lepoglava; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Martina  Vusić;042-703-163 , 042-703-463;042-770-265;ured@os-ipoljaka-visnjica.skole.hr;http://os-ipoljaka-visnjica.skole.hr;  Osnovna škola Izidora Poljaka, Višnjica - Područna škola J. E. Drašković Cvetlin   , Jazbina Cvetlinska 122, 42254 Cvetlin
Osnovna škola Martijanec;Osnovna škola;Matična škola;NA;05-237-001;0-0;Varaždinska;ŠKOLSKA 3;42232  Martijanec; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Sonja  Huzjak;042/673-131;042/207-820;ured@os-martijanec.skole.hr;www.os-martijanec.skole.hr;NA
Osnovna škola Sveti Đurđ;Osnovna škola;Matična škola;NA;05-238-001;0-0;Varaždinska;CVJETNA 4;42233  Sveti Đurđ; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Mario  Bontek;042/830-101;042/830-101;mirela.vukoja@skole.hr , ured@os-sveti-djurdj.skole.hr;http://os-sveti-djurdj.skole.hr;NA
Osnovna škola Veliki Bukovec;Osnovna škola;Matična škola;NA;05-239-001;0-0;Varaždinska;DRAVSKA 42;42231  Veliki Bukovec; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Željka  Marković-Bilić;042/840-224 , 042/840-224 , 042/840-224;042/840-224;ured@os-bukovec.hr;NA;NA
Osnovna škola Antuna i Ivana Kukuljevića;Osnovna škola;Matična škola;NA;05-240-001;0-0;Varaždinska;Ulica grada Vukovara 1;42223  Varaždinske Toplice; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Goranka  Štefanić;042/634-055 , 042/634-055 , 042/634-055;042/205-557;skola@os-aiikukuljevica-varazdinske-toplice.skole.hr;os-aiikukuljevica-varazdinske-toplice.skole.hr;  Osnovna škola Antuna i Ivana Kukuljevića - Područna škola Petkovec   , PETKOVEC TOPLIČKI 122, 42223 Petkovec Toplički
Osnovna škola Svibovec;Osnovna škola;Matična škola;NA;05-240-002;0-0;Varaždinska;BRAĆE RADIĆ 4;42223  Svibovec; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Melita  Mesarić;042/637-447 , 042/637-499, 091/282-7119;042/637-447;tajnistvo@os-svibovec.skole.hr , ravnateljica@os-svibovec.skole.hr;NA;  Osnovna škola Svibovec - Područna škola Drenovec   , DRENOVEC 123, 42223 Drenovec ,   Osnovna škola Svibovec - Područna škola Gornja Poljana   , GORNJA POLJANA 74, 42223 Gornja Poljana
Osnovna škola Breznički Hum;Osnovna škola;Matična škola;NA;05-241-001;0-0;Varaždinska;Breznički Hum 14;42225  Breznički Hum; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Vesna  Ivančan;042/618-225;"042/618-225; 042/209-826 , 042/618-225; 042/209-827";ured@os-breznicki-hum.skole.hr;NA;  Osnovna škola Breznički Hum - Područna škola Šćepanje   , Šćepanje 35, 42225 Šćepanje
Osnovna škola Ljubešćica;Osnovna škola;Matična škola;NA;05-242-001;0-0;Varaždinska;Zagrebačka 22;42222  Ljubešćica; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ivica  Rojc;042/623-428 , 042/623-428 , 042/623-850;042/623-851;ured@os-ljubescica.skole.hr , skola@os-ljubescica.hr;www.os-ljubescica.skole.hr;NA
Osnovna škola Bisag;Osnovna škola;Matična škola;NA;05-243-001;0-0;Varaždinska;Bisag 24/1;42226  Bisag; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Draženka  Švelec-Juričić;042/616-101 , 042/200-456;075 801-133;os-bisag@os-bisag.skole.hr , os-bisag@os-bisag.skole.hr;NA;NA
Osnovna škola Visoko;Osnovna škola;Matična škola;NA;05-244-001;0-0;Varaždinska;VISOKO 20;42224  Visoko; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Nada  Horvat;042/628-150 , 042/628-113;NA;tajnistvo@os-visoko.skole.hr , pedagog@os-visoko.skole.hr , knjiznica@os-visoko.skole.hr , skola@os-visoko.skole.hr ;https://osvisoko.hr;NA
Osnovna škola Tužno;Osnovna škola;Matična škola;NA;05-484-001;0-0;Varaždinska;Varaždinska 16;42242  Tužno; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Josip  Puček;747-600;747-232;skola@os-tuzno.skole.hr;www:os-tuzno.skole.hr;  Osnovna škola Tužno - Područna škola Črešnjevo   , ČREŠNJEVO, ŠKOLSKA 2, 42201 Črešnjevo
OSNOVNA ŠKOLA ĐURĐEVAC;Osnovna škola;Matična škola;NA;06-023-001;0-0;Koprivničko-križevačka;Basaričekova 5/d;48350  Đurđevac; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Danijel  Domišljanović;048/812-414 , 048/812-414 , 048/812-414 , 048/812-131,814-063, 814-520;048/812-414;ured@os-djurdjevac.skole.hr;http://os-djurdjevac.skole.hr/;  OSNOVNA ŠKOLA ĐURĐEVAC - Područna škola Budrovac   , Školska 7, 48350 Budrovac ,   OSNOVNA ŠKOLA ĐURĐEVAC - Područna škola Mičetinac   , MIČETINAC 69, 48350 Mičetinac ,   OSNOVNA ŠKOLA ĐURĐEVAC - Područna škola Sirova Katalena   , Sirova Katalena 63, 48350 Sirova Katalena ,   OSNOVNA ŠKOLA ĐURĐEVAC - Područna škola Čepelovac   , Planinska 84, 48350 Čepelovac
OSNOVNA ŠKOLA ANTUN NEMČIĆ GOSTOVINSKI;Osnovna škola;Matična škola;NA;06-037-001;0-0;Koprivničko-križevačka;Školska 5;48000  Koprivnica; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Gordana  Gazdić-Buhanec;048/622-172 , 048/622-172 , 048/621-158;048/621-172;ang@os-angostovinski-kc.skole.hr , osang-kc@kc.t-com.hr;NA;  OSNOVNA ŠKOLA ANTUN NEMČIĆ GOSTOVINSKI - Područna škola Jagnjedovec   , JAGNJEDOVEC 93, 48000 Jagnjedovec ,   OSNOVNA ŠKOLA ANTUN NEMČIĆ GOSTOVINSKI - Područna škola Reka   , Starogradska 15, 48000 Reka
"OSNOVNA ŠKOLA ""Braća Radić""";Osnovna škola;Matična škola;NA;06-037-002;0-0;Koprivničko-križevačka;MIKLINOVEC 6 A;48000  Koprivnica; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Krešo  Grgac;048/222-740 , 048/642-025 , 048/222-742 , 048/220-448 , 048/221-303 , 048/642-024 , 048/222-741;048/642-026;anita.brkovic@skole.hr , andreja.ersetic@skole.hr , ljubinka.jug@skole.hr , jadranka.bosanac@skole.hr , dunja.mlinjaric@skole.hr , vesna.auer-gregor@skole.hr , kreso.grgac@skole.hr  , adrijana.hatadi@skole.hr ,  ured@os-braca-radic-koprivnica.skole.hr;NA;"  OSNOVNA ŠKOLA ""Braća Radić"" - Područna škola Starigrad   , Krešimirova 30, 48000 Starigrad"
"OSNOVNA ŠKOLA ""ĐURO ESTER""";Osnovna škola;Matična škola;NA;06-037-003;0-0;Koprivničko-križevačka;TRG SLOBODE 5.;48000  Koprivnica; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Sanja  Prelogović;048/622-433 , 048/622-433 , 048/623-433 , 048/631-344;048/625-842;sanja.prelogovic@skole.hr , marina.kozjak@skole.hr , ured@os-gjuro-ester-koprivnica.skole.hr ;www.os-gjuro-ester-koprivnica.skole.hr;"  OSNOVNA ŠKOLA ""ĐURO ESTER"" - Područna škola Vinica   , VINICA 67, 48000 Koprivnica"
CENTAR ZA ODGOJ, OBRAZOVANJE I REHABILITACIJU PODRAVSKO SUNCE;Osnovna škola;Matična škola;NA;06-037-004;0-0;Koprivničko-križevačka;Hercegovačka 1;48000  Koprivnica; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Radmila  Popović;048/240-342 , 048/240-341 , 048/240-344;048/240-348;ravnatelj@centar-podravskosunce-koprivnica.skole.hr , ured@centar-podravskosunce-koprivnica.skole.hr;www.podravsko-sunce.hr;NA
Osnovna škola Koprivnički Ivanec;Osnovna škola;Matična škola;NA;06-038-001;0-0;Koprivničko-križevačka;Kunovec, Seljačke bune 10;48311  Kunovec; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Kristina  Furkes;048/861-262;NA;ured@os-koprivnicki-ivanec.skole.hr;www.os-koprivnicki-ivanec.skole.hr;NA
OSNOVNA ŠKOLA LJUDEVITA MODECA KRIŽEVCI;Osnovna škola;Matična škola;NA;06-041-001;0-0;Koprivničko-križevačka;FRANJE RAČKOGA 3;48260  Križevci; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Tomislav  Bogdanović;048/271-550 , 048/270-451 , 098/398-266 , 048/681-677 , 048/682-677;048/271-550;krizevci@os-ljmodeca-kc.skole.hr;os-ljmodeca-kc.skole.hr;  OSNOVNA ŠKOLA LJUDEVITA MODECA KRIŽEVCI - Područna škola Apatovec   , Lipovec 4, 48260 Apatovec ,   OSNOVNA ŠKOLA LJUDEVITA MODECA KRIŽEVCI - Područna škola Dubovec   , Gornji Dubovec 15, 48260 Križevci ,   OSNOVNA ŠKOLA LJUDEVITA MODECA KRIŽEVCI - Područna škola Glogovnica   , DONJA GLOGOVNICA 39, 48260 Donja Glogovnica ,   OSNOVNA ŠKOLA LJUDEVITA MODECA KRIŽEVCI - Područna škola Poljana   , POLJANA KRIŽEVAČKA 7, 48260 Poljana Križevačka ,   OSNOVNA ŠKOLA LJUDEVITA MODECA KRIŽEVCI - Područna škola Sveta Helena   , SVETA HELENA 59, 48260 Sveta Helena ,   OSNOVNA ŠKOLA LJUDEVITA MODECA KRIŽEVCI - Područna škola Veliki Raven   , Veliki Raven 13, 48260 Križevci ,   OSNOVNA ŠKOLA LJUDEVITA MODECA KRIŽEVCI - Područna škola Vojakovački Osijek   , OSIJEK VOJAKOVAČKI, DRETVARI 39, 48260 Osijek Vojakovački ,   OSNOVNA ŠKOLA LJUDEVITA MODECA KRIŽEVCI - Područna škola Vojakovac   , VOJAKOVAC 145, 48264 Kloštar Vojakovački
"OSNOVNA ŠKOLA ""VLADIMIR NAZOR"" KRIŽEVCI";Osnovna škola;Matična škola;NA;06-041-002;0-0;Koprivničko-križevačka;BANA JOSIPA JELAČIĆA 23;48260  Križevci; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Igor  Brkić;048/270-395 , 048/270-046 , 048/270-063 , 048/271-436 , 048/691-045 , 048/692-297 , 048/691-205 , 048/690-227 , 048/681-486 , 048/682-181 , 048/681-149;048/270-047;ravnatelj@os-vnazor-kc.skole.hr , tatjana.strabic@skole.hr , ljiljana.kopjar@skole.hr , gordana.loncaric@skole.hr , petra.kamenaric@skole.hr , andrea.katanovic-babic@skole.hr , tajnistvo@os-vnazor-kc.skole.hr ;NA;"  OSNOVNA ŠKOLA ""VLADIMIR NAZOR"" KRIŽEVCI - Područna škola Carevdar   , CAREVDAR 80, 48260 Križevci ,   OSNOVNA ŠKOLA ""VLADIMIR NAZOR"" KRIŽEVCI - Područna škola Majurec   , Majurec - Cesta 2, 48260 Majurec ,   OSNOVNA ŠKOLA ""VLADIMIR NAZOR"" KRIŽEVCI - Područna škola Većeslavec   , Većeslavec 3, 48260 Križevci, 48260 Križevci ,   OSNOVNA ŠKOLA ""VLADIMIR NAZOR"" KRIŽEVCI - Područna škola Kloštar Vojakovački   , KLOŠTAR VOJAKOVAČKI - GORNJANI 2, 48260 Križevci ,   OSNOVNA ŠKOLA ""VLADIMIR NAZOR"" KRIŽEVCI - Područna škola Đurđic   , ĐURĐIC 126/a, 48260 Đurđic"
CENTAR ZA ODGOJ, OBRAZOVANJE I REHABILITACIJU KRIŽEVCI;Osnovna škola;Matična škola;NA;06-041-004;0-0;Koprivničko-križevačka;MATIJE GUPCA  36;48260  Križevci; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Mihaela  Brkić;048/712-630 , 048/270-836;048/712-630 , 048/712-630;ured@centar-odgoj-obrazovanjeirehabilitacija-kc.skole.hr  , ccokrizevci@net.hr;http://www.centar-odgoj-obrazovanjeirehabilitacija-kc.skole.hr/;NA
OSNOVNA ŠKOLA KOPRIVNIČKI BREGI;Osnovna škola;Matična škola;NA;06-150-001;0-0;Koprivničko-križevačka;Trg svetog Roka 2;48324  Koprivnički Bregi; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Karolina  Vidović;048/830-086 , 048/220-595 , 048/830-008 , 048/220-596;048/830-008;ured@os-koprivnicki-bregi.skole.hr;www.os-koprivnicki-bregi.skole.hr;  OSNOVNA ŠKOLA KOPRIVNIČKI BREGI - Područna škola Glogovac   , Stjepana Radića 37, 48324 Glogovac
OSNOVNA ŠKOLA FRAN KONCELAK DRNJE;Osnovna škola;Matična škola;NA;06-247-001;0-0;Koprivničko-križevačka;PEMIJA 72;48316  Drnje; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ivan  Pikivača;048/626-812 , 048/626893 , 048/626891 , 048/831-330 , 048/626-811 , 098/626-895 , 048/626-894;048/831-092;ured@os-fkoncelak-drnje.skole.hr;http://os-fkoncelak-drnje.skole.hr;  OSNOVNA ŠKOLA FRAN KONCELAK DRNJE - Područna škola Josipa Generalića, Hlebine   , Hlebine, , 48316 Drnje ,   OSNOVNA ŠKOLA FRAN KONCELAK DRNJE - Područna škola Frana Galovića   , Peteranec,, 48316 Drnje ,   OSNOVNA ŠKOLA FRAN KONCELAK DRNJE - Područna škola Sigetec   , Sigetec,, 48316 Drnje ,   OSNOVNA ŠKOLA FRAN KONCELAK DRNJE - Područna škola Torčec   , Torčec, , 48316 Drnje
OSNOVNA ŠKOLA GOLA;Osnovna škola;Matična škola;NA;06-248-001;0-0;Koprivničko-križevačka;Trg kardinala A. Stepinca 4a;48331  Gola; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Violeta  Pranjić;048/625-664 , 048/833-173 , 048/833-026 , 048/833-143 , 048/833-143 , 048/833-005 , 048/833-050;NA;ured@os-gola.skole.hr;NA;  OSNOVNA ŠKOLA GOLA - Područna škola Gotalovo   , Stjepana Radića 53, 48331 Gotalovo ,   OSNOVNA ŠKOLA GOLA - Područna škola Novačka   , Novačka 97a, 48331 Novačka ,   OSNOVNA ŠKOLA GOLA - Područna škola Otočka   , Otočka 59a, 48331 Otočka ,   OSNOVNA ŠKOLA GOLA - Područna škola Ždala   , Braće Radić 1a, 48332 Ždala
OSNOVNA ŠKOLA LEGRAD;Osnovna škola;Matična škola;NA;06-249-001;0-0;Koprivničko-križevačka;Petra Zrinskog 10;48317  Legrad; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Dragutin  Marcinjaš;048/222-174 , 048/835-011 , 048/220-493 , 048/222-172;048/835-011;ured@os-legrad.skole.hr;http://os-legrad.skole.hr;  OSNOVNA ŠKOLA LEGRAD - Područna škola Podravska Selnica   , SELNICA PODRAVSKA 1, 48317 Selnica Podravska ,   OSNOVNA ŠKOLA LEGRAD - Područna škola Veliki Otok   , VELIKI OTOK 61, 48317 Veliki Otok
OSNOVNA ŠKOLA MIHOVIL PAVLEK MIŠKINA ĐELEKOVEC;Osnovna škola;Matična škola;NA;06-250-001;0-0;Koprivničko-križevačka;MIRKA VIRIUSA 28;48316  Đelekovec; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Sonja  Vuljak;834-105 , 048/221-544 , 048/221-543 , 048/222-125;048/834-002;ravnatelj@os-mpavlek-miskina-djelekovec.skole.hr;NA;  OSNOVNA ŠKOLA MIHOVIL PAVLEK MIŠKINA ĐELEKOVEC - Područna škola Imbriovec   , Imbriovec 100, 48316 Imbriovec
"OSNOVNA ŠKOLA ""PROF.BLAŽ MAĐER"", Novigrad Podravski";Osnovna škola;Matična škola;NA;06-251-001;0-0;Koprivničko-križevačka;GAJEVA 17A;48325  Novigrad Podravski; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Lidija  Peroš;048 832-606 , 048 832 602 , 048 832 602 , 048/220-456 , 048/832-140;NA;ured@os-bmadjera-novigrad-podravski.skole.hr;http://www.os-bmadjera-novigrad-podravski.skole.hr;"  OSNOVNA ŠKOLA ""PROF.BLAŽ MAĐER"", Novigrad Podravski - Područna škola Delovi   , DELOVI 57, 48325 Delovi ,   OSNOVNA ŠKOLA ""PROF.BLAŽ MAĐER"", Novigrad Podravski - Područna škola Plavšinac   , PLAVŠINAC 9, 48325 Plavšinac"
Osnovna škola ANDRIJE PALMOVIĆA;Osnovna škola;Matična škola;NA;06-253-001;0-0;Koprivničko-križevačka;ŠKOLSKA ULICA 15;48312  Rasinja; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Krunoslav  Belaj;048/837-154 , 048/837-020 , 048/837-585 , 048/837-129;048/837-020;ured@os-apalmovica-rasinja.skole.hr;NA;  Osnovna škola ANDRIJE PALMOVIĆA - Područna škola Kuzminec   , KUZMINEC 143A, 48312 Kuzminec ,   Osnovna škola ANDRIJE PALMOVIĆA - Područna škola Subotica Podravska   , Trg Mladosti 23, 48311 Subotica Podravska ,   Osnovna škola ANDRIJE PALMOVIĆA - Područna škola Veliki Poganac   , Veliki Poganac 38a, 48312 Veliki Poganac
OSNOVNA ŠKOLA SOKOLOVAC;Osnovna škola;Matična škola;NA;06-254-001;0-0;Koprivničko-križevačka;TRG DR. TOMISLAVA BARDEKA 1O;48306  Sokolovac; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Saša  Korkut;048 270800 , 048 270-537 , 048 270-538 , 048 270-539 , 048 270-377  , 048/838-068 , 048/838-068 , 048/270-540;048/838-068;ured@os-sokolovac.skole.hr;www.os-sokolovac.skole.hr;  OSNOVNA ŠKOLA SOKOLOVAC - Područna škola Mala Mućna   , MALA MUČNA 18, 48306 Mala Mučna ,   OSNOVNA ŠKOLA SOKOLOVAC - Područna škola Srijem   , Srijem 45 A, 48306 Srijem ,   OSNOVNA ŠKOLA SOKOLOVAC - Područna škola Velika Mućna   , VELIKA MUČNA 78, 48306 Velika Mučna ,   OSNOVNA ŠKOLA SOKOLOVAC - Područna škola Veliki Botinovac   , VELIKI BOTINOVAC 22, 48306 Veliki Botinovac
OSNOVNA ŠKOLA SVETI PETAR OREHOVEC;Osnovna škola;Matična škola;NA;06-255-001;0-0;Koprivničko-križevačka;SVETI PETAR OREHOVEC 90;48267  Sveti Petar Orehovec; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Stjepan  Lučki;048/856-257 , 048/856-257 , 048/856-257;048/856-257;ured@os-sveti-petar-orehovec.skole.hr;www.os-sveti-petar-orehovec.skole.hr ;  OSNOVNA ŠKOLA SVETI PETAR OREHOVEC - Područna škola Bočkovec   , BOČKOVEC 62, 48267 Bočkovec ,   OSNOVNA ŠKOLA SVETI PETAR OREHOVEC - Područna škola Fodrovec   , GORNJI FODROVEC 26 , 48267 Donji Fodrovec ,   OSNOVNA ŠKOLA SVETI PETAR OREHOVEC - Područna škola Gregurovec   , GREGUROVEC 65, 48265 Gregurovec ,   OSNOVNA ŠKOLA SVETI PETAR OREHOVEC - Područna škola Miholec   , MIHOLEC 20, 48267 Miholec
OSNOVNA ŠKOLA SIDONIJE RUBIDO ERDODY;Osnovna škola;Matična škola;NA;06-255-002;0-0;Koprivničko-križevačka;JABLANOVA 1;48268  Gornja Rijeka; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Darko  Zvonar;048/855-002 , 048/855-002 , 048/270-225 , 048/ 271-565;048/855-002;os.sidonije.rubido.erddy.gornja.rijeka@kc.t-com.hr;NA;  OSNOVNA ŠKOLA SIDONIJE RUBIDO ERDODY - Područna škola Hižanovec   , Hižanovec 4, 48269 Hižanovec ,   OSNOVNA ŠKOLA SIDONIJE RUBIDO ERDODY - Područna škola Kolarec   , Kolarec 85, 48268 Kolarec
OSNOVNA ŠKOLA KLOŠTAR PODRAVSKI;Osnovna škola;Matična škola;NA;06-256-001;0-0;Koprivničko-križevačka;1. SVIBNJA 50;48362  Kloštar Podravski; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Mirko  Šandrovčan;048/280-474 , 048/816-331 , 048/816-331 , 048/816-344 , 048/816-331, 816-344;048/816-331;ured@os-klostar-podravski.skole.hr;os-klostar-podravski.skole.hr;  OSNOVNA ŠKOLA KLOŠTAR PODRAVSKI - Područna škola Kozarevac   , Gajeva 3, 48362 Kozarevac ,   OSNOVNA ŠKOLA KLOŠTAR PODRAVSKI - Područna škola Podravske Sesvete   , TRG KRALJA TOMISLAVA 48, 48363 Podravske Sesvete ,   OSNOVNA ŠKOLA KLOŠTAR PODRAVSKI - Područna škola Prugovac   , PRUGOVAC, DUGA ULICA 24, 48362 Prugovac ,   OSNOVNA ŠKOLA KLOŠTAR PODRAVSKI - Područna škola Suha Katalena   , Matije Gupca 23, 48362 Suha Katalena
"OSNOVNA ŠKOLA ""GRIGOR VITEZ""";Osnovna škola;Matična škola;NA;06-257-001;0-0;Koprivničko-križevačka;Trg Karla Lukaša 7;48214  Sveti Ivan Žabno; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Tomislav  Hanžeković;048/211-009 , 048/271-569 , 048/271-531 , 048/851-408 , 048/211-025 , 048/271-530 , 048/271-533 , 048/211-089;048/851-408;ured@os-gvitez-zabno.skole.hr;http://os-gvitez-zabno.skole.hr;  OSNOVNA ŠKOLA GRIGOR VITEZ - Područna škola Cirkvena   , TRG SLOBODE 2, 48213 Cirkvena ,   OSNOVNA ŠKOLA GRIGOR VITEZ - Područna škola Sveti Petar Čvrstec   , Sveti Petar Čvrstec, Purga 53, 48264 Sveti Petar Čvrstec (1 zaselak) ,   OSNOVNA ŠKOLA GRIGOR VITEZ - Područna škola Trema   , TREMA, GRUBIŠEVO 17, 48214 Trema
OSNOVNA ŠKOLA MOLVE;Osnovna škola;Matična škola;NA;06-258-001;0-0;Koprivničko-križevačka;TRG KRALJA TOMISLAVA 10;48327  Molve; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ivan  Jaković;048/892-031 , 048/892-027;048/892-027;ivan.jakovic1@os-molve.skole.hr;NA;  OSNOVNA ŠKOLA MOLVE - Područna škola Repaš   , Repaš 66, 48327 Repaš ,   OSNOVNA ŠKOLA MOLVE - Područna škola Medvedička   , MEDVEDIČKA 71, 48355 Novo Virje
OSNOVNA ŠKOLA FERDINANDOVAC;Osnovna škola;Matična škola;NA;06-259-001;0-0;Koprivničko-križevačka;DRAVSKA 66;48356  Ferdinandovac; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Miroslav  Fuček;048/210-001 , 048/210-001 , 048/817-709 , 048/817-708;048/817-709;danijela.begovic@skole.hr , racunovodstvo-os-ferdinandovac@kckzz.hr  , ured@os-ferdinandovac.skole.hr ;http://www.os-ferdinandovac.skole.hr;  OSNOVNA ŠKOLA FERDINANDOVAC - Područna škola Crnec   , Trg mladosti 4, 48355 Novo Virje ,   OSNOVNA ŠKOLA FERDINANDOVAC - Područna škola Drenovica   , Trg Vladimira Jagarinca 1, 48355 Novo Virje
