naziv;osnivac;zupanija;adresa;mjesto;telefon;e_mail;podrucni_objekti
Dječji vrtić Anđeli čuvari;Sestre dominikanke samostan Anđela Čuvara , ;Dubrovačko-neretvanska županija ;Cvjetno naselje 24/a;Korčula;020/716-864;djecji.vrtic.andjeli.cuvari@gmail.com;NA
"Dječji vrtić ""Slapić""";Općina Plitvička jezera;Ličko-senjska županija ;Hrvatske mladeži 3;Korenica;053/776-015  099/3402-174;djecji.vrtic.slapic@gs.t-com.hr; PO Vidra, Mukinje, MUKINJE BB, 53231 MUKINJE PLITVIČKA JEZERA
"Dječji vrtić ""Zlatna ribica""";Općina Kostrena;Primorsko-goranska županija ;Žuknica 1a;Kostrena;051/289-573;zlatnaribica@zlatnaribica.hr;NA
"Skijaški klub ""SkiGuru""";Skijaški klub SkiGuru;Primorsko-goranska županija ;Glavani 104;Kostrena;091/597-3361;platak@skiguru.info;NA
"Dječji vrtić ""Tintilinić""";OPĆINA KOŠKA;Osječko-baranjska županija ;J. KOZARCA 7;Koška;031-681-400;vrtic.koska.tintilinic@gmail.com;NA
"Dječji vrtić ""Kotoriba""";Općina Kotoriba , OPĆINA KOTORIBA;Međimurska županija ;Ignaca Svetomartinskog 1;Kotoriba;040 682-038;bernardalatin@gmail.com;NA
Program predškole pri OŠ Kotoriba;Međimurska županija;Međimurska županija ;I. Svetomartinskog 1;Kotoriba;040/682-124;os-kotoriba@ck.t-com.hr;NA
"Dječji vrtić ""Ana""";Općina Dicmo;Splitsko-dalmatinska županija ;Kraj 42a;Kraj;021/837-268;dvana-dicmo@net.hr;NA
Program predškole pri OŠ Pavla Štoosa;Općina Kraljevec na Sutli;Krapinsko-zagorska županija ;Kraljevec na Sutli 125;Kraljevec na Sutli;049/554-086;skola@os-pstoosa-kraljevecnasutli.skole.hr; PO Radakovo, Radakovo 53, 49294 Kraljevec na Sutli
"DV ""Orepčići""";Grad Kraljevica;Primorsko-goranska županija ;Faranski progon 12;Kraljevica;051/281-211;vrtic.orepcici@gmail.com; PO Kraljevica, Strossmayerova 32,  
"Dječji vrtić ""Sunčica""";Zoran Vorih;Krapinsko-zagorska županija ;Tkalci 65;Krapina;049/354-235;djecji.vrtic.suncica@kr.t-com.hr;NA
"Dječji vrtić ""Gustav Krklec""";Grad Krapina;Krapinsko-zagorska županija ;Magistratska 11/1;Krapina;049/371-138;info@vrtic-gustav-krklec-krapina.hr ; PO Jesenje, Gornje Jesenje 78, 49233 Gornje Jesenje ,  PO Petrovsko, Petrovsko 58, 49234 Petrovsko  ,  PO Područne škole grada Krapine , Magistratska 11/1, 49000 Krapina
"Dječji vrtić ""Mali Kaj""";Domagoj Biškup , ;Krapinsko-zagorska županija ;I. G. Kovačića 13;Krapina;"01/3356226 ; 095/1211012";domagoj.mali.kaj@gmail.com; PO Mali Kaj - Brdovec, Braće Bukovina 1 a , 10291 Brdovec ,  PO Podgora krapinska, Podgora krapinska 76, 49000 Krapina
"Dječji vrtić ""Maslačak""";Općina Krapinske Toplice , Općina Krapinske Toplice;Krapinsko-zagorska županija ;Toplička ulica 34;Krapinske Toplice;049/232-838;djecji.vrtic.maslacak@kr.t-com.hr;NA
Program predškolskog odgoja pri Centru za odgoj i obrazovanje Krapinske Toplice;Krapinsko-zagorska županija;Krapinsko-zagorska županija ;Ljudevita Gaja 2;Krapinske Toplice;049 500 667;ured@centar-krapinske-toplice-kr.skole.hr;NA
"Dječji vrtić ""Didi""";Karmen Pavlic;Zagrebačka županija ;Krašić 4d;Krašić;2750-912;tajnistvo.didi@gmail.com;" PO Suncokret, B.Huzanića 67, 10370 Dugo Selo ,  PO Tratinčica, S.Radića 42, 10370 Prikraj ,  PO Palčica, Zagrebačka 8, 10450 Klinča Sela ,  PO Draganić, Mrzljaki 1, 47201 Mrzljaki ,  Program predškole u Područnoj školi Lupoglav OŠ Stjepan Radić u Božjakovini, ,   ,  PO Velika Gorica, Kolodvorska 64/2,   ,  PO Stupnik, Svetog Benedikta 79 c,   ,  PO Kravarsko, Trg Stjepana Radića 19,   ,  PO ""Lajdica"", Pokupsko 25a,   ,  Područni objekt ""CRO KID"" , Svetonedjeljska 7,  "
"Dječji vrtić ""Križ""";Općina Križ;Zagrebačka županija ;Školska bb;Križ;01/2824528;vrtickriz@gmail.com; PO Novoselec, Hrvatske mladeži bb, 10315 Novoselec
"Dječji vrtić ""Zraka Sunca""";Djelo Marijino-Pokret fokolara;Koprivničko-križevačka županija ;Potočka bb;Križevci;048/718-657;zraka-sunca@kc.htnet.hr;NA
Kraći program predškolskog odgoja pri Osnovnoj glazbenoj školi Alberta Štrige;Grad Križevci;Koprivničko-križevačka županija ;Ulica Antuna Gustava Matoša 4;Križevci;048/711-274;tajnistvo@ss-glazbena-astrige-kc.skole.hr;NA
"Dječji vrtić ""Križevci""";Grad Križevci;Koprivničko-križevačka županija ;Matije Gupca 52;Križevci;048/681-309;vrtic@krizevci.hr;NA
COOR KRIŽEVCI;Grad Križevci , Grad Križevci;Koprivničko-križevačka županija ;Matije Gupca 36;Križevci;048/270-836;ured@centar-odgoj-obrazovanjeirehabilitacija-kc.skole.hr;NA
Gradska knjižnica Franjo Marković Križevci;Grad Križevci;Koprivničko-križevačka županija ;Trg svetog Florijana;Križevci;048/682-646;knjiznica-krizevci@kc.t-com.hr;NA
"Dječji vrtić ""Čarobna šuma""";Karmen Pavlic;Koprivničko-križevačka županija ;Trg sv.Florijana 14 ;Križevci;048/498-539;vrtic.carobnasuma@gmail.com; PO Čarobna šuma u Zagrebu, Buzinski prilaz 33, 10000 Zagreb ,  Područni objekt Djetić, Trg dr. Tomislava Bardeka 10B,  
"Dječji vrtić ""Katarina Frankopan""";Grad Krk , ;Primorsko-goranska županija ;Smokvik 7;Krk;051/667-141;dvfk-krk@ri.t-com.hr; PO Njivice, Stražbica 5, 51512 Njivice ,  PO Omišalj, Baječ 19c, 51513 Omišalj ,  PO Vrbnik, Retec 5, 51516 Vrbnik ,  PO Vrh, Vrh 126, 51500 Vrh ,  PO Malinska, Priko poja 9, 51511 Malinska ,  PO Polje, Stanišće 12, 51515 Šilo - Polje ,  PO Baška, Ditris 2, 51523 Baška ,  PO Punat, Ivana Gorana Kovačića 81,   ,  PO Krk, Galija 36,  
Program predškolskog odgoja pri OŠ Katarine Zrinski;Karlovačka županija;Karlovačka županija ;Krnjak 20;Krnjak;047/727-200;ured@os-kzrinski-krnjak.skole.hr;NA
Dječji vrtić KOCKICA;Općina Kršan;Istarska županija ;Pristav 121;Kršan;052 383 241;kockica.krsan@gmail.com; PO Potpićan, Kršanska 2,  
"Dječji vrtić ""Manulica""";Općina Kukljica;Zadarska županija ;KUKLJICA bb;Kukljica;023/373-590;djecji.vrtic.manulica@zd.t-com.hr;NA
"Dječji vrtić ""Jaglac""";Općina Kumrovec;Krapinsko-zagorska županija ;Antuna Mihanovića 8;Kumrovec;049/553-196, 099/2208440;jaglac.vrtic@gmail.com;NA
"Dječji vrtić ""Kutina""";GRAD KUTINA , GRAD KUTINA;Sisačko-moslavačka županija ;Augusta Cesarca 4a;Kutina;044/631-333, 631-300;vrtic-kutina@sk.t-com.hr; PO Maslačak, Andrije Hebranga 1, 44320 Kutina ,  PO Košuta, A. B. Šimića 25, 44320 Kutina ,  PO Bubamara, Kneza Trpimira 8, 44320 Kutina ,  PO Tratinčica, Gajeva bb - Hrvatski, 44319 Repušnica  ,  PO Banova Jaruga, Stjepana Radića 118, 44321 Banova Jaruga ,  PO Leptirić, Slavonska 53, 44321 Međurić  ,  PO Potočnica, Ulica kralja Petra Krešimira IV 53,   ,  PO Vrapčići, Školska ulica 2,   ,  PO Pčelica, Cvjetni trg 3,  
"Dječji vrtić ""Grozdić""";Grad Kutjevo;Požeško-slavonska županija ;Vrtićka ulica 4;Kutjevo;034/255-175;dvkutjevo@gmail.com;NA
"Dječji vrtić ""Gloria""";Oriana Šćulac Sellan;Istarska županija ;Matije Grpca 2;Labin;052/857-400;vrtic.gloria@gmail.com;NA
"Dječji vrtić ""Pjerina Verbanac""";Grad Labin;Istarska županija ;Prilaz Kršin 2;Labin;052/856-550;ravnateljica@dvlabin.hr; PO Vinež, Vinež 92B, 52220 Labin ,  PO Jaslice, Istarska 10, 52220 LABIN ,  PO Rabac, Jadranska bb, 52220 Rabac ,  PO Raša, Raša I. Batelića 2, 52223 RAŠA ,  PO Stari grad, Dolinska 2,   ,  PO Vrećari, Vrećari 23e,  
Umjetnička škola Matka Brajše Rašana;Grad Labin;Istarska županija ;Alda Negrija 11;Labin;052 885 443 i 052 885 439;ured@us-mbrasana.skole.hr;NA
PO i Program predškole pri Osnovnoj školi Antun Klasinc Lasinja;Karlovačka županija / Općina Lasinja;Karlovačka županija ;Trg hrvatskih branitelja 11;Lasinja;047/884-199;ured@osakl.hr;NA
Dječji vrtić Biser Lastova;Općina Lastovo;Dubrovačko-neretvanska županija ;Homac 5;Lastovo;020/801–220;djecji.vrtic@lastovo.hr;NA
"Dječji vrtić ""Dabrić""";Općina Legrad;Koprivničko-križevačka županija ;Trg svetog Trojstva ;Legrad;048 835 318;djecji.vrtic.dabric@kc.t-com.hr;NA
"Dječji vrtić ""Lekenik""";Općina Lekenik;Sisačko-moslavačka županija ;Hermanna Gmeinera 1;Lekenik;044 772 150;djecji.vrtic.lekenik@sk.t-com.hr; PO u prostoru Narodne knjižnice i čitaonice Lekenik, Hermanna Gmeinera 2,   ,  PO OŠ Mladost, Zagrebačka ulica 25b,  
"Dječji vrtić ""Lepoglava""";Grad Lepoglava;Varaždinska županija ;Trg kralja Tomislava 13;Lepoglava;042/791-043;djecjivrticlepoglava@gmail.com; PO Donja Višnjica, Donja Višnjica 1B,  
"Dječji vrtić ""RUNOLIST""";Dragutin Svetec;Varaždinska županija ;Žarovnica 110j;Lepoglava;0913106862;djecjivrticrunolist@gmail.com;NA
"Dječji vrtić ""Kockica""";grad Lipik;Požeško-slavonska županija ;Slavonska 40;Lipik;034/314-372,421-352;kockica.djecji.vrtic.lipik@po.t-com.hr; PO Poljana, Antunovačka 23, 34543 Poljana
Program predškole pri OŠ Lipovac u Lipovcu;Vukovarsko-srijemska županija;Vukovarsko-srijemska  županija ;Cvjetno naselje 8;Lipovac;032/ 270 060;ured@os-lipovac.skole.hr;NA
Dječji vrtić Iskrica;Općina Lipovljani , OPĆINA LIPOVLJANI;Sisačko-moslavačka županija ;Ante Starčevića 1;Lipovljani;044/676-003;vrtic.lipovljani@gmail.com;NA
Program predškole pri OŠ Ivan Goran Kovačić;Zadarska županija;Zadarska županija ;Lišane Ostrovičke 22;Lišane Ostrovičke;023/661128;ured@os-igkovacic-lisaneostrovicke.skole.hr;NA
"Dječji vrtić ""Bubamara-Coccinella""";Općina Ližnjan;Istarska županija ;Ližnjan 147;Ližnjan;052/574-669;bubamara.liznjan@gmail.com; PO Šišan, G. Dabran 16, 52204 Šišan
Dječji vrtić Ivančica;NA;Krapinsko-zagorska županija ;Zagrebačka 12a;Lobor;049 419 937, 098 181 32 84    ;suzana.matejas4@gmail.com;NA
Dječj ivrtić Ivančica-Lobor;NA;Krapinsko-zagorska županija ;Zagrebačka ulica 12 a;Lobor;049/419-937;ravnateljica@djecjivrticivancicalobor.hr;NA
Program predškolskog odgoja pri OŠ Rudolfa Strohala;Općina Lokve;Primorsko-goranska županija ;Školska 22;Lokve;051/831-213;"os.rudolfa.strohala@gmail.com ; d.v.lokve@gmail.com";NA
Dječji vrtić „Jurovska pčelica“; , Općina Sveti Juraj na Bregu;Međimurska županija ;Ivana Gorana Kovačića 111/a;Lopatinec;040/337-028, 099 500 3259 ;dv.jpcelica@gmail.com;NA
Program predškolskog odgoja i program predškole pri OŠ Lovas;OŠ LOVAS;Vukovarsko-srijemska  županija ;Matije Gupca 2;Lovas;032/525140;ured@os-lovas.skole.hr;NA
"Dječji vrtić ""Mali medo""";Općina Lovinac;Ličko-senjska županija ;Dr. Franje Tuđmana 15;Lovinac;053 667 290;vrtic@lovinac.hr;NA
Udruga UČI PJEVAJUĆI;Ivana Horvat;Varaždinska županija ;Ulica Antuna Mihanov;Ludbreg;0958747983;ivana.horvat17@gmail.com;NA
"Predškolski odgoj pri Udruzi "" LUDBREŠKO SUNCE""";"""LUDBREŠKO SUNCE"" udruga za osobe s invaliditetom";Varaždinska županija ;Globočec Ludbreški, Izvorska 6;Ludbreg;042/819-636;ludbresko.sunce@gmail.com;NA
"Dječji vrtić ""Radost""";Grad Ludbreg;Varaždinska županija ;A. Šenoe 4;Ludbreg;042/810-633;radostludbreg@gmail.com;NA
"Dječji vrtić ""Iskrica""";Martina Vrabec Igor Varga;Varaždinska županija ;Braće Radića 14;Ludbreg;042/811-041;iskrica.ravnatelj@gmail.com;NA
"Dječji vrtić ""Smjehuljica""";Gordana Trnjak - Vajagić , Gordana Trnjak-Vajagić;Varaždinska županija ;A. Nemčića 13;Ludbreg;042/810-691;dv.smjehuljica@gmail.com;NA
"Dječji vrtić ""LEPTIRIĆ""";Općina Ljubešćica;Varaždinska županija ;Zagrebačka 22 A;Ljubešćica;042 623 829;dv-leptiric@ljubescica.hr;NA
Program predškole pri OŠ dr. Ivana Novaka;Međimurska županija;Međimurska županija ;Glavna 32;Macinec;040/858-482;pedagog@os-macinec.t-com.hr; PO Gornji Hrašćan, Varaždinska 40, 40306 Gornji Hrašćan
Program predškole pri OŠ Mače;Općina Mače;Krapinsko-zagorska županija ;Mače 32;Mače;049/466-584;ured@os-mace.skole.hr; PO Peršaves, Peršaves bb, 49251 Mače
DV Mačići;NA;Krapinsko-zagorska županija ;Mače 84 E;Mače;049 249 087;info@djecjivrticmacici.hr;NA
"Dječji vrtić ""Biokovsko zvonce""";Grad Makarska;Splitsko-dalmatinska županija ;Molizanskih Hrvata 2;Makarska;021/690-444,021/691-014;ravnatelj@dv-biokovskozvonce.hr, ravnatelj.zvonce@gmail.com; PO Maslačak, Lička 2, 21300 Makarska ,  PO Radost, Dr.Mate Ujevića 2, 21300 Makarska ,  PO Pčelica, Jadranska 4, 21300 Makarska ,  PO Ciciban, Molizanskih Hrvata 2, 21300 Makarska ,  PO Vrapčić, Breljanske skale 1, 21300 Makarska ,  PO Tučepi, Kraj 16, 21325 Tučepi ,  PO Zvončica, Vladimira Nazora 1A, 21300 Makarska ,  PO Veseljko, Mate Vladića 101,  
"Dječji vrtić ""Potočnica""";Općina Mala Subotica , OPĆINA MALA SUBOTICA;Međimurska županija ;Glavna 55 A;Mala Subotica;040/631-320;potocnica51@gmail.com;NA
Program predškole pri OŠ Tomaša Goričanca;MEĐIMURSKA ŽUPANIJA;Međimurska županija ;Glavna 55;Mala Subotica;040/631-620;ured@os-mala-subotica.skole.hr;NA
"Dječji vrtić ""Krijesnica""";Općina Mali Bukovec , Općina Mali Bukovec;Varaždinska županija ;Ulica Vladimira Nazora 3a;Mali Bukovec;042 843 277 ;krijesnica@mali-bukovec.hr; Područni objekt Veliki Bukovec, Dravska ulica 42a,  
Dječji vrtić Cvrčak;Grad Mali Lošinj;Primorsko-goranska županija ;Omladinska 14;Mali Lošinj;051/232-031;cvrcaklosinj@gmail.com; PO Veli Lošinj, Vladimira Nazora 41A, 51551 Veli Lošinj ,  PO Nerezine, Marija Marinculića 2, 51554 Nerezine ,  PO Mali Lošinj, Lošinjskih brodograditelja 17, 51550 Mali Lošinj ,  PO Veli Lošinj jaslice , Vladimira Gortana 5,  
Dječji vrtić Vinica;Općina Vinica;Varaždinska županija ;Ulica Josipa Dumbovića 3;Marčan;042/ 722-233;vrticvinica@gmail.com;NA
"Dječji vrtić ""Vrtuljak Marčana""";Općina Marčana , Općina Marčana;Istarska županija ;Marčana 166A;Marčana;052/571-222;puvrtuljak@gmail.com; PO Rakalj, M.Percan bb, 52206 Rakalj
"Dječji vrtić ""Pinokio""";Vesna Ušić , VESNA UŠIĆ;Istarska županija ;Loborika 45;Marčana;052/550-265;dvpinokio1@gmail.com;NA
"Dječji vrtić ""Pušlek""";Općina Marija Bistrica;Krapinsko-zagorska županija ;Zagrebačka 15;Marija Bistrica;049/468-297;djecji.vrtic.puslek@kr.t-com.hr;NA
"Dječji vrtić ""Marina""";OPĆINA MARINA ;Splitsko-dalmatinska županija ;Ante Rudana 47;Marina;021/889-000;djeciji.vrtic.marina@st.t-com.hr; PO Bosiljak, Ante Rudana 47, 21222 Marina ,  PO Bubamara, GUSTIRNA VIII/4, 21222 GUSTIRNA ,  PO Leptirić, VINIŠĆE, 21226 VINIŠĆE ,  PO Cvrčak, VRSINSKA CESTA 46 A I 46 B, 21222 VRSINE ,  PO Krijesnica, Pozorac 4,  
Dječji vrtić Markušica;NA;Vukovarsko-srijemska  županija ;VukaStefanovića Karadžića 3a;Markušica;NA;opcina-markusica@vk.t-com.hr;NA
Dječji vrtić Vlakić Martijanec;Općina Martijanec;Varaždinska županija ;Školska ulica 3B;Martijanec;042/351-846 ;djecji.vrtic.vlakic.martijanec@vz.ht.hr;NA
"DV ""DUDA""";NOVAK NEKRETNINE j.d.o.o.;Varaždinska županija ;Hrastovljan 92, 42232 Martijanec;Martijanec;042 456 789;djecjivrticduda@gmail.com;NA
"Dječji vrtić ""Čarolija""";Kumrić Tomica;Varaždinska županija ;Bikovec 91;Maruševec;"042 625 768 ;098 546 299";carolija@dvcarolija.hr;NA
"Dječji vrtić ""Matulji""";Općina Matulji;Primorsko-goranska županija ;Šetalište Drage Gervaisa 4;Matulji;051 274 127;djecji.vrtic.matulji@ri.t-com.hr; PO Mune, Vele Mune 3, 51212 Vele Mune ,  PO Rupa-Lipa, Rupa 5, 51214 Šapjane ,  PO Rukavac, Rukavac bb, 51211 Matulji ,  PO Jušići, Jušići 127, 51213 Jurdani ,  PO Brgud, Veli Brgud 6, 51213 Jurdani ,  PO Brešca, Brešca 1, 51213 Jurdani
"Dječji vrtić ""Sunčica""";Snježana Taljat Milojević;Istarska županija ;Banjole, Kamik 18;Medulin;095 8142428;taljat.nena@gmail.com;NA
"Dječji vrtić ""Medulin""";Općina Medulin;Istarska županija ;Munida 3A;Medulin;052/576-760;info@dvmedulin.hr; PO Premantura, Selo bb, 52203 Premantura ,  PO Vinkuran, Centar 3, 52203 Vinkuran ,  PO Pomer, Pomer 293, 52100 Pomer
"Dječji vrtić ""Leut""";Nada Pažin;Dubrovačko-neretvanska županija ;Dubrovačka 20/3;Metković;091/3682782;nada.pazin3@gmail.com;NA
"Dječji vrtić ""Metković""";Grad Metković;Dubrovačko-neretvanska županija ;Kralja Zvonimira 22;Metković;020/ 681-515;dvmetkovic@gmail.com; PO Radost, Jadranska , 20350 Metković ,  PO Vid, Vid, 20352 Vid ,  Program predškolskog odgoja pri OŠ Otrići - Dubrave, Otrić-Seoci bb, 20342 Otrić-Seoci
Dječji vrtić Miholjček ;NA;Krapinsko-zagorska županija ;Mihovljan 49 D;Mihovljan;049/221-031;dv.miholjcek@gmail.com;NA
"DV ""Milna""";Općina Milna;Splitsko-dalmatinska županija ;Milna bb;Milna;021/636-115;dv.milna@gmail.com;NA
"Dječji vrtić ""Župa dubrovačka""";Općina Župa dubrovačka;Dubrovačko-neretvanska županija ;Vukovarska 48;Mlini;020/ 485-029;vrtic.zupa@gmail.com;NA
Dječji vrtić Pčelica;Grad Dubrovnik;Dubrovačko-neretvanska županija ;Bartola Kašića 25;Mokošica;020 32 55 91, 099 58 99 174;info@dv-pcelica.hr; PO Uz Jadransku cestu 1, Uz Jadransku cestu 42,   ,  PO Uz Jadransku cestu 2, Uz Jadransku cestu 42A,   ,  PO Mala kuća, Put na more 11,   ,  PO Gromača, Gromača bb,   ,  PO Od Izvora, Od izvora 70C,  
"Dječji vrtić ""Pčelica""";Općina Molve;Koprivničko-križevačka županija ;Trg kralja Tomislava;Molve;048/892-115;djecji.vrtic.pcelica1@kc.t-com.hr;NA
"Dječji vrtić ""Maslačak""";Grad Mursko Središće;Međimurska županija ;Ulica Slatine 2;Mursko Središće;040/343 064, 098/1814215;maslacak@mursko-sredisce.hr; PO Peklenica, Školska 4, 40315 Peklenica
"Dječji vrtić ""Bubamara""";Zvonko Kuzminski;Osječko-baranjska županija ;Braće Radića 140;Našice;031/614-040;djecji.vrtic.bubamara.nasice@gmail.com;NA
"Dječji vrtić ""Potočnica""- jaslice";Sanela Delić;Osječko-baranjska županija ;J.J.Strossmayera 82;Našice;095/876-4899;jaslice.potocnica@gmail.com;NA
"DV ""Zvončić""";GRAD NAŠICE;Osječko-baranjska županija ;Dore Pejačević 4;Našice;031/613-215;"ravnateljicavticna@gmail.com; djecji.vrtic.zvoncicnasice@os.t-com.hr"; PO Podgorač, HINKA JUHNA 6, 31433 PODGORAČ ,  PO Donja Motičina, MATIJE GUPCA, 31513 DONJA MOTIČINA ,  PO Jelisavac, Jana Žiške bb,  
"Dječji vrtić ""Zvončić""";Općina Nedelišće;Međimurska županija ;Uska 16b;Nedelišće;040/821-801;zvoncicvrtic@gmail.com;NA
"Dječji vrtić ""Zvjezdica""";Annemarie Panić ,  ANNEMARIE PANIĆ;Međimurska županija ;Varaždinska 25 b;Nedelišće;040/500-635;anne.panic@gmail.com;NA
Program predškolskog odgoja pri OŠ Negoslavci;Općina Negoslavci;Vukovarsko-srijemska  županija ;Petrovačka 2;Negoslavci;032/517-977;ured@os-negoslavci.skole.hr;NA
Dječji vrtić Bambi Nijemci;Općina Nijemci;Vukovarsko-srijemska  županija ;Lovorova 2;Nijemci;032 280012;dvbambinijemci@gmail.com;NA
"Dječji vrtić ""Morska vila""";Grad Nin;Zadarska županija ;Dr. Franje Tuđmana 5;Nin;023/323-485;morskavila@optinet.hr; PO Poljica Brig, Poljica Brig, 23232 Nin ,  PO Branimirova, Branimirova ulica 11, 23232 Nin
Predškolski odgoj pri OŠ Vladimira Nazora;OPĆINA NOVA BUKOVICA;Virovitičko-podravska županija ;ZAGREBAČKA 28;Nova Bukovica;033/400-396;skola@os-vnazora-novabukovica.skole.hr;NA
Dječji vrtić Nova Gradiška;grad Nova Gradiška;Brodsko-posavska županija ;Trg dr. Franje Tuđmana 2;Nova Gradiška;035/361-773;racunovodstvo@dvng.hr; PO Bljesak, Grigora Viteza 17, 35430 Okučani ,  PO Matija Gubec, Školska 12, 35404 Cernik ,  PO Vjeverica, Trg kralja Tomislava 1, 35420 Staro Petrovo selo ,  PO Zvončić, Trg kralja Tomislava 5, 35410 Nova Kapela ,  PO Radost, Alojzija Stepinca 2,  
Osnovna škola Ivana Viteza Trnskog;Općina Nova Rača;Bjelovarsko-bilogorska županija ;Trg Stjepana Radića 54;Nova Rača;043/886-900;ured@os-ivt-nova-raca.skole.hr;NA
"Dječji vrtić ""Carić""";grad Novalja , grad Novalja;Ličko-senjska županija ;Zeleni put 3;Novalja;053/662-269 663-672;ravnateljica@vrtic-caric.hr;NA
"Dječji vrtić ""Novi Marof""";GRAD NOVI MAROF , GRAD NOVI MAROF;Varaždinska županija ;OTONA IVEKOVIĆA 12;Novi Marof;042611271;ravnateljica@vrtic.novi-marof.hr; Predškola Makvišće Donje, PODRUTE bb, 42220 NOVI MAROF ,  Predškola završje, ZAVRŠJE PODBELSKO bb, 42242 RADOVAN
Kraći program predškolskog odgoja pri Osnovnoj školi Novi Marof-osnovno glazbeno obrazovanje;GRAD NOVI MAROF;Varaždinska županija ;Zagorska 30;Novi Marof;042/611-094;logozardragan@gmail.com;NA
"Dječji vrtić ""Bambi""";Edita Bunić;Varaždinska županija ;Zagorska ulica 71;Novi Marof;042 711 245;vrticbambici@gmail.com; PO Sračinec, Dravska 40, 42209 Sračinec ,  PO Ivanec, Rudarska 1a,   ,  PO Petrijanec, Ulica v. Nazora 40a,  
"Dječji vrtić ""Sretna djeca""";Martina Repić;Varaždinska županija ;Grana 149;Novi Marof;091-391-9870;dv.sretnadjeca@gmail.com;NA
"Dječji vrtić ""Fijolica""";Grad Novi Vinodolski;Primorsko-goranska županija ;Lokvica 4;Novi Vinodolski;051/244-029;dv-fijolica@ri.t-com.hr;NA
"Dječji vrtić ""Tičići""";Grad Novigrad , /;Istarska županija ;Emonijska 6;Novigrad;052/757-965;dv-ticici@pu.t-com.hr;NA
Dječji vrtić SUNCOKRET - NOVIGRAD;GRAD NOVIGRAD -CITTA' DI CITTANOVA;Istarska županija ;Emonijska 6;Novigrad;052 726 864;girasole.suncokret@gmail.com;NA
"Dječji vrtić ""Fijolica""";Općina Novigrad;Koprivničko-križevačka županija ;Gajeva bb;Novigrad Podravski;048/832-862;vrtic.fijolica2@gmail.com;NA
Dječji vrtić Bregunica;Općina Novo Virje;Koprivničko-križevačka županija ;Drenovica 6;Novo Virje;048/ 810 -022;vrtic.bregunica@gmail.com;NA
"Dječji vrtić ""Radost""";Grad Novska , GRAD NOVSKA;Sisačko-moslavačka županija ;Ivane Brlić Mažuranić 1;Novska;044/600-320;vrtic.radost@optinet.hr; PO Pastoralni centar , Matije Gupca 27,   ,  PO Stribor, Posavska ulica 5,  
"Dječji vrtić ""Vrtuljak""";Općina Nuštar;Vukovarsko-srijemska  županija ;Ulica breza 2;Nuštar;032/386-007;vrtuljak5@gmail.com;NA
"Dječji vrtić ""Obrovac""";Grad Obrovac;Zadarska županija ;Ulica Ivane Brlić Mažuranić bb;Obrovac;023/689-145;vrtic.obrovac@gmail.com; PO u OŠ Karin, Karin bb, 23452 Karin
Dječji vrtić Mudre glavice;Mudre glavice d.o.o.;Grad Zagreb;Ivana Lackovića Croate 13;Odra;01 5811 100   // 091 1910 993;dvmudreglavice@yahoo.com;NA
"Dječji vrtić ""Bistrac""";Grad Ogulin;Karlovačka županija ;Sveti Petar 41 d;Ogulin;047/522-001;info@bistrac.hr    ; PO Preradovićeva, Petra Preradovića 23,  
"Dječji vrtić ""Kadujica""";Općina Okrug ;Splitsko-dalmatinska županija ;Ulica 30. svibnja  br.12;Okrug Gornji;021/892 029;ravnatelj@vrtic-kadujica.hr;NA
"Dječji vrtić ""Omiš""";Grad Omiš;Splitsko-dalmatinska županija ;Put mostine bb;Omiš;021/862-603;djecji.vrtic.omis1@st.t-com.hr;" PO Potočić, Četvrt Kralja Zvonimira 5, 21310 Omiš ,  PO Radost, Vangrad 3, 21310 Omiš ,  PO Visibaba, Cetinska cesta 4, 21310 Omiš ,  PO Pčelica, Joke Kneževića 12, 21310 Omiš ,  PO Smilje, Put Pocelja 2, 21253 Gata ,  PO Galeb, Put mostine bb, 21310 Omiš ,  PO Kamenčić, Put pasika 3, 21207 Kostanje ,  Program predškole pri OŠ Srijane, Put mostine bb, 21310 Omiš ,  PO Trešnjica, Trg sv. Roka 2, 21252 Tugare ,  PO Vrbica, Ulica dr. Franje Tuđmana 8, 21254 Blato n/c ,  PO ""Golubica"", Frane Josipa 63-65,   ,  PO Mali gusar, Put Ribnjaka 11,  "
"Dječji vrtić ""Opatija""";Grad Opatija;Primorsko-goranska županija ;Antona Mihića 5a;Opatija;051/271-665;ravnatelj@djecji-vrtic-opatija.hr; PO Volosko, Katalinićeve stube 9, 51410 Opatija ,  PO Lovran, Brajdice 13, 51415 Lovran ,  PO Ičići, Liburnijska 30, 51414 Ičići ,  PO Veprinac, Stari grad 15, 51414 Ičići
Kraći program predškolskog odgoja pri Osnovnoj glazbenoj školi Mirković;Olivera Mirković;Primorsko-goranska županija ;Andrije Štangera 67;Opatija;051/701-390;mirkovic.school@gmail.com;NA
udruga Društvo Naša djeca;"Društvo ""Naša djeca"" Opatija";Primorsko-goranska županija ;Ulica Maršala Tita 157;Opatija;051 272 443;info@dnd-opatija.hr;NA
Program predškolskog odgoja pri OŠ Milan Šorgo;Općina Oprtalj;Istarska županija ;Matka Laginje 25;Oprtalj;052/644-010;ured@os-msorga-oprtalj.skole.hr;NA
