naziv;opis;sifra;zupanija;adresa;mjesto;lokacija;ravnatelj;telefon;faks;e_mail;web
SREDNJA ŠKOLA JASTREBARSKO;Srednja škola;01-033-501;Zagrebačka;VEĆESLAVA HOLJEVCA 11;10450  Jastrebarsko; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Sonja  Stipanović;01/628-14-84 , 01/628-35-44;01/6271169;srednja.skola.jastrebarsko@gmail.com , srednja.jastrebarsko@skole.hr;www.ss-jastrebarsko.skole.hr
SREDNJA ŠKOLA HVAR - izdvojena lokacija u Jelsi;Srednja škola;17-029-501;Splitsko-dalmatinska;Pelinje b.b.;21465  Jelsa; Potraži na karti školu...        ili   Potraži na karti adresu...  ;NA;NA;NA;NA;NA
CENTAR ZA ODGOJ I OBRAZOVANJE DJECE I MLADEŽI;Osnovna škola, Posebna ustanova odgoja i obrazovanja, Srednja škola;04-034-010;Karlovačka;BANIJA 24;47000  Karlovac; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Volodymyr  Kubinskyy;047/648-548 , 047/648-395;047/648-395, 648-548;coodm@centar-odgojiobrazovanje-djeceimladezi-ka.skole.hr;centar-odgojiobrazovanje-djeceimladezi-ka.skole.hr
GLAZBENA ŠKOLA KARLOVAC;Osnovna škola, Srednja škola, Umjetnička škola;04-034-513;Karlovačka;CESARČEVA 3.;47000  Karlovac; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Snježana  Mrljak;047/642-669 , 047/600-575 , 047/615-161;NA;ravnatelj@glazbena-ka.hr , info@glazbena-ka.hr;NA
GIMNAZIJA KARLOVAC;Srednja škola;04-034-501;Karlovačka;RAKOVAC 4;47000  Karlovac; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Snježana  Štranjgar;047/ 654-130 , 047/654-132 , 047/655-996 , 047/654-131;047/654-130;kontakt@gimnazija-karlovac.hr;NA
PRIRODOSLOVNA ŠKOLA KARLOVAC;Srednja škola;04-034-504;Karlovačka;STJEPANA MIHALIĆA 43;47000  Karlovac; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Nenad  Klasan;047/613-003 , 047/600-807 , 047/614-085 , 047/600-806 , 047/613-002;047/636-688;ured@ss-prirodoslovna-ka.skole.hr;http://www.ss-prirodoslovna-ka.skole.hr/
EKONOMSKO - TURISTIČKA ŠKOLA;Srednja škola;04-034-505;Karlovačka;KURELČEVA 2;47000  Karlovac; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Lidija  Mikšić;047/614-596 , 04/614-597 , 047/614-595;047/614596;ured@ss-ekonomsko-turisticka-ka.skole.hr;www.ss-ekonomsko-turisticka-ka.skole.hr
ŠUMARSKA I DRVODJELJSKA ŠKOLA KARLOVAC;Srednja škola;04-034-506;Karlovačka;VATROGASNA CESTA 5;47000  Karlovac; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Daniel  Peris;047/609-599 , 047/609-591 , 047/609-594;047/611-175;sum.skola-klc@ka.t-com.hr;www.ss-sumarskaidrvodjeljska-ka.skole.hr
MEDICINSKA ŠKOLA;Srednja škola;04-034-507;Karlovačka;DOKTORA ANDRIJE ŠTAMPARA 5;47000  Karlovac; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Jasminka  Štajcer;047 600 808 , 047/431-371 , 047/431-304 , 047 431 303;047/431-304;medicinska.skola@ka.t-com.hr;www.medicinska-skola-karlovac.hr
TEHNIČKA ŠKOLA KARLOVAC;Srednja škola;04-034-508;Karlovačka;LJUDEVITA  JONKEA 2a;47000  Karlovac; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ivan  Janković;"047 615 808 , 047 615 809 , (047) 613 450 ; 654 568 , 047 615 806 , 047 615 805";NA;tehnicka-skola-ka@ka.htnet.hr , tehnicka-skola-ka@ka.t-com.hr;www.tehnicka-skola-karlovac.hr
TRGOVAČKO - UGOSTITELJSKA ŠKOLA;Srednja škola;04-034-509;Karlovačka;RADIĆEVA 8 i 10;47000  Karlovac; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Damir  Pleša;047/615-420 , 047/616-494 , 047/638-811 , 047/612-136 , 047/612-137 , 047/612-908 , 047/612-907;047/612-137;tus@ka.ht.hr , uprava@ss-trgovacko-ugostiteljska-ka.skole.hr;www.ss-trgovacko-ugostiteljska-ka.skole.hr/
MJEŠOVITA INDUSTRIJSKO - OBRTNIČKA ŠKOLA;Srednja škola;04-034-510;Karlovačka;Struga 33;47000  Karlovac; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Snježana  Erdeljac;047/615578 , 047/600-854 , 047/600-858;NA;racunovodstvo@ss-mios-ka.skole.hr , ured@ss-mios-ka.skole.hr ;http://www.ss-mios-ka.skole.hr
SREDNJA ŠKOLA BRAĆA RADIĆ;Srednja škola;17-124-501;Splitsko-dalmatinska;Put poljoprivrednika 5;21216  Kaštel Štafilić - Nehaj; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Marija  Kezele;234-587 , 021 234-505, 021 231-940 , 021/234-505 , 00385915025365 , 021/234-599;021/234-599;ured@ss-bracaradic-kastelstafilicnehaj.skole.hr;NA
SREDNJA ŠKOLA LOVRE MONTIJA;Srednja škola;15-036-502;Šibensko-kninska;Ikičina 30;22300  Knin; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Mirko  Antunović;022/660-330., 663-690 ;NA;ured@ss-lovre-montija-knin.skole.hr;NA
SREDNJA STRUKOVNA ŠKOLA KRALJA ZVONIMIRA;Srednja škola;15-036-503;Šibensko-kninska;IKIČINA 30;22300  Knin; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Milivoj  Ilić;022/660000 , 022/664910;NA;ured@ss-strukovna-kralja-zvonimira-kn.skole.hr;NA
SREDNJA ŠKOLA KONJŠČINA;Srednja škola;02-177-501;Krapinsko-zagorska;MATIJE GUPCA 5;49282  Konjščina; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Milojka  Rataić;049/465-084 , 049/465-141 , 049/464-356;049/465-141;ured@ss-konjscina.skole.hr , ss-konjscina@kr.htnet.hr;www.ss-konjscina.skole.hr
"GIMNAZIJA "" FRAN GALOVIĆ"" KOPRIVNICA";Srednja škola;06-037-501;Koprivničko-križevačka;DR.ŽELJKA SELINGERA 3A;48000  Koprivnica; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Vjekoslav  Robotić;048/621-099 , 048/279-801 , 048/279-803;048/279-817;gimnazija-fran-galovic@kc.t-com.hr , ured@gimnazija-fgalovic-koprivnica.skole.hr;www.gimnazija-fgalovic-koprivnica.skole.hr/
OBRTNIČKA ŠKOLA KOPRIVNICA;Srednja škola;06-037-502;Koprivničko-križevačka;TRG SLOBODE 7;48000  Koprivnica; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Zlatko  Martić;048/621-083 , 048/621-083 , 048/621-083;048/624-245;ured@ss-obrtnicka-koprivnica.skole.hr;NA
SREDNJA ŠKOLA KOPRIVNICA;Srednja škola;06-037-503;Koprivničko-križevačka;TRG SLOBODE 7;48000  Koprivnica; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Manuela  Gregurić;048/621-088 , 048/623-760;048/623-760;srednja.skola.koprivnica@kc.t-com.hr , ravnatelj@ss-koprivnica.skole.hr , srednja.skola.koprivnica1@kc.t-com.hr;NA
Umjetnička škola Fortunat Pintarić;Osnovna škola, Srednja škola, Umjetnička škola;06-037-504;Koprivničko-križevačka;Svilarska 12;48000  Koprivnica; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ariana  Šandl;048/623-356;NA;ravnatelj@glazbena.com , tajnistvo@glazbena.com;www.umjetnicka.net
SREDNJA ŠKOLA PETRA ŠEGEDINA;Srednja škola;19-038-501;Dubrovačko-neretvanska;ANTE STARČEVIĆA 52;20260  Korčula; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Lovre  Botica;020 711 314 , 020/711-129 , 020/715-060 , 020/711-904;020/715-060;srednja.skola.korcula@du.t-com.hr;http://ss-psegedina-korcula.skole.hr/
Srednja škola Plitvička jezera;Srednja škola;09-455-501;Ličko-senjska;Zagrebačka 2;53230  Korenica; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Željka  Brozović;018000599 , 018000599 , 018000599;018000599;ucenickidom@ss-plitvickajezera.skole.hr , josipa.pavlovic8@skole.hr , admin@ss-plitvickajezera.skole.hr , ured@ss-plitvickajezera.skole.hr ;www.ss-plitvickajezera.hr
SREDNJA ŠKOLA KRAPINA;Srednja škola;02-040-501;Krapinsko-zagorska;ŠETALIŠTE HRVATSKOG NARODNOG PREPORODA 6;49000  Krapina; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ivica  Rozijan;049/382-101  , 049/382-123  , 049/382-111 , 049/382-111 , 049/382-100 , 049/382-112  , 049/382-117;049/382-113;ured@ss-krapina.skole.hr;www.ss-krapina.skole.hr
Srednja škola Ivan Švear Ivanić Grad - izdvojena lokacija Križ;Srednja škola;01-032-501;Zagrebačka;Školska 10;10314  Križ; Potraži na karti školu...        ili   Potraži na karti adresu...  ;NA;NA;NA;NA;NA
GIMNAZIJA IVANA ZAKMARDIJA DIJANKOVEČKOGA KRIŽEVCI;Srednja škola;06-041-501;Koprivničko-križevačka;Milislava Demerca 8;48260  Križevci; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ivan  Peklić;048/681-304 , 048/682-612 , 048/270-155;048/682-613;ured@gimnazija-izdijankoveckoga-kc.skole.hr;http://www.gimnazija-izdijankoveckoga-kc.skole.hr/
"SREDNJA ŠKOLA ""IVAN SELJANEC"" KRIŽEVCI";Srednja škola;06-041-502;Koprivničko-križevačka;Trg svetog Florijana 14.b;48260  Križevci; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Gordana  Juran-Ratković;048/279-490, 048/279-491;048 279 495;vlatko.valencak@skole.hr , gordana.juran-ratkovic@skole.hr , ured@ss-iseljanec-kc.skole.hr ;ss-iseljanec-kc.skole.hr
SREDNJA GOSPODARSKA ŠKOLA KRIŽEVCI;Srednja škola;06-041-504;Koprivničko-križevačka;MILISLAVA DEMERCA 1;48260  Križevci; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Toni  Svoboda;048/682-614 , 048/681-247 , 048/270-367;048/682-614;	ravnatelj@ss-gospodarska-kc.skole.hr , ured@ss-gospodarska-kc.skole.hr;http:://www.ss-gospodarska-kc.skole.hr
Glazbena škola Alberta Štrige, Križevci;Osnovna škola, Srednja škola, Umjetnička škola;06-041-505;Koprivničko-križevačka;Antuna Gustava Matoša 4;48260  Križevci; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Branka  Špoljar;048/711-273 , 048/711-273 , 048/711-274;048/711-273;ravnatelj@glazbenaskolakrizevci.hr , tajnistvo@ss-glazbena-astrige-kc.skole.hr;www.glazbenaskolakrizevci.hr
Srednja škola Hrvatski kralj Zvonimir;Srednja škola;08-042-501;Primorsko-goranska;Vinogradska 3;51500  Krk; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Đurđica  Cvitkušić;051/221-400 , 051/221-420;NA;racunovodstvo@ss-hrvatskikraljzvonimir-krk.skole.hr , durdica.cvitkusic@skole.hr , srednja-skola-krk@ri.t-com.hr ;http://ss-hrvatskikraljzvonimir-krk.skole.hr/
SREDNJA ŠKOLA TINA UJEVIĆA;Srednja škola;03-043-501;Sisačko-moslavačka;MATE LOVRAKA 3;44320  Kutina; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Saša  Sambolek;044/683-080 , 044/683-077;NA;ured@ss-tujevica-kt.skole.hr;www.ss-tujevic-kt.skole.hr
TEHNIČKA ŠKOLA KUTINA;Srednja škola;03-043-502;Sisačko-moslavačka;HRVATSKIH BRANITELJA 6;44320  Kutina; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ante  Dževlan;044/629 250 , 044/629254 , 044/629251 , 044/629252 , 044/629255;044/629259;ured@ss-tehnicka-kt.skole.hr;NA
Srednja škola Mate Blažine Labin;Srednja škola;18-044-501;Istarska;Rudarska 4;52220  Labin; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Čedomir  Ružić;052/856-277 , 052/856-277 , 052/856-277;052/855-329;ssmb@ss-mblazine-labin.skole.hr;http://www.ssmb.hr/
Srednja škola Ludbreg;Srednja škola;05-087-501;Varaždinska;Trg Svetog Trojstva 16;42230  Ludbreg; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Josip  Zdelar;042/421-791;042/421-793;josip.zdelar@skole.hr;www.ssludbreg.hr
Glazbena škola Makarska;Osnovna škola, Srednja škola, Umjetnička škola;17-047-503;Splitsko-dalmatinska;DON MIHOVILA PAVLINOVIĆA 1;21300  Makarska; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Željko  Vlaho;021/611-048 , 021/611-048;021/678-710;zeljko.vlaho@skole.hr , ured@gs-makarska.skole.hr;NA
SREDNJA ŠKOLA FRA ANDRIJE KAČIĆA MIOŠIĆA;Srednja škola;17-047-501;Splitsko-dalmatinska;Breljanska 3;21300  Makarska; Potraži na karti školu...        ili   Potraži na karti adresu...  ;NA;021/678-268 , 021/610-304 , 021/610-304 , 021/610-200;021/610-200;ured@ss-fraandrijekacicamiosica-ma.skole.hr;http://www.ss-fraandrijekacicamiosica-ma.skole.hr/
SREDNJA STRUKOVNA ŠKOLA;Srednja škola;17-047-502;Splitsko-dalmatinska;Breljanska 3;21300  Makarska; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Momir  Sumić;021/678-016 , 021/678 017;021 678 016;ured@ss-strukovna-ma.skole.hr;https://www.sss-makarska.hr
SREDNJA ŠKOLA AMBROZA HARAČIĆA;Srednja škola;08-292-501;Primorsko-goranska;OMLADINSKA 12;51550  Mali Lošinj; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Jelena  Bralić;051/231-101 , 051/231-821 , 051/233-387 , 051/232-049;051/231-821;tajnistvo@ss-aharacica-malilosinj.skole.hr;NA
Centar odgoja i obrazovanja pri Odgojnom domu Mali Lošinj;Srednja škola;08-292-502;Primorsko-goranska;ZAGREBAČKA 16;51550  Mali Lošinj; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Silvija  Kocijan;051/231 078 , 051/ 231-078 , 051/231-588;NA;upravaodml@gmail.com;NA
"Srednja škola ""Arboretum Opeka""";Srednja škola;05-230-501;Varaždinska;Vinička 53;42207  Marčan; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Rajka  Tršinski;042/722-444 , 042/722-444 , 042/722-131 , 042/208-440;042/722-131;ured@ss-arboretumopeka-marcan.skole.hr , arboretum.opeka@ss-arboretumopeka-marcan.skole.hr;www.ss-arboretumopeka-marcan.skole.hr
Srednja škola u Maruševcu s pravom javnosti;Srednja škola;05-031-502;Varaždinska;MARUŠEVEC 82;42243  Maruševec; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Dejan  Stanjević;042/729-315;042/729-315;ss.marusevec.racunovodstvo@gmail.com , ss.marusevec.tajnistvo@gmail.com , ss.marusevec.referada@gmail.com , ssmarusevec@gmail.com ;www.ss-marusevec.hr
SREDNJA ŠKOLA METKOVIĆ;Srednja škola;19-049-501;Dubrovačko-neretvanska;KRALJA ZVONIMIRA 12;20350  Metković; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Marijo  Obradović;020/681-088;020/681-712;racunovodstvo@ss-metkovic.skole.hr , ured@ss-metkovic.skole.hr;NA
Gimnazija METKOVIĆ;Srednja škola;19-049-502;Dubrovačko-neretvanska;KRALJA ZVONIMIRA 12;20350  Metković; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Jozo  Jurković;020/681-344, 690-121 , 020/681-344;020/681-344;tajnistvo@gimnazija-metkovic.com , ured@gimnazija-metkovic.skole.hr;www.gimnazija-metkovic.skole.hr
Željeznička tehnička škola Moravice;Srednja škola;08-095-501;Primorsko-goranska;ŠKOLSKA 2A;51325  Moravice; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Borivoj  Dokmanović;051/877-118 , 051/877-118 , 051877138;051/877-523;zts@zts-moravice.hr  , zts.racunovodstvo@gmail.com , zts.tajnik@gmail.com , zts.ravnatelj@gmail.com;http://www.zts-moravice.hr
Srednja škola Isidora Kršnjavoga Našice;Srednja škola;14-050-501;Osječko-baranjska;AUGUSTA CESARCA 20;31500  Našice; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Željko  Filjak;031/611-367 , 031/613-202 , 031/613-202 , 031/613-544 , 031/613-473;NA;ured@ss-ikrsnjavoga-nasice.skole.hr;http://ss-ikrsnjavoga-nasice.skole.hr/
GIMNAZIJA NOVA GRADIŠKA;Srednja škola;12-051-501;Brodsko-posavska;TRG KRALJA TOMISLAVA 9;35400  Nova Gradiška; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ljiljana  Ptačnik;035/361-427 , 035/361-427;NA;ured@gimnazija-nova-gradiska.skole.hr;NA
INDUSTRIJSKO OBRTNIČKA ŠKOLA;Srednja škola;12-051-502;Brodsko-posavska;Ljudevita  Gaja  22;35400  Nova Gradiška; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Mirela  Brlić -Trnka;035/362-696 , 035/362-695 , 035/362-777;035/362-696;skola@iosng.hr;www.iosng.hr
Elektrotehnička i Ekonomska škola;Srednja škola;12-051-503;Brodsko-posavska;LJudevita Gaja 24;35400  Nova Gradiška; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Sanja  Müller-Zoričić;035/362-145 , 035/362-145 , 035/362-575;035/362-145;etes@ees.hr;www.ees.hr
Srednja škola Novi Marof;Srednja škola;05-087-502;Varaždinska;Zagorska 23;42220  Novi Marof; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Nikola  Žganec;042 205 109 // 091 282 7155 , 042 205 110 , 042 205 110;NA;ravnatelj.ssnm@gmail.com , ured.ssnm@skole.hr ;www.ss-novimarof.skole.hr
SREDNJA ŠKOLA NOVSKA;Srednja škola;03-054-501;Sisačko-moslavačka;TINA UJEVIĆA 2/a;44330  Novska; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Nikolina  Fijačko Filipović;044/600-045 , 044/601-967;044/600-045;ss-novska@ss-novska.skole.hr;NA
Glazbena škola u Novskoj;Osnovna škola, Srednja škola, Umjetnička škola;03-054-502;Sisačko-moslavačka;Trg dr. Franje Tuđmana 3;44330  Novska; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Dunja  Uroić;044/601-299 , 044/601-299;044/601-299;glazbena-skola-novska@sk.t-com.hr , ured@ss-glazbena-novska.skole.hr;www.glazbena-novska.hr
SREDNJA ŠKOLA OBROVAC;Srednja škola;13-055-501;Zadarska;Obala hrvatskog časnika Senada Župana 17;23450  Obrovac; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Jurica  Ćurko;023/689-058 , 023/689-406 , 023/689-515;023/689-058;ured@ss-obrovac.skole.hr;NA
OBRTNIČKA I TEHNIČKA ŠKOLA OGULIN;Srednja škola;04-056-501;Karlovačka;Josipa Jurja Strossmayera 2;47300  Ogulin; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Zrinka  Ceranić-Jurković;047/522-931 , 047/522-931;047/522-162;tajnistvo.otsog@gmail.com , otsog@otsog.hr , SS-OGULIN-501@skole.t-com.hr;www.otsog.hr
GIMNAZIJA I STRUKOVNA ŠKOLA BERNARDINA FRANKOPANA;Srednja škola;04-056-503;Karlovačka;STRUGA 3;47300  Ogulin; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Hrvoje  Magdić;047/522-573 , 047/525-817;NA;ured@gimnazija-strukovnabfrankopana-ogulin.skole.hr;http://www.gimnazija-strukovnabfrankopana-ogulin.skole.hr/
Srednja škola Jure Kaštelan;Srednja škola;17-057-501;Splitsko-dalmatinska;TRG KRALJA TOMISLAVA 2;21310  Omiš; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Tereza  Srdelić;021/861-117;021/862-320;ured@ss-jkastelan-omis.skole.hr;www.ss-jkastelan-omis.skole.hr
UGOSTITELJSKA ŠKOLA OPATIJA;Srednja škola;08-058-501;Primorsko-goranska;EUGENA KUMIČIĆA 14;51410  Opatija; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Sibila  Roth;051 718 520 , 051 603 140 , 051 561 390;051 711 154;uso@ss-ugostiteljska-opatija.skole.hr;http://ss-ugostiteljska-opatija.skole.hr
Gimnazija Eugena Kumičića Opatija;Srednja škola;08-058-502;Primorsko-goranska;Drage Gervaisa 2;51410  Opatija; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Boris  Barbarić;051/271-966 , 051/272-602;051/271-966;ured@gimnazija-ekumicica-opatija.skole.hr  , gek.opatija@gimnazija-ekumicica-opatija.skole.hr;NA
OBRTNIČKA ŠKOLA;Srednja škola;08-058-503;Primorsko-goranska;BOŽE MILANOVIĆA 3;51410  Opatija; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Loredana  Grdinić;051/494812 , 051/494815 , 051/494811 , 051/494814 , 051/494816 , 051/494813;051/271-543;ured@ss-obrtnicka-opatija.skole.hr;NA
HOTELIJERSKO - TURISTIČKA ŠKOLA;Srednja škola;08-058-504;Primorsko-goranska;Drage Gervaisa 2;51410  Opatija; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ksenija  Beljan;+385 (51) 71 88 59 , +385 (51) 27 15 95 , +385 (51) 60 32 16;+385 (51) 71 15 95;hts@ss-hotelijersko-turisticka-opatija.skole.hr;http://ss-hotelijersko-turisticka-opatija.skole.hr/
SREDNJA POLJOPRIVREDNA I TEHNIČKA ŠKOLA;Srednja škola;19-512-501;Dubrovačko-neretvanska;Trg Opuzenske bojne 5 ;20355  Opuzen; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Danijela  Primorac;020/672-561 , 020/672-559 , 020/672-560 , 020/672-754 , 020/672-689;020/672-754;info@ssopuzen.hr;www.ssopuzen.hr
"SREDNJA ŠKOLA ""STJEPAN IVŠIĆ""";Srednja škola;10-059-501;Virovitičko-podravska;Trg Tina Ujevića 1;33515  Orahovica; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Zorislav  Milković;033/673-482 , 033/400-249 , 033/400-248;033/400-248;ravnatelj@ss-sivsic-orahovica.skole.hr;http://ss-sivsic-orahovica.skole.hr/ 
Srednja škola Oroslavje;Srednja škola;02-183-501;Krapinsko-zagorska;LJ. Gaja 1;49243  Oroslavje; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Natalija  Mučnjak;+385 049/588 740 , +385 049/588 657 , +385 049/588 745 , +385 049/588 654 , +385 049/588 650 , +385 049/588 655 , +385 049/588 744;NA;admin@ss-oroslavje.skole.hr , natalija.mucnjak@skole.hr , vlasta.korman@skole.hr , ured@ss-oroslavje.skole.hr;http://ss-oroslavje.skole.hr
Elektrotehnička i prometna škola Osijek;Srednja škola;14-060-501;Osječko-baranjska;ISTARSKA 3;31000  Osijek; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Antun  Kovačić;031/208-400 , 031/494-142 , 031/494-140;031/214-746, 207-068;antun.kovacic@skole.hr , tajnica@elpros.t-com.hr , upisi2021@elpros.net , ured@ss-elektrotehnicka-prometna-os.skole.hr;www.elpros.net
Strojarska tehnička škola Osijek;Srednja škola;14-060-502;Osječko-baranjska;Istarska 3;31000  Osijek; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ivan  Adrić;031/494-602 , 031/494-600 , 031/494-605 , 031/494-601;031/494-611 , 031/210-505;ured@ss-strojarska-tehnicka-os.skole.hr;www.ss-strojarska-tehnicka-os.skole.hr
I. Gimnazija Osijek;Srednja škola;14-060-503;Osječko-baranjska;ŽUPANIJSKA 4;31000  Osijek; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Dražen  Đapić;031/200-699 , 031/200-698;031/200-698;ured@gimnazija-prva-os.skole.hr;http://www.gimnazija-prva-os.skole.hr/
II. gimnazija Osijek;Srednja škola;14-060-504;Osječko-baranjska;KAMILA FIRINGERA 5;31000  Osijek; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Vladimir  Minarik;031/207-157 , 031/207-157 , 031/207-157;031/207-156;ured@gimnazija-druga-os.skole.hr;www.gimnazija-druga-os.skole.hr
III. Gimnazija Osijek;Srednja škola;14-060-505;Osječko-baranjska;KAMILA FIRINGERA 14;31000  Osijek; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Dražen  Jakopović;031/207-101 , 031/207-100;031/207-100;gimba.ravnatelj@gmail.com , ured@gimnazija-treca-os.skole.hr;http://www.gimnazija-treca-os.skole.hr/
Medicinska škola Osijek;Srednja škola;14-060-506;Osječko-baranjska;VUKOVARSKA 209;31000  Osijek; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Sanja  Dravinski;031/540-200 , 031/540-215 , 031/540-214 , 031/540-211,540-212, 540-217, 540-218;031/540-215;ured@ss-medicinska-os.skole.hr;http://ss-medicinska-os.skole.hr/
Poljoprivredna i veterinarska škola Osijek;Srednja škola;14-060-507;Osječko-baranjska;Jadrovska 20;31000  Osijek; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Rudi  Lukačević;031/275-960 , 031/275-961 , 031/275-964 , 031/272-268;031/275-968;ured@ss-poljoprivredna-veterinarska-os.skole.hr;ss-poljoprivredna-veterinarska-os.skole.hr
GRADITELJSKO - GEODETSKA ŠKOLA OSIJEK;Srednja škola;14-060-509;Osječko-baranjska;Drinska 16a;31000  Osijek; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Darko  Pšihistal;031/274-500 , 031/274-500 , 031/274-500 , 031/274-501, 274-502;NA;ured@ss-graditeljsko-geodetska-os.skole.hr;http://ss-graditeljsko-geodetska-os.skole.hr
Tehnička škola i prirodoslovna gimnazija Ruđera Boškovića;Srednja škola;14-060-510;Osječko-baranjska;VUKOVARSKA 209;31000  Osijek; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Nada  Pitinac;031/501-933 , 031/501-933 , 031/505-341;031/505-341;ured@ss-tehnicka-rboskovica-os.skole.hr;NA
EKONOMSKA I UPRAVNA ŠKOLA OSIJEK;Srednja škola;14-060-511;Osječko-baranjska;TRG SVETOG TROJSTVA 4;31000  Osijek; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Lidija  Žaper;031/212-670 , 031/399-341, 212-670 , 031/399-348 , 031/399-347;031/399-353;ured@ss-ekonomska-upravna-os.skole.hr;http://ss-ekonomska-upravna-os.skole.hr/
UGOSTITELJSKO-TURISTIČKA ŠKOLA;Srednja škola;14-060-512;Osječko-baranjska;MATIJE GUPCA 61;31000  Osijek; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Andrej  Kristek;031/211-095;NA;ured@ss-ugostiteljsko-turisticka-os.skole.hr;https://rck-utso.hr/
Obrtnička škola Osijek;Srednja škola;14-060-513;Osječko-baranjska;TRG BANA JOSIPA JELAČIĆA 24;31000  Osijek; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Maja  Zorić;031/506-150 , 031/506-150;031/502-554;ured@ss-obrtnicka-os.skole.hr;http://ss-obrtnicka-os.skole.hr/
TRGOVAČKA I KOMERCIJALNA ŠKOLA DAVOR MILAS;Srednja škola;14-060-514;Osječko-baranjska;GUNDULIĆEVA 38;31000  Osijek; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Sandra  Brajnović;031/202-234 , 031/202-919 , 031/209-337;031/202-234;trgos@tiksdm.hr;NA
ŠKOLA PRIMIJENJENE UMJETNOSTI I DIZAJNA OSIJEK;Srednja škola, Umjetnička škola;14-060-515;Osječko-baranjska;DRINSKA 12;31000  Osijek; Potraži na karti školu...        ili   Potraži na karti adresu...  ;Ina  Marić;031/273-126 , 031/273-126 , 031/273-111;031/273-111;ured@ss-primijenjenaumjetnostidizajn-os.skole.hr;NA
