"Šifra";"Naziv";"Župnija";"Poštanski Broj";"Mjesto";"Adresa";"Tip Ustanove";"Osnivač";"Ravnatelj";"Telefon";"Faks";"e Pošta";"Web"
"21-114-077";"Osnovna škola Rapska";"Grad Zagreb županija";"10000";"Zagreb";"RAPSKA 3";"Osnovna škola";"Grad Zagreb ";"Diana  Dujmović";"01/618-02-78, 01/618-12-18, 01/618-02-78";"01/618-02-78";"ured@os-rapska-zg.skole.hr";""
"21-114-078";"Osnovna škola Marina Držića";"Grad Zagreb županija";"10000";"Zagreb";"NALJEŠKOVIĆEVA 4";"Osnovna škola";"Grad Zagreb ";"Zvonimir  Bićanić";"01/615-83-02, 01/615-83-02, 01/615-53-93";"01/613-01-46";"ured@os-mdrzica-zg.skole.hr";""
"21-114-079";"OSNOVNA ŠKOLA DAVORINA TRSTENJAKA";"Grad Zagreb županija";"10000";"Zagreb";"KRČKA 3";"Osnovna škola";"Grad Zagreb ";"Darko  Cindrić";"01/617-06-39, 01/617-06-26, 01/617-06-26";"01/617-06-26";"ured@os-dtrstenjaka-zg.skole.hr, davorin.trstenjak2@gmail.com";""
"21-114-080";"Osnovna škola Trnjanska";"Grad Zagreb županija";"10000";"Zagreb";"TRNJANSKA CESTA 99";"Osnovna škola";"Grad Zagreb ";"Nada  Šimić";"01/605-02-04, 01/605-02-04, 01/605-02-04, 01/615-54-95";"01/605-02-04";"ured@os-trnjanska-zg.skole.hr";""
"21-114-081";"Osnovna škola Savski Gaj";"Grad Zagreb županija";"10020";"Zagreb";"Remetinečka cesta 64A";"Osnovna škola";"Grad Zagreb ";"Matija  Bajić";"01/659-36-20";"01/655-21-00";"informatika@os-savski-gaj-zg.skole.hr, ured@os-savski-gaj-zg.skole.hr";""
"21-114-082";"Osnovna škola BRAĆE RADIĆ";"Grad Zagreb županija";"10020";"Zagreb";"Šenoine Branke 22";"Osnovna škola";"Grad Zagreb ";"Darko  Štimac";"6547 314, 01/654-50-02, 01/654-50-02, 01/654-64-44";"01/65 47 307";"os.brace.radic@os-brace-radic-zg.skole.hr";""
"21-114-083";"OSNOVNA ŠKOLA BREZOVICA";"Grad Zagreb županija";"10257";"Brezovica";"Brezovička cesta 98A";"Osnovna škola";"Grad Zagreb ";"Darko  Rogalo";"01/653-71-55";"01/653-84-11";"osbrezovica@os-brezovica.skole.hr";"http://os-brezovica.skole.hr/"
"21-114-084";"OSNOVNA ŠKOLA LUČKO";"Grad Zagreb županija";"10250";"Lučko";"PUŠKARIĆEVA 102";"Osnovna škola";"Grad Zagreb ";"Pavo  Šimović";"01/653-13-01, 01/653-01-20, 01/65-47-305";"01/653-01-21";"ured@os-lucko.skole.hr";"http://www.os-lucko.skole.hr"
"21-114-085";"OSNOVNA ŠKOLA GUSTAVA KRKLECA";"Grad Zagreb županija";"10020";"Zagreb";"Božidara Magovca 103";"Osnovna škola";"Grad Zagreb ";"Marija  Luković";"01/6659-171, 01/6659-170, 01/6659-173, 01/6659-174";"01/6659-172";"ured@os-gkrkleca-zg.skole.hr";"http://os-gkrkleca-zg.skole.hr"
"21-114-086";"Osnovna škola Ive Andrića";"Grad Zagreb županija";"10020";"Zagreb";"Milovana Kovačevića 18";"Osnovna škola";"Grad Zagreb";"Dubravka  Miklec";"01/667-29-80, 01/667-92-55, 01/66 22 306, 01/66 02 329";"01/667-71-86";"ured@os-iandrica-zg.skole.hr";"http://www.os-iveandrica.hr"
"21-114-087";"I. osnovna  škola  Dugave";"Grad Zagreb županija";"10010";"Zagreb";"Školski prilaz 7";"Osnovna škola";"Grad Zagreb ";"Kristina  Vidović";"01/6671-733, 01/662-47-32, 01/6625-151";"01/6670-174";"ured@os-prva-dugave-zg.skole.hr";"http://os-prva-dugave-zg.skole.hr/"
"21-114-088";"Osnovna škola Zapruđe";"Grad Zagreb županija";"10020";"Zagreb";"Meštrovićev Trg 8A";"Osnovna škola";"Grad Zagreb ";"Ružica  Vitman Sović";"01/660-07-47, 01/667-16-42";"01/667-16-42";"ured@os-zaprudje-zg.skole.hr";"http://os-zaprudje-zg.skole.hr/"
"21-114-089";"OSNOVNA ŠKOLA TRNSKO";"Grad Zagreb županija";"10020";"Zagreb";"Trnsko 25";"Osnovna škola";"Grad Zagreb ";"Josip  Petrović";"01/6520-737, 01/6520-737, 01/652-44-93";"01/653-95-33";"ured@os-trnsko-zg.skole.hr";"http://os-trnsko-zg.skole.hr/"
"21-114-090";"OSNOVNA ŠKOLA SVETA KLARA";"Grad Zagreb županija";"10020";"Zagreb";"Mrkšina 42";"Osnovna škola";"Grad Zagreb ";"Tajana  Babić";"01/6570-660, 01/6525-985, 01 6570-660, 01 6570-629, 01 6570-618";"01/6570-660";"svklara@os-sveta-klara.skole.hr";"http://os-sveta-klara.skole.hr/"
"21-114-091";"Osnovna škola MLADOST";"Grad Zagreb županija";"10010";"Zagreb";"Karamanov prilaz 3";"Osnovna škola";"Grad Zagreb ";"Mladen  Konjević";"01/667-51-71, 01/667-51-71, 01/660-17-92";"";"ured@os-mladost-zg.skole.hr";"http://www.os-mladost-zg.skole.hr/"
"21-114-092";"Osnovna škola Stjepana Bencekovića";"Grad Zagreb županija";"10436";"Horvati";"HORVAĆANSKI TRG 1";"Osnovna škola";"Grad Zagreb ";"Tatjana  Bračun Haddad";"01/653-90-10, 01/653-90-10, 01/653-90-02";"01/6553133";"ured@os-sbencekovica-horvati.skole.hr";"http://os-sbencekovica.hr/"
"21-114-093";"OSNOVNA ŠKOLA ODRA";"Grad Zagreb županija";"10020";"Zagreb";"Đačka 5";"Osnovna škola";"Grad Zagreb ";"Vatroslav  Gabrić";"01/6260 531, 01/6465 291, 01/6261 050, 01/6261 999";"";"ured@os-odra-zg.skole.hr";"www.os-odra.com"
"21-114-094";"Osnovna škola Većeslava Holjevca";"Grad Zagreb županija";"10020";"Zagreb";"Siget 23";"Osnovna škola";"Grad Zagreb ";"Slaven  Staklenac";"01/652-26-13, 01/652-04-69";"01/652-04-69";"os-zagreb-094@os-vholjevca-zg.skole.hr";"http://www.os-vholjevca-zg.skole.hr/"
"21-114-095";"Osnovna škola OTOK";"Grad Zagreb županija";"10010";"Zagreb";"Stjepana Gradića 4";"Osnovna škola";"Grad Zagreb ";"Davorka  Zadravec - Komšić";"01/6640-458, 01/6640-458, 01/6640-459";"01/6622-262";"otok@os-otok-zg.skole.hr";""
"21-114-096";"OSNOVNA ŠKOLA FRANA GALOVIĆA";"Grad Zagreb županija";"10010";"Zagreb";"Školski prilaz 7";"Osnovna škola";"Grad Zagreb ";"Maja  Lisska";"01/6671-733, 01/6671-733, 01/662-47-32";"01/6670-174";"ured@os-fgalovica-zg.skole.hr";"www.os-fgalovica-zg.skole.hr"
"21-114-105";"OSNOVNA ŠKOLA VUGROVEC-KAŠINA";"Grad Zagreb županija";"10362";"Kašina";"IVANA MAŽURANIĆA 43";"Osnovna škola";"Grad Zagreb ";"Vladimir  Vuger";"01/2055-515, 01/2055-035, 01/2056-184, 01/2059-256";"01/2056-837";"ured@os-vugrovec-kasina.skole.hr";"www.os-vugrovec-kasina.skole.hr"
"21-114-106";"OSNOVNA ŠKOLA IVANA GRANĐE";"Grad Zagreb županija";"10360";"Soblinec";"SOBLINEČKA 68";"Osnovna škola";"Grad Zagreb";"Leonida  Udovičić";"01 2006 680, 01/2042008, 01/2043387, 01/2020170, 091/8831705";"01/2020170";"os-igrandje@os-igrandje-soblinec.skole.hr";""
"21-114-109";"Osnovna škola SESVETE";"Grad Zagreb županija";"10360";"Sesvete";"I. G. Kovačića 19";"Osnovna škola";"Grad Zagreb ";"Katica  Sesjak";"01/200-02-54, 01/200-02-54, 01/200-02-54, 01/200-22-20";"01/204-99-39";"os-sesvete@os-sesvete-zg.skole.hr";"www.os-sesvete.hr"
"21-114-110";"Osnovna škola Sesvetski Kraljevec";"Grad Zagreb županija";"10361";"Sesvetski Kraljevec";"Školska 10";"Osnovna škola";"Grad Zagreb ";"Ivica  Vlašić";"01/204-66-15, 01/204-80-19, 01/204-80-60";"01/204-68-07";"ured@os-sesvetski-kraljevec.skole.hr";"http://www.os-sesvetski-kraljevec.skole.hr/"
"21-114-114";"CENTAR ZA ODGOJ  I OBRAZOVANJE GOLJAK";"Grad Zagreb županija";"10000";"Zagreb";"GOLJAK 2";"Osnovna škola";"Grad Zagreb ";"Željko  Kranjec";"01/4921-809, 01/3815-027, 01/2344 763, 01/4824-179";"075/801-521";"centargoljak@centar-odgojiobrazovanje-goljak.skole.hr";"www.coogoljak.hr"
"21-114-115";"CENTAR ZA AUTIZAM";"Grad Zagreb županija";"10000";"Zagreb";"DVORNIČIĆEVA 6";"Osnovna škola";"Grad Zagreb ";"Žarka  Klopotan";"01/29 89 263, 01/ 46 83 867, 01/3771561, 01/ 28 53 717, 01/28 56 756";"01/28 56 756";"ured@centar-autizam-zg.skole.hr";"http://centarzaautizam.hr/"
"21-114-116";"OSNOVNA ŠKOLA NAD LIPOM";"Grad Zagreb županija";"10000";"Zagreb";"NAD LIPOM 13";"Osnovna škola";"Grad Zagreb ";"Alma  Srna";"095/9088785, 01/3771 551";"01/3907 273";"os-nad-lipom@os-nad-lipom-zg.skole.hr";""
"21-114-117";"Poliklinika za rehabilitaciju slušanja i govora SUVAG";"Grad Zagreb županija";"10000";"Zagreb";"KNEZA LJUDEVITA POSAVSKOG 10";"Osnovna škola";"Grad Zagreb ";"Koraljka  Bakota";"01/ 4629 600";"01/ 4655 166";"ured@poliklinika-suvag-zg.skole.hr";"www.suvag.hr"
"21-114-124";"Waldorfska škola u Zagrebu";"Grad Zagreb županija";"10020";"Zagreb";"JAKUŠEVEČKA,6";"Osnovna škola";"Udruga roditelja i učitelja waldorfske škole u Zagrebu, Broj iz Registre udruga Republike Hrvatske,Zagreb: 21003579 ";"Aleksandra  Belković";"01/6609 598, 01/6609-609";"";"ravnatelj@waldorfska-skola.com, tajnistvo@waldorfska-skola.com";""
"21-114-153";"Centar za odgoj i obrazovanje Vinko Bek";"Grad Zagreb županija";"10000";"Zagreb";"Kušlanova 59a";"Osnovna škola, Posebna ustanova odgoja i obrazovanja, Srednja škola, Umjetnička škola";"Ministarstvo za demografiju, obitelj, mlade i socijalnu skrb";"Ivana  Rotim";"01/2382241, 01/2382242, 01/2382200";"01/2382240";"vinkobe1@post.t-com.hr";""
"21-114-147";"CENTAR ZA ODGOJ I OBRAZOVANJE ""Slava Raškaj"" Zagreb";"Grad Zagreb županija";"10000";"Zagreb";"Vladimira Nazora 47";"Osnovna škola, Posebna ustanova odgoja i obrazovanja, Srednja škola";"Ministarstvo za demografiju, obitelj, mlade i socijalnu skrb";"Jelena  Grabovac";"01/4821202, 01/4821204, 01/3764800";"01/4875977, 01/3764800";"ured@centar-sraskaj-zg.skole.hr";"http://centar-sraskaj-zg.skole.hr"
"21-114-149";"Centar za odgoj i obrazovanje Dubrava";"Grad Zagreb županija";"10000";"Zagreb";"PRILAZ TOMISLAVA ŠPOLJARA 2";"Posebna ustanova odgoja i obrazovanja, Srednja škola";"Ministarstvo za demografiju, obitelj, mlade i socijalnu skrb";"Liliana  Kalčić Galeković";"01/291-16-65, 01/291-16-67";"01/291-16-67";"centar-dubrava@zg.t-com.hr";"www.centardubrava.hr"
"21-114-151";"Osnovna škola Kreativan razvoj s pravom javnosti";"Grad Zagreb županija";"10000";"Zagreb";"DEDIĆI 102";"Osnovna škola";"Martin-Tino Časl, dr.sc.";"Martin-Tino  Časl";"01/461-1007, 091/200-62-86";"01/463-6789";"ravnatelj@kreativan-razvoj.hr";""
"21-114-137";"Osnovna škola Sesvetska Sopnica";"Grad Zagreb županija";"10360";"Sesvete";"Sopnička 69";"Osnovna škola";"Grad Zagreb ";"Ljiljana  Benčec Miklečić";"01/2004 000, 01/2003 838, 01/2058 066, 01/2058 135";"";"sopnica@os-sesvetska-sopnica.skole.hr";"os-sesvetska-sopnica.skole.hr"
"21-114-132";"Osnovna škola Brestje";"Grad Zagreb županija";"10360";"Sesvete";"Potočnica 8";"Osnovna škola";"GRAD ZAGREB";"Zrinka  Gredelj Tolić";"0912333526, 01/201-20-75, 01/201-21-11";"01/2012076";"os-brestje@os-brestje-zg.skole.hr";""
"21-114-140";"Centar za odgoj i obrazovanje Tuškanac- Zagreb";"Grad Zagreb županija";"10000";"Zagreb";"Gornje Prekrižje 48";"Osnovna škola";"Ministarstvo za demografiju, obitelj, mlade i socijalnu skrb";"Meri  Gatin";"01/4673845";"01/4673846";"ravnateljica@centar-tuskanac.hr";""
"21-114-146";"OSNOVNA MONTESSORI ŠKOLA BARUNICE DEDEE VRANYCZANY";"Grad Zagreb županija";"10000";"Zagreb";"Učkina 3/A";"Osnovna škola";"Udruga roditelja ˝Maria Montessori˝Zagreb, ";"Narcisa  Buczynski";"01/3694-493";"";"omontess@gmail.com, ured@os-montessori-bdvranyczany-zg.skole.hr";""
"14-060-022";"Centar za autizam";"Osječko-baranjska županija";"31000";"Osijek";"VINKOVAČKA CESTA 3";"Osnovna škola";"Osječko-baranjska županija";"Vladimir  Bjelobrk";"031/201-850, 031/201-850, 031/215-610, 031/202-327";"031/215-610";"ured@ss-vinkobek-os.skole.hr";""
"02-189-002";"Osnovna škola Belec";"Krapinsko-zagorska županija";"49254";"Belec";"BELEC 50";"Osnovna škola";"Krapinsko-zagorska županija";"Nikolina  Puklin";"049/460 124";"049/460 240";"os-belec@os-belec.skole.hr, osmorazredna-skola-belec@kr.t-com.hr";"http://os-belec.skole.hr/"
"03-204-001";"Osnovna škola Katarina Zrinska Mečenčani";"Sisačko-moslavačka županija";"44430";"Hrvatska Kostajnica";"Mečenčani 8A";"Osnovna škola";"Sisačko-moslavačka županija";"Svjetlana  Tufeković";"044/510 075, 044/510 074";"044/510 075";"ured@os-kzrinska-mecencani.skole.hr";"www.os-kzrinska-mecencani.skole.hr"
"08-221-001";"OSNOVNA ŠKOLA KOSTRENA";"Primorsko-goranska županija";"51221";"Kostrena";"Žuknica 1";"Osnovna škola";"Primorsko-goranska županija";"Adriana  Glavan";"051/289-768";"051/289-769";"ured@os-kostrena.skole.hr";"http://www.os-kostrena.skole.hr/"
"17-125-003";"OSNOVNA ŠKOLA KRALJICE JELENE";"Splitsko-dalmatinska županija";"21210";"Solin";"PUT MIRA BR.3";"Osnovna škola";"Splitsko-dalmatinska županija";"Vesna  Ružić";"021 683 643";"021 683 644";"ured@os-kraljicejelene-solin.skole.hr";""
"21-114-133";"OSNOVNA ŠKOLA BOROVJE";"Grad Zagreb županija";"10000";"Zagreb";"Davora Zbiljskog 7";"Osnovna škola";"Grad Zagreb ";"Branka  Štefok Bojadžija";"01/ 6331-520, 01/ 6331-523, 01/ 6331-524, 01 / 63 31 525, 091 / 23 32 525, 01/ 6331-521, 01 / 63 31 527, 01 / 63 31 526, 091 / 90 16 536, 01/ 6331-522, 01/ 6331-528";"";"ured@os-borovje-zg.skole.hr";"http://os-borovje-zg.skole.hr/"
"21-114-134";"OSNOVNA ŠKOLA REMETE";"Grad Zagreb županija";"10000";"Zagreb";"Remete 99A";"Osnovna škola";"Grad Zagreb ";"Filomena  Horvatić";"01/4580-084, 01/4580-029, 01/4580-021, 01/4580-428";"01/4580-260";"filomena.horvatic@skole.hr, strucna-sluzba@os-remete-zg.skole.hr, ana.hojanic@skole.hr, milena.pesorda@skole.hr, ana.maric4@skole.hr, ured@os-remete-zg.skole.hr";"www.os-remete-zg.skole.hr"
"21-114-150";"Osnovna škola Hugo Kon";"Grad Zagreb županija";"10000";"Zagreb";"Trg Katarine Zrinske 2";"Osnovna škola";"ŽIDOVSKA VJERSKA ZAJEDNICA BET IZRAEL";"Sanja  Petrušić Goldstein";"01/3333 891";"";"osnovnaskola@hugokon.org";""
"01-539-001";"Osnovna škola Ante Kovačića";"Zagrebačka županija";"10299";"Marija Gorica";"Gorički trg 3";"Osnovna škola";"Zagrebačka županija";"Jasna  Horvat";"01/5624-883, 01/3396-987";"01/3392-936";"os.ante.kovacica@gmail.com, tajnistvo@os-akovacica-mgorica.skole.hr \t, ured@os-akovacica-mgorica.skole.hr";"www.os-akovacica-mgorica.skole.hr"
"01-548-001";"Osnovna škola Luka";"Zagrebačka županija";"10296";"Luka";"TRG SV. ROKA 3";"Osnovna škola";"Zagrebačka županija";"Renata  Meglić";"01/3394-928, 01/3393-474, 01/3394-940, 01/3394-924";"01/3394-927";"skolaluka@os-luka.skole.hr";""
"01-550-001";"Osnovna škola Bedenica";"Zagrebačka županija";"10381";"Bedenica";"Bedenica 111";"Osnovna škola";"Zagrebačka županija";"Krunoslav  Ujlaki";"01/2043 562, 01/2064-263, 01/2043-530, 01/2043-560, 01/2043 532";"01/2043 531";"ured@os-bedenica.skole.hr";""
"16-438-003";"Osnovna škola Tordinci";"Vukovarsko-srijemska županija";"32214";"Tordinci";"Školska ulica 26";"Osnovna škola";"Vukovarsko-srijemska županija";"Antun  Maletić";"032 580 348";"032 580 348";"os-tordinci@os-tordinci.skole.hr";"www.os-tordinci.skole.hr"
"21-114-136";"Osnovna škola Sesvetska Sela";"Grad Zagreb županija";"10360";"Sesvete";"Letnička 5";"Osnovna škola";"Grad Zagreb ";"Gordana  Vojnović";"01/2043-900, 01/2043-901, 01/2043-907, 01/2043-905, 01/2043-904";"01/2043-903";"skola@os-sesvetska-sela-zg.skole.hr";"http://os-sesvetska-sela-zg.skole.hr/"
"21-114-139";"OSNOVNA ŠKOLA BARTOLA KAŠIĆA";"Grad Zagreb županija";"10000";"Zagreb";"Vrisnička 4";"Osnovna škola";"Grad Zagreb ";"Dijana  Kopčić";"01/3833-135, 01/3833-136";"";"ured@os-bartola-kasica-zg.skole.hr";"www.os-bartola-kasica-zg.skole.hr"
"21-114-135";"Osnovna škola Špansko Oranice";"Grad Zagreb županija";"10000";"Zagreb";"Dječji trg 1";"Osnovna škola";"Grad Zagreb ";"Darko  Cesar";"01/6397090, 01/6397092, 01 6397093, 01 6397094, 01/6397095";"01/6397091";"admin@os-spansko-oranice-zg.skole.hr, skola@os-spansko-oranice-zg.skole.hr";"www.os-spansko-oranice-zg.skole.hr"
"21-114-138";"Osnovna škola Luka";"Grad Zagreb županija";"10360";"Sesvete";"OTONA IVEKOVIĆA 16";"Osnovna škola";"Grad Zagreb ";"Nikolina  Ćurković";"01/2001 392, 2001 500";"01/2014 690";"ured@os-luka-sesvete.skole.hr";"www.os-luka-sesvete.skole.hr"
"15-081-010";"KATOLIČKA OSNOVNA ŠKOLA";"Šibensko-kninska županija";"22000";"Šibenik";"Velimira Škorpika 8";"Osnovna škola";"Šibenska biskupija";"S. Mandica  Starčević";"(022) 330 723, (022) 330 726, (022) 330 725, 022 330 729";"(022) 330 704";"katolicka-os@hi.t-com.hr";""
"02-014-004";"Osnovna škola Vladimir Bosnar Stubičke Toplice";"Krapinsko-zagorska županija";"49244";"Stubičke Toplice";"STRMEČKA CESTA 5 A";"Osnovna škola";"Općina Stubičke Toplice";"Brigitte  Gmaz";"049/282-531,098-613-599, 049/283-681, 095/9103726, 049/283-683, 049/283-682";"-, ";"skola@os-stubicke-toplice.skole.hr";"www.os-stubicke-toplice.skole.hr"
"11-077-005";"Katolička osnovna škola u Požegi";"Požeško-slavonska županija";"34000";"Požega";"Ulica pape Ivana Pavla II.  6";"Osnovna škola";"Požeška biskupija";"Frano  Barišić";"034/312-060, 034/312-065, 034/312-066, 034/312-067, 034/312-069";"034/312-059";"kos@kospz.hr, ured@os-katolicka-pz.skole.hr";"os-katolicka-pz.skole.hr"
"15-081-011";"CENTAR ZA ODGOJ I OBRAZOVANJE ŠUBIĆEVAC";"Šibensko-kninska županija";"22000";"Šibenik";"BANA JOSIPA JELAČIĆA 4";"Osnovna škola, Srednja škola";"Ministarstvo za demografiju, obitelj, mlade i socijalnu skrb";"Nataša  Tucak";"";"";"ured@centar-odgojiobrazovanje-subicevac-si.skole.hr";"http://centar-odgojiobrazovanje-subicevac-si.skole.hr/"
"17-126-535";"Centar za odgoj i obrazovanje JURAJ BONAČI";"Splitsko-dalmatinska županija";"21000";"Split";"BRUNE BUŠIĆA 30";"Osnovna škola, Srednja škola";"Ministarstvo za demografiju, obitelj, mlade i socijalnu skrb";"Snježana  Čotić";"021530663";"021535347";"centar.juraj.bonaci@gmail.com";"https://centar-juraj-bonaci.hr/"
"17-126-536";"Centar za odgoj i obrazovanje SLAVA RAŠKAJ";"Splitsko-dalmatinska županija";"21000";"Split";"RADNIČKA 2";"Osnovna škola, Srednja škola";"Ministarstvo za demografiju, obitelj, mlade i socijalnu skrb";"Željka  Paleka";"021 541 660";"";"slava.raskaj@st.t-com.hr";"http://www.centarslavaraskaj.hr/"
"21-114-154";"Centar za rehabilitaciju Zagreb";"Grad Zagreb županija";"10000";"Zagreb";"ORLOVAC 2";"Osnovna škola";"Ministarstvo za demografiju, obitelj, mlade i socijalnu skrb";"Ružica  Stipčić";"01 6640 166";"";"slobostina@crzagreb.hr";""
"21-114-155";"OSNOVNA ŠKOLA JELKOVEC";"Grad Zagreb županija";"10360";"Sesvete";"Ulica Dragana Plamenca1";"Osnovna škola";"Grad Zagreb";"Ljiljana  Lepan Babić";"01 3000 001, 01 3000 015, 01 3000 010, 01 3000 012, 01 3000 133, 01 3000016, 01 3000 011, 01 3000 003";"01 3000 004";"skola@os-jelkovec.hr, racunovodstvo@os-jelkovec.hr, tajnistvo@os-jelkovec.hr";"os-jelkovec.skole.hr, skola@os-jelkovec.skole.hr"
"01-020-005";"Osnovna škola Ivan Benković";"Zagrebačka županija";"10370";"Dugo Selo";"Hrvatskog preporoda 68";"Osnovna škola";"Zagrebačka županija";"Branko  Goleš";"091 / 621 2347, 091 / 621 2336, 091 / 621 2337, 091 / 621 2346, 091 / 621 2338";"";"ured@os-ibenkovic-dugo-selo.skole.hr";"www.os-ibenkovic-dugo-selo.skole.hr"
"01-020-004";"Osnovna škola Josipa Zorića";"Zagrebačka županija";"10370";"Dugo Selo";"JOSIPA ZORIĆA 86";"Osnovna škola";"Zagrebačka županija";"Mara  Mamuza";"01/275-36-04, 2753-847";"01/277 41 46";"skola@os-jzorica-dugo-selo.skole.hr";"www.os-jzorica-dugo-selo.skole.hr"
"16-439-003";"Osnovna škola Bršadin";"Vukovarsko-srijemska županija";"32222";"Bršadin";"Duje Zaharića 1";"Osnovna škola";"Vukovarsko-srijemska županija";"Tatjana  Lukić";"032/569-431, 032/569-802";"";"ured@os-brsadin.skole.hr";""
"15-081-012";"Osnovna škola ""Meterize""";"Šibensko-kninska županija";"22000";"Šibenik";"Put kroz Meterize 48";"Osnovna škola";"Grad Šibenik";"Margit  Vrbičić";"022340638";"";"ured@os-meterize-si.skole.hr";""
"21-114-097";"Prva katolička osnovna škola u Gradu Zagrebu";"Grad Zagreb županija";"10000";"Zagreb";"Ivanićgradska 41a";"Osnovna škola";"Hrvatska karmelska provincija Sv. Oca Josipa";"Vinko  Mamić";"01/ 444 00 44";"";"ured@prva-katolicka-zg.skole.hr";"www.katolickaskola.com"
"21-114-632";"Međunarodna osnovna škola ""Vedri obzori""";"Grad Zagreb županija";"10000";"Zagreb";"Sveti Duh 122";"Osnovna škola";"Milena Prodanić Tišma";"Milena  Prodanić-Tišma";"091/ 537 97 11";"";"info@britishschool-zagreb.hr";""
"05-086-010";"Katolička osnovna škola Svete Uršule";"Varaždinska županija";"42000";"Varaždin";"Uršulinska ulica 1";"Osnovna škola";"Hrvatska provincija uršulinki Rimske unije";"Ankica  Dumbović";"098-97-22-181, 042-200-437, 042/200-437";"";"ured@os-svete-ursule.skole.hr";"www.os-svete-ursule.skole.hr"
"21-114-111";"Osnovna škola Iver";"Grad Zagreb županija";"10361";"Sesvetski Kraljevec";"Ulica Mladena Halape 8";"Osnovna škola";"Grad Zagreb";"Katarina  Rajković";"01/6454-705";"01/6454-722";"ured@os-iver.skole.hr, osiversesvete@gmail.com";"www.os-iver.skole.hr"
"06-038-001";"Osnovna škola Koprivnički Ivanec";"Koprivničko-križevačka županija";"48311";"Kunovec";"Kunovec, Seljačke bune 10";"Osnovna škola";"Koprivničko-križevačka županija";"Kristina  Furkes";"048/861-262";"";"ured@os-koprivnicki-ivanec.skole.hr";"www.os-koprivnicki-ivanec.skole.hr"
"21-114-156";"Osnovna škola Kajzerica";"Grad Zagreb županija";"10020";"Zagreb";"Žarka Dolinara 9";"Osnovna škola";"grad Zagreb";"Majda  Tometić";"01/6454-780";"";"ured@os-kajzerica.skole.hr";""
"14-022-007";"Osnovna škola Satnica Đakovačka";"Osječko-baranjska županija";"31421";"Satnica Đakovačka";"Bana Josipa Jelačića 6";"Osnovna škola";"Osječko-baranjska županija";"Mario  Plavčić";"031/852-141";"";"ured@os-satnicadjakovacka.skole.hr";"http://www.os-satnicadjakovacka.skole.hr/"
"21-114-157";"Salezijanska osnovna škola";"Grad Zagreb županija";"10000";"Zagreb";"Dugoratska ulica 2";"Osnovna škola";"HRVATSKA SALEZIJANSKA PROVINCIJA";"Ivan  Benić";"01/6189-860";"";"ured@os-salezijanska.skole.hr";""
"21-114-112";"Osnovna škola Ružičnjak";"Grad Zagreb županija";"10000";"Zagreb";"Donje Svetice 127";"Osnovna škola";"Vjerničko društvo ""Roditeljski institut za odgoj i obrazovanje - RINO""";"Anita  Vuković";"01 3491414";"";"ured@os-ruzicnjak-zg.skole.hr";""
"08-071-032";"Katolička osnovna škola Josip Pavlišić";"Primorsko-goranska županija";"51000";"Rijeka";"Omladinska 14";"Osnovna škola";"Riječka nadbiskupija";"Jasna  Buketa";"0995498200, 051/ 569-150";"";"tajnistvo@kat-os-jpavlisic.hr, ured@kat-os-jpavlisic.hr";"kat-os-jpavlisic.hr"
"10-089-005";"Katolička osnovna škola u Virovitici";"Virovitičko-podravska županija";"33000";"Virovitica";"Trg Ljudevita Patačića 3";"Osnovna škola";"Požeška biskupija";"Ivan  Mikolić";"033 554 225 (ravnatelj) 033 554 223 (tajnik) 033 554 227 (računovođa) 033 554 145 (pedagog)";"";"ured@os-katolicka-vt.skole.hr";""
"08-043-001";"Osnovna škola Omišalj";"Primorsko-goranska županija";"51513";"Omišalj";"Baječ 8";"Osnovna škola";"Primorsko-goranska županija";"Žarko  Žarković";"051 226 303, 051 777 997, 051 777 932, 051 424 837";"";"ured@os-omisalj.skole.hr";"www.os-omisalj.hr"
"02-178-003";"Centar za odgoj i obrazovanje Krapinske Toplice";"Krapinsko-zagorska županija";"49217";"Krapinske Toplice";"Ul. Ljudevita Gaja 2B";"Osnovna škola";"Krapinsko-zagorska županija";"Antun  Zupanc";"049/ 500-667";"";"ured@centar-krapinske-toplice-kr.skole.hr, ravnatelj@centar-krapinske-toplice-kr.skole.hr, pedagog@centar-krapinske-toplice-kr.skole.hr, ured@centar-krapinske-toplice-kr.skole.hr";"http://centar-krapinske-toplice-kr.skole.hr/"
"01-087-007";"Osnovna škola Novo Čiče";"Zagrebačka županija";"10415";"Novo Čiče";"Trg Antuna Cvetkovića 27";"Osnovna škola";"Grad Velika Gorica";"Sanja  Povoljnjak";"01/6231 457, 01/6231 420, 01/6231 414, 01/6231 458, 01/6237 748, 01/6233 141, 01/6237 741, 01/6237 740";"";"ured@os-novo-cice.skole.hr";"http://www.os-novo-cice.skole.hr"
"21-990-91";"Francuska osnovna škola";"Grad Zagreb županija";"10000";"Zagreb";"Fratrovac 36";"Osnovna škola";"Udruga za razvoj i podršku Francuske škole u Zagrebu";"Maryline  Boussenard";"";"";"sec@efz.hr";""
"21-114-113";"Osnovna škola ""Lotrščak""";"Grad Zagreb županija";"10000";"Zagreb";"Donje Svetice 127";"Osnovna škola";"Vjerničko društvo ""Roditeljski institut za odgoj i obrazovanje - RINO""";"Marin  Divić";"01 5604792, +385 1 560 4792";"";"ured@os-lotrscak-zg.skole.hr";"http://os-lotrscak.hr/"
