"mbu";"Naziv Ustanove";"Nadredjena Ustanova";"Vrsta Ustanove";"Upisnik";"Adresa";"Mjesto";"Telefon";"Faks";"e Posta";"URL";"Celnik"
116;"Fakultet za menadžment u turizmu i ugostiteljstvu, Opatija ";"Sveučilište u Rijeci";"Fakultet";"Znanstvena ustanova i visoko učilište";"Naselje Ika, Primorska 42                               ";"OPATIJA";"(+385 51) 294 706";"(+385 51) 291 695";"dekanat@fthm.hr";"www.fthm.uniri.hr";"dekanica prof. dr. sc. Sandra Janković"
117;"Tekstilno-tehnološki fakultet, Zagreb";"Sveučilište u Zagrebu";"Fakultet";"Znanstvena ustanova i visoko učilište";"Prilaz baruna Filipovića 28a                                             ";"ZAGREB";"(+385 1) 3712-500                                                                          ";"(+385 1) 3712-599                                                                                   ";"fakultet@ttf.hr                                                                                     ";"www.ttf.unizg.hr";"v. d. dekanice izv. prof. dr. sc. Anica Hursa Šajatović"
119;"Prirodoslovno-matematički fakultet, Zagreb ";"Sveučilište u Zagrebu";"Fakultet";"Znanstvena ustanova i visoko učilište";"Horvatovac 102/a                                              ";"ZAGREB";"(+385 1) 4606 010 ";"(+385 1) 4606 013";"dekanat@dekanat.pmf.hr";"www.pmf.unizg.hr";"dekan prof. dr. sc. Mirko Planinić"
135;"Fakultet prometnih znanosti, Zagreb";"Sveučilište u Zagrebu";"Fakultet";"Znanstvena ustanova i visoko učilište";"Vukelićeva 4                                                ";"ZAGREB";"(+385 1) 2380 222                                                               ";"(+385 1) 2314 415                                                                                   ";"dekanat@fpz.hr";"www.fpz.unizg.hr";"dekan prof. dr. sc. Tomislav Josip Mlinarić"
6;"Farmaceutsko-biokemijski fakultet, Zagreb";"Sveučilište u Zagrebu";"Fakultet";"Znanstvena ustanova i visoko učilište";"Ante Kovačića 1                                             ";"ZAGREB";"(+385 1) 4818 288                                                                              ";"(+385 1) 6394 400";"dekanat@pharma.hr";"www.pharma.unizg.hr ";"dekanica izv. prof. dr. sc. Jasmina Lovrić"
7;"Geodetski fakultet, Zagreb";"Sveučilište u Zagrebu";"Fakultet";"Znanstvena ustanova i visoko učilište";"Fra Andrije Kačića Miošića 26                                   ";"ZAGREB";"(+385 1) 4639 222";"(+385 1) 4828 081";"referada@geof.hr";"www.geof.unizg.hr";"dekan izv. prof. dr. sc. Almin Đapo"
9;"Filozofski fakultet, Rijeka ";"Sveučilište u Rijeci";"Fakultet";"Znanstvena ustanova i visoko učilište";"Sveučilišna avenija 4                                              ";"RIJEKA";"(+385 51) 265 600; 265 602";"(+385 51) 216 099";"dekanat@ffri.hr ";"www.ffri.uniri.hr";"dekanica izv. prof. dr. sc. Ines Srdoč-Konestra"
10;"Ekonomski fakultet, Osijek";"Sveučilište  Josipa Jurja Strossmayera u Osijeku ";"Fakultet";"Znanstvena ustanova i visoko učilište";"Gajev trg 7                                                 ";"OSIJEK";"(+385 31) 224 400                                                                                   ";"(+385 31) 211 604                                                                                   ";"ured@efos.hr                                                                                        ";"www.efos.unios.hr";"dekan izv. prof. dr. sc. Boris Crnković"
11;"Kemijsko-tehnološki fakultet, Split ";"Sveučilište u Splitu";"Fakultet";"Znanstvena ustanova i visoko učilište";"Ruđera Boškovića 35                                             ";"SPLIT";"(+385 21) 329 422                                                                        ";"(+385 21) 329 461";"dekanat@ktf-split.hr";"www.ktf.unist.hr";"dekan prof. dr. sc. Matko Erceg"
12;"Visoko gospodarsko učilište u Križevcima";"";"Visoka škola";"Znanstvena ustanova i visoko učilište";"Milislava Demerca 1                                         ";"KRIŽEVCI";"(+385 48) 681 597";"(+385 48) 682 790";"ured@vguk.hr;dekan@vguk.hr";"www.vguk.hr";"dekanica dr. sc. Marijana Ivanek-Martinčić"
13;"Edukacijsko-rehabilitacijski fakultet, Zagreb ";"Sveučilište u Zagrebu";"Fakultet";"Znanstvena ustanova i visoko učilište";"Borongajska cesta 83f";"ZAGREB";"(+385 1) 2457 000";"(+385 1) 2457 559";"dekan@erf.unizg.hr";"www.erf.unizg.hr";"dekanica izv. prof. dr. sc. Snježana Sekušak Galešev"
177;"Prirodoslovno-matematički fakultet, Split";"Sveučilište u Splitu";"Fakultet";"Znanstvena ustanova i visoko učilište";"Ruđera Boškovića 33                                         ";"SPLIT";"(+385 21) 619 222";"(+385 1) 619 227";"dekanat@pmfst.hr ";"www.pmfst.unist.hr ";"dekan prof. dr. sc. Nikola Koceić Bilan"
178;"Agronomski fakultet, Zagreb ";"Sveučilište u Zagrebu";"Fakultet";"Znanstvena ustanova i visoko učilište";"Svetošimunska cesta 25                                      ";"ZAGREB";"(+385 1) 2393 777                                                                                   ";"(+385 1) 2315 300                                                                                   ";"dekanat@agr.hr                                                                                      ";"www.agr.unizg.hr ";"dekan prof. dr. sc. Zoran Grgić"
307;"Visoka škola za menadžment u turizmu i informatici u Virovitici";"";"Visoka škola";"Visoko učilište";"Ulica Matije Gupca 78";"VIROVITICA";"(+385 33) 721 099";"(+385 33) 721 037";"info@vsmti.hr";"www.vsmti.hr";"dekan dr. sc. Oliver Jukić"
268;"Veleučilište Velika Gorica";"";"Veleučilište";"Visoko učilište";"Zagrebačka 5                                          ";"VELIKA GORICA";"(+385 1) 6222 501                                                                                   ";"(+385 1) 6222 301                                                                                   ";"info@vvg.hr";"www.vvg.hr";"dekan dr. sc. Ivan Toth"
269;"Sveučilište u Zadru";"";"Sveučilište";"Znanstvena ustanova i visoko učilište";"Ul. Mihovila Pavlinovića 1                    ";"ZADAR";"(+385 23) 200 501; (+385 23) 200 580                                                              ";"(+385 23) 316 882                                                                            ";"rektorat@unizd.hr                                                                                   ";"www.unizd.hr                                                                                        ";"rektorica prof. dr. sc. Dijana Vican"
271;"Visoko evanđeosko teološko učilište, Osijek";"";"Visoka škola";"Visoko učilište";"Cvjetkova 32, p.p.370                                                ";"OSIJEK";"(+385 31) 494 200";"(+385 31) 494 201";"info@evtos.hr ";"www.evtos.hr";"dekan dr. sc. Peter Kuzmič"
275;"Sveučilište u Dubrovniku";"";"Sveučilište";"Znanstvena ustanova i visoko učilište";"Branitelja Dubrovnika 29                                             ";"DUBROVNIK";"(+385 20) 445 700";"(+385 20) 435 590";"rektoratdu@unidu.hr";"www.unidu.hr";"rektor prof. dr. sc. Nikša Burum"
325;"Europska poslovna škola Zagreb, Zagreb";"";"Visoka škola";"Visoko učilište";"Selska cesta 119";"ZAGREB";"(+385 1) 4002 296";"(+385 1) 4002 302";"info@ebus.hr";"ebus.hr";"dekan dr. sc. Ivica Katavić"
328;"Sveučilište  Josipa Jurja Strossmayera u Osijeku ";"";"Sveučilište";"Znanstvena ustanova i visoko učilište";"Trg Sv. Trojstva 3";"OSIJEK";"(+385 31) 224 102                                                                                   ";"(+385 31) 207 015                                                                                   ";"rektorat@unios.hr                                                                                   ";"www.unios.hr";"rektor prof. dr. sc. Vlado Guberac"
329;"Libertas Međunarodno sveučilište, Zagreb ";"";"Sveučilište";"Znanstvena ustanova i visoko učilište";"Trg J. F. Kennedy 6b";"ZAGREB";"(+385 1) 5633 101";"(+385 1) 5633 111";"asamodol@libertas.hr";"www.libertas.hr";"rektor prof. dr. sc. Dušan Pavlović"
331;"Hrvatsko katoličko sveučilište, Zagreb";"";"Sveučilište";"Znanstvena ustanova i visoko učilište";"Ilica 242";"ZAGREB";"(+385 1) 3706 600";"(+385 1) 3706 601";"rektorat@unicath.hr";"www.unicath.hr";"rektor dr. sc. Željko Tanjić"
333;"Visoka škola za menadžment i dizajn Aspira, Split ";"";"Visoka škola";"Visoko učilište";"Mike Tripala  6";"SPLIT";"(+385 21) 323 077";"(+385 21) 323 078";"info@aspira.hr";"www.aspira.hr";"dekan Alen Jerkunica"
334;"Visoka škola međunarodnih odnosa i diplomacije Dag Hammarskjöld, Zagreb ";"";"Visoka škola";"Visoko učilište";"Trg J. F. Kennedya 6B";"ZAGREB";"(+385 1) 3700 666";"(+385 1) 3700 405";"tajnistvo@diplomacija.hr";"www.diplomacija.hr ";"v.d. dekana Aleksandar Ostojić"
335;"Sveučilište u Rijeci - Odjel za biotehnologiju ";"Sveučilište u Rijeci";"Sveučilišni odjel";"Znanstvena ustanova i visoko učilište";"Radmile Matejčić 2";"RIJEKA";"(+385 51) 584 550";"(+385 51) 584 599";"ured@biotech.uniri.hr";"www.biotech.uniri.hr";"pročelnica prof. dr. sc. Miranda Mladinić Pejatović"
336;"Sveučilište Sjever, Koprivnica";"";"Sveučilište";"Znanstvena ustanova i visoko učilište";"Trg dr. Žarka Dolinara 1";"KOPRIVNICA";"(+385 48) 240 294";"(+385 48) 240 295";"info@unin.hr";"http://www.unin.hr";"rektor dr. sc. Marin Milković"
340;"Sveučilište u Splitu Sveučilišni odjel za forenzične znanosti";"Sveučilište u Splitu";"Sveučilišni odjel";"Visoko učilište";" Ruđera Boškovića 31";"SPLIT";"(+385 21) 510 180";"(+385 21) 510 180";"forenzika@unist.hr ";"forenzika.unist.hr";"pročelnik izv. prof. dr. sc. Damir Piplica"
342;"EFFECTUS poduzetnički studiji - visoko učilište, Zagreb";"";"Visoka škola";"Znanstvena ustanova i visoko učilište";"Trg J. F. Kennedya 2";"ZAGREB";"(+385 1)  6117 777";"(+385 1) 6117 022";"referada@effecuts.com.hr";"www.effectus.com.hr";"dekan dr. sc. Robert Kopal"
343;"Visoka škola za inspekcijski i kadrovski menadžment, Split";"";"Visoka škola";"Visoko učilište";"Zrinsko Frankopanska 209";"SPLIT";"(+385 21) 645 375";"(+385 21) 382 124";"dekan@vsikmp.hr; referada@vsikmp.hr ";"www.vsikmp.hr ";"dekan dr. sc. Đorđe Nadrljanski"
345;"Sveučilište u Splitu Sveučilišni odjel za stručne studije ";"Sveučilište u Splitu";"Sveučilišni odjel";"Visoko učilište";"Kopilica 5";"SPLIT";"(+385 21) 348 900, 346 886";"(+385 21) 348 900, 339 369";"procelnika@oss.unist.hr";"http://www.oss.unist.hr";"pročelnik Ivan Akrap"
346;"Sveučilište u Splitu Sveučilišni odjel zdravstvenih studija";"Sveučilište u Splitu";"Sveučilišni odjel";"Visoko učilište";"Ulica Ruđera Boškovića 35";"SPLIT";"(+385 21) 564 800; 806; 807 ";"(+385 21) 564 819";"ured@ozs.unist.hr ";"http://ozs.unist.hr ";"v. d. pročelnika Odjela prof. dr. sc. Stipan Janković"
347;"Visoka poslovna škola PAR, Rijeka ";"";"Visoka škola";"Visoko učilište";"Trg riječke rezolucije 4";"RIJEKA";"(+385 51) 327 037";"(+385 51) 327 305";"info@par.hr";"www.par.hr";"dekanica doc. dr. sc. Gordana Nikolić"
351;"Fakultet zdravstvenih studija, Rijeka";"Sveučilište u Rijeci";"Fakultet";"Znanstvena ustanova i visoko učilište";"Viktora Cara Emina 5";"RIJEKA";"(+385 51) 688 266";"(+385 51) 554 950";" dekanatfzsri@uniri.hr ";"www.fzsri.uniri.hr";"dekanica prof. dr. sc. Daniela Malnar"
355;"Edward Bernays Visoka škola za komunikacijski menadžment, Zagreb";"";"Visoka škola";"Visoko učilište";"Ratkajev prolaz 8";"ZAGREB";"(+385 1) 555 1212";"(+385 1) 555 1779";"info@bernays.hr";"www.bernays.hr";"dekan dr. sc. Damir Jugo"
356;"Fakultet za dentalnu medicinu i zdravstvo, Osijek ";"Sveučilište  Josipa Jurja Strossmayera u Osijeku ";"Fakultet";"Znanstvena ustanova i visoko učilište";"Crkvena 21 ";"OSIJEK";"(+385 31) 512 800";"(+385 31) 512 833";"info@fdmz.hr";"www.fdmz.hr";"dekan prof. dr. sc. Aleksandar Včev"
357;"Sveučilište VERN, Zagreb";"";"Sveučilište";"Visoko učilište";"Trg Drage Iblera 10";"ZAGREB";"(+385 1) 4881 820";"(+385 1) 4881 830";"rektorat@vern.hr";"www.vern.hr";"privremeni rektor prof. dr. sc. Vlatko Cvrtila"
359;"Visoka škola SECURUS (u osnivanju)";"";"Visoka škola";"Visoko učilište";"Stoja 2";"PULA";"(+385 52) 386 155";"(+385 52) 382 399";"info@vs-securus.hr";"www.vs-securus.hr";"v.d. dekana Petar Vitas"
360;"Visoka škola Ivanić-Grad";"";"Visoka škola";"Visoko učilište";"Moslavačka ulica 13";"IVANIĆ GRAD";"(+385 1) 2016 841";;"info@vsig.hr";"www.vsig.hr";"dekan doc. dr. sc. Mile Marinčić"
361;"Akademija za umjetnost i kulturu, Osijek";"Sveučilište  Josipa Jurja Strossmayera u Osijeku ";"Umjetnička akademija";"Visoko učilište";"Kralja Petra Svečića 1/f";"OSIJEK";"(+385 31 253 333)";"(+385 31 253 353)";"aukos@aukos.hr ";"www.aukos.hr ";"dekanica prof. dr. sc. Helena Sablić Tomić"
195;"Rudarsko-geološko-naftni fakultet, Zagreb ";"Sveučilište u Zagrebu";"Fakultet";"Znanstvena ustanova i visoko učilište";"Pierottijeva 6                                              ";"ZAGREB";"(+385 1) 553 5700";"(+385 1) 4836 051";"dekan@rgn.unizg.hr";"www.rgn.unizg.hr";"dekan prof. dr. sc. Kristijan Posavec"
199;"Fakultet filozofije i religijskih znanosti, Zagreb ";"Sveučilište u Zagrebu";"Fakultet";"Znanstvena ustanova i visoko učilište";"Jordanovac 110, pp 169                                      ";"ZAGREB";"(+385 1) 2354 222                                                                                   ";"(+385 1) 2354 201                                                                                   ";"tajnistvo@ffrz.unizg.hr;emanuela.herceg@ffrz.unizg.hr                                               ";"www.ffrz.unizg.hr                                           ";"dekan prof. dr. sc. Ivan Koprek"
203;"Katolički bogoslovni fakultet, Zagreb";"Sveučilište u Zagrebu";"Fakultet";"Znanstvena ustanova i visoko učilište";"Vlaška 38                                                   ";"ZAGREB";"(+385 1) 4890 400; (+385 1) 4890 402                                                                ";"(+385 1) 4814 704                                                                                   ";"ured@kbf.unizg.hr ";"www.kbf.unizg.hr ";"dekan prof. dr. sc. Josip Šimunović"
204;"MUP Policijska akademija – Visoka policijska škola, Zagreb";"";"Visoka škola";"Znanstvena ustanova i visoko učilište";"Avenija Gojka Šuška 1                                       ";"ZAGREB";"(+385 1) 2426 311                                                                           ";"(+385 1) 2426 415                                                                                   ";"vps@fkz.hr";"www.pa.mup.hr";"dekan dr. sc. Krunoslav Borovec"
364;"Fakultet dentalne medicine, Rijeka ";"Sveučilište u Rijeci";"Fakultet";"Visoko učilište";"Krešimirova 40/42";"RIJEKA";"(+385 51) 345 631";"(+385 51) 406 588";"ured@uniri.hr ";"www.uniri.hr";"dekanica prof. dr. sc. Sonja Pezelj-Ribarić"
366;"Sveučilište Algebra (u osnivanju), Zagreb";"";"Sveučilište";"Visoko učilište";"Ilica 242";"ZAGREB";"(+385 1) 2222 182";"(+385 1) 2222 183 ";"info@računarstvo.hr";"www.algebra.hr";"privremeni rektor prof. dr. sc. Slavko Krajcar"
367;"Sveučilište u Slavonskom Brodu";"";"Sveučilište";"Znanstvena ustanova i visoko učilište";"Trg Stjepana Miletića 12";"SLAVONSKI BROD";"(+385 35) 446-188";"(+385 35) 446-446";"info@unisb.hr; zivandic@unisb.hr;msenic@unisb.hr";"www.unisb.hr";"privremeni rektor prof. dr. sc. Ivan Samardžić"
368;"Kineziološki fakultet, Osijek ";"Sveučilište  Josipa Jurja Strossmayera u Osijeku ";"Fakultet";"Visoko učilište";"Drinska 16a";"OSIJEK";"(+385  31) 225 000";"(+385 31) 225-001";"ured@kifos.hr";"www.kifos.hr";"privremena dekanica prof. dr. sc. Vesnica Mlinarević"
55;"Ekonomski fakultet, Split ";"Sveučilište u Splitu";"Fakultet";"Znanstvena ustanova i visoko učilište";"Cvite Fisković 5                                         ";"SPLIT";"(+385 21) 430 601                                                                                   ";"(+385 21) 430 701                                                                                   ";"dekanat@efst.hr";"www.efst.unist.hr";"dekanica prof. dr. sc. Maja Fredotović"
58;"Prehrambeno-biotehnološki fakultet";"Sveučilište u Zagrebu";"Fakultet";"Znanstvena ustanova i visoko učilište";"Pierottijeva 6                                              ";"ZAGREB";"(+385 1) 4605 000                                                                ";"(+385 1) 4836 083                                                                                   ";"dekan@pbf.hr                                                                                        ";"www.pbf.unizg.hr                                                                                   ";"dekanica prof. dr. sc. Jadranka Frece"
62;"Medicinski fakultet, Rijeka ";"Sveučilište u Rijeci";"Fakultet";"Znanstvena ustanova i visoko učilište";"Braće Branchetta 20                                         ";"RIJEKA";"(+385 51) 651 203                                                         ";"(+385 51) 675 806                                                                                   ";"dekanat_medri@uniri.hr";"www.medri.uniri.hr                                                                                 ";"dekan prof. dr. sc. Goran Hauser"
65;"Stomatološki fakultet, Zagreb";"Sveučilište u Zagrebu";"Fakultet";"Znanstvena ustanova i visoko učilište";"Gundulićeva 5                                               ";"ZAGREB";"(+385 1) 4802 111;4807 350                                                                          ";"(+385 1) 4830 804; 4807 367";"dekanat@sfzg.hr ";"www.sfzg.unizg.hr";"dekanica prof. dr. sc. Zrinka Tarle"
66;"Pravni fakultet, Zagreb";"Sveučilište u Zagrebu";"Fakultet";"Znanstvena ustanova i visoko učilište";"Trg Republike Hrvatske  14                                         ";"ZAGREB";"(+385 1) 4564 309                                                                     ";"(+385 1) 4564 030";"dekanat@pravo.hr ";"www.pravo.unizg.hr ";"dekan prof. dr. sc. Igor Gliha"
