"Naziv";"Adresa";"Postanski Broj";"Mjesto";"Zupanija";"Telefon";"e Posta"
"Dječji vrtić ""Radost""";"Ivane Brlić Mažuranić 1";"44330";"Novska";"Sisačko-moslavačka županija ";"044/600-320";"vrtic.radost@optinet.hr"
"Dječji vrtić Petrinjčica";"Milana Dujnića 25";"44250";"Petrinja";"Sisačko-moslavačka županija ";"044/815-134";"dv-petrinjcica@sk.t-com.hr"
"Dječji vrtić Bubamara Glina";"Frankopanska 33";"44400";"Glina";"Sisačko-moslavačka županija ";"044/882-228";"vrtic.glina@gmail.com; "
"Dječji vrtić ""Krijesnica""";"Vladimira Nazora 40";"44430";"Hrvatska Kostajnica";"Sisačko-moslavačka županija ";"044/851-304";"vrtic-krijesnica@sk.htnet.hr"
"Dječji vrtić ""Topusko""";"Školska 10";"44415";"Topusko";"Sisačko-moslavačka županija ";"044/885-218";"djecji.vrtic.topusko1@sk.t-com.hr"
"""Dječji vrtić Popovača""";"Ulica Alojzija Stepinca 3";"44317";"Popovača";"Sisačko-moslavačka županija ";"044/679-034 ";"tajnica@vrtic-popovaca.hr, ravnateljica@vrtic-popovaca.hr"
"Dječji vrtić Iskrica";"Ante Starčevića 1";"44322";"Lipovljani";"Sisačko-moslavačka županija ";"044/676-003";"vrtic.lipovljani@gmail.com"
"Dječji vrtić ""Ludina""";"Crkvena 2";"44317";"Velika Ludina";"Sisačko-moslavačka županija ";"044/658-493";"dvovl.vrtic@gmail.com"
"Dječji vrtić ""Bambi"" Sunja";"Matije Gupca 24";"44210";"Sunja";"Sisačko-moslavačka županija ";"044/833-163";"vrtic.bambi@sunja.hr"
"Dječji vrtić ""Sunce""";"Ulica Kralja Tomislava 23a";"44440";"Dvor";"Sisačko-moslavačka županija ";"044/871-394";"suncedjecjivrtic@gmail.com"
"Dječji vrtić ""Lekenik""";"Hermanna Gmeinera 1";"44272";"Lekenik";"Sisačko-moslavačka županija ";"044 772 150";"djecji.vrtic.lekenik@sk.t-com.hr"
"Kraći program predškolskog odgoja pri glazbenoj školi ""Fran Lhotka""";"Trg Ljudevita Posavskog 2";"44000";"Sisak";"Sisačko-moslavačka županija ";"044/548528";"gsfranalhotke@gmail.com"
"Dječji vrtić ""Karlovac""";"Ulica Imbre Tkalca 2";"47000";"Karlovac";"Karlovačka županija ";"047/631-466";"tajnistvo@vrtic-karlovac.hr"
"Dječji vrtić ""Bistrac""";"Sveti Petar 41 d";"47300";"Ogulin";"Karlovačka županija ";"047/522-001";"info@bistrac.hr    "
"Dječji vrtić ""Duga Resa""";"Ul.dr. Ivana Banjavčića 2";"47250";"Duga Resa";"Karlovačka županija ";"047/704-124";"vrticdresa@gmail.com"
"Dječji vrtić ""Slunj""";"Kralja Zvonimira 9";"47240";"Slunjčica";"Karlovačka županija ";"047/777-576, 047 410-668";" vrtic-slunj@h-1.hr"
"Dječji vrtić Zvončić Ozalj";"Trg Braće Radića 4";"47280";"Ozalj";"Karlovačka županija ";"047/731-251";"dvzvoncic@gmail.com"
"Dječji vrtić ""Vojnić""";"Trg Ante Starčevića 4";"47220";"Vojnić";"Karlovačka županija ";"047883074";"djecji.vrtic.vojnic@ka.t-com.hr"
"Dječji vrtić ""Josipdol""";"Karlovačka 17 b";"47303";"Josipdol";"Karlovačka županija ";"047/581-275";"kontakt@dv-josipdol.hr"
"Dječji vrtić ""Tintilinić""";"Bogoslava Šuleka 13";"47000";"Karlovac";"Karlovačka županija ";"047/413-166";"dv.tintilinic@gmail.com"
"Program predškolskog odgoja pri OŠ Cetingrad";"Ivana Frankopana Cet";"47222";"Cetingrad";"Karlovačka županija ";"047/781-005";"ured@os-cetingrad.skole.hr"
"Dječji vrtić ""Dugin svijet""";"Vodnjanska cesta 17";"52100";"Pula";"Istarska županija ";"052/ 556 878 i mob. 099/677541";"dv.duginsvijet@gmail.com"
"Program predškolskog odgoja pri OŠ Plaški";"Ulica 143. domobranske pukovnije 1a";"47304";"Plaški";"Karlovačka županija ";"047/573-178";"ured@os-plaski.skole.hr"
"Dječji vrtić ""Varaždin""";"Dravska 1";"42000";"Varaždin";"Varaždinska županija ";"042/203-253";"vrticvz@gmail.com"
"Dječji vrtić ""Ivančice""";"Akademika Ladislava Šabana 19";"42240";"Ivanec";"Varaždinska županija ";"042/782-328";"ravnatelj@vrtic-ivancice.hr"
"Dječji vrtić ""Radost""";"A. Šenoe 4";"42230";"Ludbreg";"Varaždinska županija ";"042/810-633";"radostludbreg@gmail.com"
"Dječji vrtić ""Tratinčica""";"Braće Radića 14";"42223";"Varaždinske Toplice";"Varaždinska županija ";"042/633-164";"tratincicavt@gmail.com"
"Dječji vrtić ""Novi Marof""";"OTONA IVEKOVIĆA 12";"42220";"Novi Marof";"Varaždinska županija ";"042611271";"ravnateljica@vrtic.novi-marof.hr"
"Dječji vrtić ""Bubamara""";"Ulica učitelja Vjekoslava Kezele 8";"42204";"Gornji Kneginec";"Varaždinska županija ";"042/690-661";"bubamara.kneginec1@gmail.com"
"Dječji vrtić ""Latica"" Klenovnik";"Klenovnik 32";"42240";"Klenovnik";"Varaždinska županija ";"042/763-333";"latica@vz.t-com.hr ; vrtic.latica@gmail.com"
"Dječji vrtić ""Lepoglava""";"Trg kralja Tomislava 13";"42250";"Lepoglava";"Varaždinska županija ";"042/791-043";"djecjivrticlepoglava@gmail.com"
"Dječji vrtić ""Panda""";"Hercegovačka 29";"42000";"Varaždin";"Varaždinska županija ";"042/233-285";"panda@vz.t-com.hr"
"Dječji vrtić ""Palčić""";"Irme Gorzo 11.";"42000";"Varaždin";"Varaždinska županija ";"042/261-602";"vrtic.palcic@gmail.com"
"Dječji vrtić ""Dječji svijet""";"Franje Galinca 2";"42000";"Varaždin";"Varaždinska županija ";"042/351-052";"vrticdjecjisvijet@gmail.com"
"Dječji vrtić ""Zečić""";"Plitvička 3";"42000";"Varaždin";"Varaždinska županija ";"042/240-270";"dvzecic@net.hr"
"Dječji vrtić ""Zeko""";"J.Križanića 96";"42000";"Varaždin";"Varaždinska županija ";"042/260-713, 042/206-550";" info@zeko.hr; djecji-vrtic-zeko@vz.t-com.hr"
"Dječji vrtić ""Iskrica""";"Braće Radića 14";"42230";"Ludbreg";"Varaždinska županija ";"042/811-041";"iskrica.ravnatelj@gmail.com"
"Dječji vrtić ""Bajka""";"Široke ledine 16";"42000";"Varaždin";"Varaždinska županija ";"+38542233616";"djecji.vrtic.bajka@vz.t-com.hr"
"Dječji vrtić ""Maja Pčelica""";"Vladimira Nazora 138";"42243";"Donje Ladanje";"Varaždinska županija ";"042/727-610";"maja.pcelica@vz.t-com.hr"
"Dječji vrtić ""Škrinjica""";"ULICA VLADIMIRA NAZORA 11";"42205";"Vidovec";"Varaždinska županija ";"042741766";"dvskrinjica@gmail.com"
"Dječji vrtić ""Pinokio""";"Ul. Ivana Trnskog 21";"42000";"Varaždin";"Varaždinska županija ";"042/206-276";"info@dvpinokio.hr"
"Dječji vrtić ""Smjehuljica""";"A. Nemčića 13";"42230";"Ludbreg";"Varaždinska županija ";"042/810-691";"dv.smjehuljica@gmail.com"
"Dječji vrtić ""Anđeo""";"Trg Josipa Godrijana";"42204";"Sveti Ilija";"Varaždinska županija ";"042/734-443";"djecji.vrtic.andjeo@vz.t-com.hr"
"Dječji vrtić ""Kosjenka""";"Marije Jurić Zagorke 13";"32100";"Vinkovci";"Vukovarsko-srijemska  županija ";"0957100520";"dvkosjenka@gmail.com"
"Kraći program predškolskog odgoja pri Osnovnoj školi Novi Marof-osnovno glazbeno obrazovanje";"Zagorska 30";"42220";"Novi Marof";"Varaždinska županija ";"042/611-094";"logozardragan@gmail.com"
"Dječji vrtić ""Bambi""";"Zagorska ulica 71";"42220";"Novi Marof";"Varaždinska županija ";"042 711 245";"vrticbambici@gmail.com"
"Dječji vrtić ""Tratinčica""";"Trg podravskih heroja 7";"48000";"Koprivnica";"Koprivničko-križevačka županija ";"048/621-358 ";"djecji.vrtic.tratincica@kc.t-com.hr"
"Dječji vrtić Vrapčić";"Mihovila Pavleka Miškine 1";"48316";"Đelekovec";"Koprivničko-križevačka županija ";"048-831-492";"dv.vrapcic5@optinet.hr"
"Dječji vrtić ""Fijolica""";"Gajeva bb";"48350";"Novigrad Podravski";"Koprivničko-križevačka županija ";"048/832-862";"vrtic.fijolica2@gmail.com"
"Dječji vrtić ""Maslačak""";"Tina Ujevića 1";"48350";"Đurđevac";"Koprivničko-križevačka županija ";"048/812-203, 811-703,";"vrtic.maslacak@djurdjevac.hr"
"Dječji vrtić ""Košutica""";"Trg slobode 36";"48350";"Ferdinandovac";"Koprivničko-križevačka županija ";"048/817-660";"dv.kosutica@gmail.com"
"Dječji vrtić ""Bubamara""";"Dravska 8";"48350";"Kalinovac";"Koprivničko-križevačka županija ";"048 883 273";"djecji.vrtic.bubamara@kc.t-com.hr"
"Dječji vrtić ""Pčelica""";"Trg kralja Tomislava";"48327";"Molve";"Koprivničko-križevačka županija ";"048/892-115";"djecji.vrtic.pcelica1@kc.t-com.hr"
"Dječji vrtić ""ZRNO""";"Frana Lugarića 50";"48350";"Virje";"Koprivničko-križevačka županija ";"048/897-128";"dv.zrno.virje@gmail.com"
"Dječji vrtić ""Križevci""";"Matije Gupca 52";"48260";"Križevci";"Koprivničko-križevačka županija ";"048/681-309";"vrtic@krizevci.hr"
"Dječji vrtić ""Smiješak""";"Starogradska 22";"48000";"Koprivnica";"Koprivničko-križevačka županija ";"048/621-620";"dvsmijesak@gmail.com"
"Dječji vrtić ""Vladimir Nazor""";"Ljudevita Gaja 46/1";"43500";"Daruvar";"Bjelovarsko-bilogorska županija ";"043/331-417";"hr-vrtic-da@net.hr"
"Kraći program pri Udruzi Kud Palična";"Severin bb";"43000";"Severin";"Bjelovarsko-bilogorska županija ";"0911266667";"kud@kud-palicna.hr"
"Dječji vrtić ""Zraka Sunca""";"Potočka bb";"48260";"Križevci";"Koprivničko-križevačka županija ";"048/718-657";"zraka-sunca@kc.htnet.hr"
"COOR Podravsko sunce";"Hercegovačka bb";"48000";"Koprivnica";"Koprivničko-križevačka županija ";"048/240-341";"ravnatelj@centar-podravskosunce-koprivnica.skole.hr; ured@centar-podravskosunce-koprivnica.skole.hr"
"Program predškole pri OŠ Berek";"Berek 73";"43232";"Berek";"Bjelovarsko-bilogorska županija ";"043/548-125";"ured@os-berek.skole.hr"
"Program predškole pri OŠ Grigora Viteza";"Trg Karla Lukaša 7";"48214";"Sveti Ivan Žabno";"Koprivničko-križevačka županija ";"048/851-408";"ured@os-gvitez-zabno.skole.hr"
"Kraći program predškolskog odgoja pri Osnovnoj glazbenoj školi Alberta Štrige";"Ulica Antuna Gustava Matoša 4";"48260";"Križevci";"Koprivničko-križevačka županija ";"048/711-274";"tajnistvo@ss-glazbena-astrige-kc.skole.hr"
"Dječji vrtić ""Bjelovar""";"Trg Antuna Gustava M";"43000";"Bjelovar";"Bjelovarsko-bilogorska županija ";"043/246-800";"djecji.vrtic.bjelovar@bj.t-com.hr"
"Dječji vrtić ""Balončić""";"Svetvinčenat 98 a";"52341";"Svetvinčenat";"Istarska županija ";"052 560 355";"dvbaloncic@gmail.com"
"Dječji vrtić ""Medulin""";"Munida 3A";"52100";"Medulin";"Istarska županija ";"052/576-760";"info@dvmedulin.hr"
"Dječji vrtić ""Vrtuljak Marčana""";"Marčana 166A";"52207";"Marčana";"Istarska županija ";"052/571-222";"puvrtuljak@gmail.com"
"Dječji vrtić ""Tratinčica""";"Barban 133";"52207";"Barban";"Istarska županija ";"052/567-497, 052/567-455";"pubarbanbb@gmail.com"
"Dječji vrtić Pula";"Koparska 31a";"52100";"Pula";"Istarska županija ";"052/542-416";"ravnateljica@dvpula.hr; kadrovska-sluzba@dvpula.hr"
"Dječji vrtić Neven Rovinj-Rovigno-Giardino dinfanzia Neven Rovinj-Rovigno";"Ulica Fontera 31";"52210";"Rovinj";"Istarska županija ";"052/811-217";"informacije@dv-neven.hr"
"Talijanski dječji vrtić - Giardino d'infanzia italiano ""Naridola"" Rovinj - Rovigno";"Omladinska 20";"52210";"Rovinj";"Istarska županija ";"052/830-138";"dv-gi-naridola@pu.htnet.hr"
"Dječji vrtić i jaslice ""Duga"" Umag";"Labinska ulica 3";"52470";"Umag";"Istarska županija ";"052/741-718";"dvj-duga@pu.t-com.hr"
"Dječji vrtić ""Buje""";"Matije Gupca 13";"52460";"Buje";"Istarska županija ";"052/772-043";"dv.buje@pu.t-com.hr"
"Dječji vrtić ""Kalimero""";"Dudova 24 a";"52474";"Brtonigla";"Istarska županija ";"052/774-369";"info@vrtic-kalimero.hr"
"Dječji vrtići ""Petar Pan"" Vodnjan - Scuole dell'infanzia ""Petar Pan"" Dignano";"San Rocco 17";"52100";"Vodnjan";"Istarska županija ";"052/511-364";"djecji.vrtici.petar.pan.vodnjan@pu.t-com.hr"
"Dječji vrtić ""Sunce""";"PULJSKA CESTA 7";"52100";"Fažana";"Istarska županija ";"052 521-123, 052 520-897";"djecji.vrtic.sunce1@pu.t-com.hr"
"Program predškolskog odgoja pri OŠ Milan Šorgo";"Matka Laginje 25";"52460";"Oprtalj";"Istarska županija ";"052/644-010";"ured@os-msorga-oprtalj.skole.hr"
"Talijanski dječji vrtić ""Mrvica""";"Matije Gupca 13";"52460";"Buje";"Istarska županija ";"052/773-161";"talijanski.d.v.fregola@pu.t-com.hr"
"DV ""Vrtuljak-Girotondo"", talijanski dječji vrtić";"Školska 12";"52470";"Umag";"Istarska županija ";"052/721-770";"vrtuljak@pu.t-com.hr"
"Dječji vrtić ""Crvenkapica""";"Petra Preradovića 4";"52440";"Poreč - Parenzo";"Istarska županija ";"052/434 447 (431-324)";" vrtic@dvcrvenkapica.hr"
"Dječji vrtić ""Gloria""";"Matije Grpca 2";"52220";"Labin";"Istarska županija ";"052/857-400";"vrtic.gloria@gmail.com"
"Dječji vrtić ""Cipelići""";"Pulska 22";"52440";"Poreč - Parenzo";"Istarska županija ";"052/453-084";"djecjivrticcipelici@gmail.com"
"Dječji vrtić ""Bambi""";"J. Crnobori 82";"52100";"Pula";"Istarska županija ";"098/ 214 877";"bambi.pula@gmail.com"
"Dječji vrtić ""Topolino""";"Županska 16";"52100";"Pula";"Istarska županija ";"091 510 22 10";"info@topolino.hr"
"Dječji vrtić ""Slano""";"Trg R. Boškovića 1";"20232";"Slano";"Dubrovačko-neretvanska županija ";"020/871-023";"djecji.vrtic.slano@du.t-com.hr"
"Dječji vrtić ""Šiljo""";"Prilaz Puljskih špan";"52100";"Pula";"Istarska županija ";"091-1109-110";"siljo-vrtic0503@net.hr"
"Dječji vrtić ""Pinokio""";"Loborika 45";"52207";"Marčana";"Istarska županija ";"052/550-265";"dvpinokio1@gmail.com"
"Dječji vrtić ""Veseljko""";"IVANČIĆEVA 19";"52100";"Pula";"Istarska županija ";"052-505-155";"dvveseljko@gmail.com"
"Dječji vrtić ""Oblutak""";"Monte Magno 13";"52100";"Pula";"Istarska županija ";"052/507-028";"suzana.matosevic@pu.t-com.hr"
"Dječji vrtić ""Vjeverica""";"Orbanin 77";"52100";"Pula";"Istarska županija ";"095 3053079";"svetlana.gotovina@pu.htnet.hr"
"Dječji vrtić ""Cipelići""";"Nazorova 33";"52100";"Pula";"Istarska županija ";"052/218-735     /   098 874521";"dvcipelici@gmail.com"
"Dječji vrtići ""Dado""";"Štinjan, Kalčeva 11";"52100";"Pula";"Istarska županija ";"052/517-181, 098-224-464";"snjezana@dvdado.hr"
"DV pri Dnevnom centru za rehabilitaciju Veruda - Pula";"Vidikovac 7";"52100";"Pula";"Istarska županija ";"052/223-594";"info.dczr@gmail.com"
"Dječji vrtić ""Maslačak""";"Vernalska 12";"52100";"Pula";"Istarska županija ";"052/535-615";"maslacak@difusione.hr"
"Dječji vrtić ""Sunčica""";"Banjole, Kamik 18";"52100";"Medulin";"Istarska županija ";"095 8142428";"taljat.nena@gmail.com"
"Dječji vrtić ""Dobrilići""";"Mutilska 25";"52100";"Pula";"Istarska županija ";"095/ 5607708";"beticv@gmail.com"
"Dječji vrtić ""101 Dalmatinac""";"Nova Vas, Antonci 35";"52440";"Poreč - Parenzo";"Istarska županija ";"052/ 451 087";"101dalmatinac@windowslive.com"
"Dječji vrtić ""Pingvin""";"Osječka10";"52100";"Pula";"Istarska županija ";"099/351-5099 ; 052/823-830";"sibil.isic@pu.t-com.hr"
"Dječji vrtić ""Titti""";"Drenovica 18";"52100";"Pula";"Istarska županija ";"052/ 507 121";"sabina.vidos@pu.t-com.hr "
"Dječji vrtić ""Vesela kuća Asando Cher""";"Kosova Ulica 16";"52100";"Pula";"Istarska županija ";"091/892 38 69";"ljiljana.pekica@gmail.com"
"Dječji vrtić ""Moj dan - My Day""";"Medulinska 29a";"52100";"Pula";"Istarska županija ";"052/823-904";"irismyday@gmail.com"
"DJEČJI VRTIĆI DUBROVNIK";"Iva Vojnovića, 34";"20000";"Dubrovnik";"Dubrovačko-neretvanska županija ";"020/332400";"ravnateljica@vrtici-du.hr;palcica-vrtic@du.htnet.hr"
"Dječji vrtić ""Župa dubrovačka""";"Vukovarska 48";"20207";"Mlini";"Dubrovačko-neretvanska županija ";"020/ 485-029";"vrtic.zupa@gmail.com"
"Dječji vrtić ""Konavle""";"Put od Cavtata bb";"20207";"Cavtat";"Dubrovačko-neretvanska županija ";"020 478 436";"ravnateljica@vrticikonavle.hr"
"Dječji vrtić ""Radost""";"Ulica 27 broj 17";"20270";"Vela Luka";"Dubrovačko-neretvanska županija ";"020/812-233";"radost@velaluka.hr"
"Dječji vrtić ""Korčula""";"Pelavin mir bb";"20260";"Korčula";"Dubrovačko-neretvanska županija ";"020/711 143";"info@korcula.hr"
"Dječji vrtić ""Blato""";"Ulica 1 25/II";"20271";"Blato";"Dubrovačko-neretvanska županija ";"020/851-991";"dv.blato@du.t-com.hr"
"Dječji vrtić ""Orebić""";"Ul. Bana Josipa Jelačića 8";"20250";"Orebić";"Dubrovačko-neretvanska županija ";"020/713-132";"djecji-vrtic-orebic@du.t-com.hr"
"Dječji vrtić ""Ploče""";"Trg bana Josipa Jela";"20340";"Ploče";"Dubrovačko-neretvanska županija ";"020/415-217, 020/679-175";"djecji.vrtic.ploce@gmail.com"
"Dječji vrtić ""Metković""";"Kralja Zvonimira 22";"20350";"Metković";"Dubrovačko-neretvanska županija ";"020/ 681-515";"dvmetkovic@gmail.com"
"DV ""Opuzen""";"Zagrebačka 3/I";"20355";"Opuzen";"Dubrovačko-neretvanska županija ";"020/671-260";"djecji.vrtic.opuzen@gmail.com"
"DV ""Ston""";"Put braće Mihanovića";"20230";"Duba Stonska";"Dubrovačko-neretvanska županija ";"020/754-644";"vrticston@gmail.com"
"Dječji vrtić ""Leut""";"Dubrovačka 20/3";"20350";"Metković";"Dubrovačko-neretvanska županija ";"091/3682782";"nada.pazin3@gmail.com"
"Dječji vrtić ""Bambi""";"Smokvica bb";"20271";"Smokvica";"Dubrovačko-neretvanska županija ";"020/831014";"tami10@net.hr"
"Dječji vrtić ""Petar Pan""";"Iva Vojnovića 73";"20000";"Dubrovnik";"Dubrovačko-neretvanska županija ";"020/427-743";"ivanaucovic@yahoo.com"
"Dječji vrtić ""Bubamara""";"Kralja Tomislava 7";"20000";"Dubrovnik";"Dubrovačko-neretvanska županija ";"020/611879";" vrtic.bubamaradubrovnik@gmail.com"
"Dječji vrtić ""Fijolica""";"Trg kralja Tomislava 2";"40323";"Prelog";"Međimurska županija ";"040/645-601";"dv-fijolica@ck.t-com.hr"
"Dječji vrtić ""Kotoriba""";"Ignaca Svetomartinskog 1";"40320";"Kotoriba";"Međimurska županija ";"040 682-038";"bernardalatin@gmail.com"
"Dječji vrtić ""Zvončić""";"Uska 16b";"40000";"Nedelišće";"Međimurska županija ";"040/821-801";"zvoncicvrtic@gmail.com"
"Dječji vrtić ""Kockavica""";"Andrije Habuša 29b";"40320";"Sveta Marija";"Međimurska županija ";"040/660-568";"vrtickockavica@gmail.com"
"Dječji vrtić ""Belica""";"Dr. Ljudevita Gaja 21a";"40000";"Belica";"Međimurska županija ";"040/845-040";"djecji.vrtic.belica@gmail.com"
"Dječji vrtić ""Maslačak""";"Ulica Slatine 2";"40315";"Mursko Središće";"Međimurska županija ";"040/343 064, 098/1814215";"maslacak@mursko-sredisce.hr"
"Dječji vrtić ""Klinčec""";"Krbulja 21a ";"40320";"Donja Dubrava";"Međimurska županija ";"040/688-202";"djecji.vrtic.donja.dubrava@ck.t-com.hr"
"Dječji vrtić ""Ftiček""";"Čakovečka 7/1";"40320";"Donji Kraljevec";"Međimurska županija ";"040/655-045";"djecji.vrtic.fticek@gmail.com"
"Dječji vrtić ""Vrapčić""";"Josipa Bedekovića 11";"40000";"Šenkovec";"Međimurska županija ";"040/343-770";"ravnatelj@dv-vrapcic.hr"
"Dječji vrtić ""Dječja mašta""";"France Prešerna 32";"40000";"Čakovec";"Međimurska županija ";"040/395-655, ";"dv.djecja.masta@gmail.com"
"Dječji vrtić ""Jelenko""";"Ul. Vladimira Nazora 4";"40000";"Domašinec";"Međimurska županija ";"040/863-061";"djvjelenko@email.t-com.hr"
"Dječji vrtić ""Loptica""";"Ulica Tina Ujevića 2";"40000";"Čakovec";"Međimurska županija ";"040/384-066";"djecji.vrtic.loptica@gmail.com"
"Dječji vrtić ""Ružica""";"Školska 14";"40320";"Goričan";"Međimurska županija ";"040/601-642,  098 -181 9674";"vrticruzica@hotmail.com"
"Dječji vrtić ""Žibeki""";"VINKA ŽGANCA 27";"40000";"Čakovec";"Međimurska županija ";"040/364-178";"djecji.vrtic.zibeki@ck.t-com.hr"
"Dječji vrtić ""Srčeko""";"Dr. V.Žganca 1";"40315";"Vratišinec";"Međimurska županija ";"040 866 270";"lisjak.isabela@gmail.com"
"Dječji vrtić ""Smješko""";"Dunajska 2";"40313";"Sveti Martin na Muri";"Međimurska županija ";"040/868-221";"lisjak.isabela@gmail.com, vrtic.smjesko@gmail.com"
"Dječji vrtić ""Ribica""";"Žabnička 42";"40313";"Sveti Martin na Muri";"Međimurska županija ";"040/868-236";"dv-ribica@net.hr"
"Program predškole pri OŠ dr. Ivana Novaka";"Glavna 32";"40000";"Macinec";"Međimurska županija ";"040/858-482";"pedagog@os-macinec.t-com.hr"
"Program predškole pri OŠ Orehovica";"Školska ulica 2";"40000";"Orehovica";"Međimurska županija ";"040/635 020";"ured@os-orehovica.skole.hr"
"Program predškole pri OŠ Vladimira Nazora";"Braće Radića 2/b";"40000";"Pribislavec";"Međimurska županija ";"040/360-870";"ured@os-vnazor-pribislavec.skole.hr"
"Program predškole pri OŠ Tomaša Goričanca";"Glavna 55";"40000";"Mala Subotica";"Međimurska županija ";"040/631-620";"ured@os-mala-subotica.skole.hr"
"Program predškole pri OŠ Kotoriba";"I. Svetomartinskog 1";"40320";"Kotoriba";"Međimurska županija ";"040/682-124";"os-kotoriba@ck.t-com.hr"
"Dječji vrtić ""Budućnost""";"Mihanovićeva 30/2";"10000";"Zagreb";"Grad Zagreb";"01/4856-713";"vrtic.buducnost@zagreb.hr  "
"Dječji vrtić ""Izvor""";"Prilaz Gjure Deželić";"10000";"Zagreb";"Grad Zagreb";"01/4846 - 062";"vrtic.izvor@zagreb.hr"
"Dječji vrtić ""Različak""";"Wellerov vrt 1 (bivša Petrinjska 31/2)";"10000";"Zagreb";"Grad Zagreb";"01/4873-283";"vrtic.razlicak@zagreb.hr"
"Dječji vrtić Tatjane Marinić";"Mihovila Pavlinovića";"10000";"Zagreb";"Grad Zagreb";"01/3760-133";"vrtic.tatjanemarinic@zagreb.hr"
"Dječji vrtić ""Kustošija""";"Ul.Stjepana Pasanca 5";"10000";"Zagreb";"Grad Zagreb";"01/3860-694,01/3860-695";"vrtic.kustosija@zagreb.hr"
"Dječji vrtić ""Krijesnice""";"Krajiška 7a";"10000";"Zagreb";"Grad Zagreb";"01/3777417";"vrtic.krijesnice@zagreb.hr"
"Dječji vrtić ""Petar Pan""";"Španovićeva 18";"10000";"Zagreb";"Grad Zagreb";"01/3750 330";"vrtic.petarpan@zagreb.hr"
"Dječji vrtić ""Šumska jagoda""";"Sveti Duh 75";"10000";"Zagreb";"Grad Zagreb";"01/3700-732";"vrtic.sumskajagoda@zagreb.hr"
"Dječji vrtić ""Ivana Brlić Mažuranić""";"Cerska 22";"10000";"Zagreb";"Grad Zagreb";"01/2910 519";"vrtic-ivanebrlicmazuranic@zagreb.hr"
"Dječji vrtić ""Jabuka""";"Resnički put 88";"10000";"Zagreb";"Grad Zagreb";"01/2995-312";"vrtic.jabuka@zagreb.hr"
"Dječji vrtić ""Kućica od licitra""";"Mutvoranska 2";"52100";"Pula";"Istarska županija ";"052/ 501 726";"dv.licitar@pu.t-com.hr"
"Dječji vrtić ""Kolibri""";"Ruščenica 19";"10000";"Zagreb";"Grad Zagreb";"01/ 2985-400";"vrtic-kolibri@zagreb.hr "
"Dječji vrtić ""Pčelica""";"Josipa Hamma 2";"10000";"Zagreb";"Grad Zagreb";"01/2990-506";"vrtic.pcelica@zagreb.hr"
"Dječji vrtić ""Poletarac""";"Vile Velebita 18";"10000";"Zagreb";"Grad Zagreb";"01/2857-772";"vrtic-poletarac@zagreb.hr"
"Dječji vrtić ""Sunce""";"III. Poljanice 2";"10000";"Zagreb";"Grad Zagreb";"01/2922-355";"vrtic.sunce@zagreb.hr"
"Dječji vrtić ""Bukovac""";"Trnac 67";"10000";"Zagreb";"Grad Zagreb";"01/2341-131";"ravnateljica@vrtic-bukovac.hr; vrtic-bukovac@zagreb.hr"
"DV ""Markuševec""";"Štefanovec 172";"10000";"Zagreb";"Grad Zagreb";"01/4574-793";"vrtic.markusevec@zagreb.hr"
"Dječji vrtić ""Maksimir""";"Al. Antuna Augustinč";"10000";"Zagreb";"Grad Zagreb";"01/2314-976";"vrtic.maksimir@zagreb.hr"
"Dječji vrtić ""Mali Princ""";"Laščinska 17";"10000";"Zagreb";"Grad Zagreb";"01/2431-460";"mprinc@vrtic-maliprinc.hr"
"Dječji vrtić ""Trnoružica""";"Rusanova 11";"10000";"Zagreb";"Grad Zagreb";"01/2312-524";"vrtic.trnoruzica@zagreb.hr"
"Dječji vrtić ""Medveščak""";"Voćarska 69";"10000";"Zagreb";"Grad Zagreb";"01/4616-247";"vrtic.medvescak@zagreb.hr"
"Dječji vrtić ""Vedri dani""";"Ulica Milana Makanca 11a";"10000";"Zagreb";"Grad Zagreb";"01/4650-350";"vrtic.vedridani@zagreb.hr"
"Dječji vrtić ""Vjeverica""";"Ksaverska cesta 14";"10000";"Zagreb";"Grad Zagreb";"01/4673-289";"vrtic.vjeverica@zagreb.hr"
"Dječji vrtić ""Hrvatski Leskovac""";"Potočna 9";"10257";"Hrvatski Leskovac";"Grad Zagreb";"01/6578-945, 6578-039";"vrtic.hrvatskileskovac@zagreb.hr"
"Dječji vrtić ""Remetinec""";"Lanište 1d";"10000";"Zagreb";"Grad Zagreb";"01/6594 420";"vrtic.remetinec@zagreb.hr"
"Dječji vrtić ""Siget""";"Siget 12";"10000";"Zagreb";"Grad Zagreb";"01/6521-121";"Vrtic.siget@zagreb.hr"
"Dječji vrtić ""Sopot""";"Viktora Kovačića 18c";"10000";"Zagreb";"Grad Zagreb";"01/6679-367";"vrtic.sopot@zagreb.hr"
"Dječji vrtić ""Tratinčica""";"Ul. sv. Mateja 131";"10000";"Zagreb";"Grad Zagreb";"01/6600-557";"vrtic.tratincica@zagreb.hr"
"Dječji vrtić ""Travno""";" Božidara Magovca 10";"10000";"Zagreb";"Grad Zagreb";"01/6601-164";"vrtic.travno@zagreb.hr"
"Dječji vrtić Trnsko";"Trnsko 19 ";"10000";"Zagreb";"Grad Zagreb";"01/6524-076";"vrtic.trnsko@zagreb.hr"
