"Šifra";"Naziv";"Županija";"Poštanski Broj";"Mjesto";"Adresa";"Tip Ustanove";"Osnivač";"Ravnatelj";"Telefon";"Faks";"e Pošta";"Web"
"05-031-502";"Srednja škola u Maruševcu s pravom javnosti";"Varaždinska županija";"42243";"Maruševec";"MARUŠEVEC 82";"Srednja škola";"Kršćanska adventistička crkva u Republici Hrvatskoj";;"042/729-310, 729-315, 042/729-308, 042/729-304, 042/729-303, 042/729312, 042/729319";"042/729-310, 729-315";"ss-marusevec@vz.t-com.hr, racunovodstvo@ss-marusevec.skole.hr, tajnistvo@ss-marusevec.skole.hr";"http://ss-marusevec.skole.hr/"
"06-023-502";"STRUKOVNA ŠKOLA ĐURĐEVAC";"Koprivničko-križevačka županija";"48350";"Đurđevac";"DR. IVANA KRANJČEVA 5";"Srednja škola";"Koprivničko-križevačka županija";"Darko  Špoljar";"048/811-419, 048/812-223";"048/812-367";"ured@ss-strukovna-djurdjevac.skole.hr, mirko.persinovic@skole.hr, melita.mujic@skole.hr, josip.patacko@skole.hr";""
"06-023-503";"GIMNAZIJA DR. IVANA KRANJČEVA ĐURĐEVAC";"Koprivničko-križevačka županija";"48350";"Đurđevac";"Dr. Ivana Kranjčeva 5";"Srednja škola";"Koprivničko-križevačka županija";"Nevenka  Lončar";"048/812-021, 048/812-021, 048-811-036, 048/812-021";"";"gimnik@gimnazija-ikranjceva-djurdjevac.skole.hr";"www.gimnazija-ikranjceva-djurdjevac.skole.hr"
"06-037-501";"GIMNAZIJA "" FRAN GALOVIĆ"" KOPRIVNICA";"Koprivničko-križevačka županija";"48000";"Koprivnica";"DR.ŽELJKA SELINGERA 3A";"Srednja škola";"Koprivničko-križevačka županija";"Vjekoslav  Robotić";"048/621-099, 048/279-801, 048/279-803";"048/279-817";"gimnazija-fran-galovic@kc.t-com.hr, ured@gimnazija-fgalovic-koprivnica.skole.hr";""
"06-037-502";"OBRTNIČKA ŠKOLA KOPRIVNICA";"Koprivničko-križevačka županija";"48000";"Koprivnica";"TRG SLOBODE 7";"Srednja škola";"Koprivničko-križevačka županija";"Zlatko  Martić";"048/621-083, 048/621-083, 048/621-083";"048/624-245";"ured@ss-obrtnicka-koprivnica.skole.hr";""
"06-037-503";"SREDNJA ŠKOLA KOPRIVNICA";"Koprivničko-križevačka županija";"48000";"Koprivnica";"TRG SLOBODE 7";"Srednja škola";"Koprivničko-križevačka županija";"Manuela  Gregurić";"048/621-088, 048/623-760";"048/623-760";"srednja.skola.koprivnica4@kc.t-com.hr, srednja.skola.koprivnica@kc.t-com.hr, ravnatelj@ss-koprivnica.skole.hr";""
"06-041-501";"GIMNAZIJA IVANA ZAKMARDIJA DIJANKOVEČKOGA KRIŽEVCI";"Koprivničko-križevačka županija";"48260";"Križevci";"Milislava Demerca 8";"Srednja škola";"Koprivničko-križevačka županija";"Zoran  Kovač";"048/682-612, 048/270-155, 098/382-802";"048/682-613";"ured@gimnazija-izdijankoveckoga-kc.skole.hr";""
"06-041-502";"SREDNJA ŠKOLA ""IVAN SELJANEC"" KRIŽEVCI";"Koprivničko-križevačka županija";"48260";"Križevci";"Trg svetog Florijana 14.b";"Srednja škola";"Koprivničko-križevačka županija";"Gordana  Juran-Ratković";"048/279-490; 279-491; 279-492; 279-498";"048/279-495";"ured@ss-iseljanec-kc.skole.hr, vlatko.valencak@skole.hr";"ss-iseljanec-kc.skole.hr"
"06-041-504";"SREDNJA GOSPODARSKA ŠKOLA KRIŽEVCI";"Koprivničko-križevačka županija";"48260";"Križevci";"MILISLAVA DEMERCA 1";"Srednja škola";"Koprivničko-križevačka županija";"Toni  Svoboda";"048/682-614, 048/681-247, 048/681-247, 048/712-019, 681-361, 682-689";"048/682-614";"\travnatelj@ss-gospodarska-kc.skole.hr, ured@ss-gospodarska-kc.skole.hr";"http:://www.ss-gospodarska-kc.skole.hr"
"07-004-502";"GIMNAZIJA BJELOVAR";"Bjelovarsko-bilogorska županija";"43000";"Bjelovar";"MATICE HRVATSKE 17";"Srednja škola";"Bjelovarsko-bilogorska županija";"Želimir  Vujić";"043/241-578, 043/241-578, 043/241-088, 043/220-945";"043/220-946";"ured@gimnazija-bjelovar.skole.hr, gimnazija-bjelovar@bj.t-com.hr";""
"07-004-503";"MEDICINSKA ŠKOLA BJELOVAR";"Bjelovarsko-bilogorska županija";"43000";"Bjelovar";"Poljana dr. Franje Tuđmana 8";"Srednja škola";"Bjelovarsko-bilogorska županija";"Biljana  Balenović";"043/277-080, 043/242-333, 043/277-083, 043/277-084, 043/277-082";"043/277-081";"msbj@ss-medicinska-bj.skole.hr";""
"07-004-504";"KOMERCIJALNA I TRGOVAČKA ŠKOLA BJELOVAR";"Bjelovarsko-bilogorska županija";"43000";"Bjelovar";"Poljana dr. Franje Tuđmana 9";"Srednja škola";"Bjelovarsko-bilogorska županija";"Nataša  Vibiral";"043/241-276, 043/241-920, 043/220-080, 243-998";"043/220-079";"tajnistvo@ss-trgovacka-bj.skole.hr, kts@ss-trgovacka-bj.skole.hr";""
"07-004-505";"EKONOMSKA I BIROTEHNIČKA ŠKOLA BJELOVAR";"Bjelovarsko-bilogorska županija";"43000";"Bjelovar";"Poljana dr. Franje Tuđmana 9";"Srednja škola";"Bjelovarsko-bilogorska županija";"Vojislav  Kranželić";"043/244-029, 043/277-026, 043/277-027, 043/277-028, 043/277-029, 043/277-030, 043/277-031, 043/277-032, ";"";"ured@ss-ekonomskaibirotehnicka-bj.skole.hr";""
"07-004-506";"TEHNIČKA ŠKOLA BJELOVAR";"Bjelovarsko-bilogorska županija";"43000";"Bjelovar";"DOKTORA ANTE STARČEVIĆA 24";"Srednja škola";"Bjelovarsko-bilogorska županija";"Ante  Šola";"043/244-721, 043/242-139, 043/244-004, 043/244-003";"043/244-721";"tsbj@ss-tehnicka-bj.skole.hr";"http://ss-tehnicka-bj.skole.hr/"
"07-004-507";"OBRTNIČKA ŠKOLA BJELOVAR";"Bjelovarsko-bilogorska županija";"43000";"Bjelovar";"Dr. Ante Starčevića 24";"Srednja škola";"Bjelovarsko-bilogorska županija";"Branko  Cvetković";"043/244-722, 043/244-722, 043/244-723";"043/244-722";"os@ss-obrtnicka-bj.skole.hr";""
"07-004-508";"TURISTIČKO-UGOSTITELJSKA I PREHRAMBENA ŠKOLA BJELOVAR";"Bjelovarsko-bilogorska županija";"43000";"Bjelovar";"Poljana dr. Franje Tuđmana 10";"Srednja škola";"Bjelovarsko-bilogorska županija";"Dalibor  Vukalović";"043/244-725, 043/221-160, 043/244-696, 241-228, 220-867";"043/244-725";"ured@ss-ugostiteljskaiprehrambena-bj.skole.hr";"www.tups-bj.hr"
"07-011-501";"SREDNJA ŠKOLA ČAZMA";"Bjelovarsko-bilogorska županija";"43240";"Čazma";"LIVADARSKA 30";"Srednja škola";"Bjelovarsko-bilogorska županija";"Željko  Kralj";"043/771-014, 043/771-939, 043/227-013, 043-227-014";"043/771-014";"ured@ss-cazma.skole.hr, ss.cazma@gmail.com";""
"07-012-501";"TEHNIČKA ŠKOLA DARUVAR";"Bjelovarsko-bilogorska županija";"43500";"Daruvar";"Ivana Gundulića 14";"Srednja škola";"Bjelovarsko-bilogorska županija";"Sanja  Klubička";"043/331-082, 043/331-082, 043/331-030, 043/331-094";"";"ravnatelj@tsd.hr, tsd@tsd.hr";"http://www.tsd.hr/"
"07-012-502";"GIMNAZIJA DARUVAR";"Bjelovarsko-bilogorska županija";"43500";"Daruvar";"IVANA GUNDULIĆA 14";"Srednja škola";"Bjelovarsko-bilogorska županija";"Romana  Herout";"043/331-982, 043/335-318";"043/333-829";"ured@gimnazija-daruvar.skole.hr, romana.bakaric@skole.hr";""
"07-012-503";"EKONOMSKA I TURISTIČKA ŠKOLA DARUVAR";"Bjelovarsko-bilogorska županija";"43500";"Daruvar";"IVANA GUNDULIĆA 14";"Srednja škola";"Bjelovarsko-bilogorska županija";"Dinka  Kavalir";"043/331-079, 043/331-079, 043/331-178, 043/331-079";"043/331-178";"etsda@etsda.hr";""
"07-024-501";"SREDNJA ŠKOLA ""AUGUST ŠENOA"" GAREŠNICA";"Bjelovarsko-bilogorska županija";"43280";"Garešnica";"KOLODVORSKA 6";"Srednja škola";"Bjelovarsko-bilogorska županija";"Ivanka  Opalički";"043/445-480, 043/445-483, 043/445-484, 043/445-481, 445-482";"043/531-157";"ssasenoa@ss-asenoa.hr";""
"07-028-501";"SREDNJA ŠKOLA BARTOLA KAŠIĆA GRUBIŠNO POLJE";"Bjelovarsko-bilogorska županija";"43290";"Grubišno Polje";"Bartola Kašića 1";"Srednja škola";"Bjelovarsko-bilogorska županija";"Ana  Ivšić";"043/485-040, 043/485-040, 043/448-038";"043/485-126";"ss-b.kasica1@bj.t-com.hr, ured@ss-bkasica-grubisnopolje.skole.hr";"ss-bkasica-grubisnopolje.skole.hr"
"08-008-501";"Srednja škola dr. Antuna Barca Crikvenica";"Primorsko-goranska županija";"51260";"Crikvenica";"ZIDARSKA 4";"Srednja škola";"Primorsko-goranska županija";"Arsen  Badurina";"051/241-202, 051/784-211, 091/241-20-20";"051/781-044";"abc@ss-abarca-crikvenica.skole.hr";"www.ss-abarca-crikvenica.skole.hr"
"08-009-501";"Srednja škola Vladimir Nazor";"Primorsko-goranska županija";"51306";"Čabar";"Narodnog oslobođenja 5";"Srednja škola";"Primorsko-goranska županija";"Kristijan  Rajšel";"051/821-017, 051/821-671";"051/821-034";"ured@ss-vnazor-cabar.skole.hr";""
"08-013-501";"SREDNJA ŠKOLA DELNICE";"Primorsko-goranska županija";"51300";"Delnice";"LUJZINSKA CESTA 42";"Srednja škola";"Primorsko-goranska županija";"Slađana  Srkoč";"051/812-203, 051/812-047; 812-203, 051/811-009";"051/812-203";"ured@ss-delnice.skole.hr";""
"08-042-501";"Srednja škola Hrvatski kralj Zvonimir";"Primorsko-goranska županija";"51500";"Krk";"Vinogradska 3";"Srednja škola";"Primorsko-goranska županija";"Đurđica  Cvitkušić";"051/221-400, 051/221-420";"051/867-320";"srednja-skola-krk@ri.t-com.hr, durdica.cvitkusic@skole.hr, racunovodstvo@ss-hrvatskikraljzvonimir-krk.skole.hr";""
"08-058-501";"UGOSTITELJSKA ŠKOLA OPATIJA";"Primorsko-goranska županija";"51410";"Opatija";"KUMIČIĆEVA 14";"Srednja škola";"Primorsko-goranska županija";"Sibila  Roth";"051/718-520, 051/603-140, 051/561-393, 051/561-390";"051/711-154";"uso@ss-ugostiteljska-opatija.skole.hr, ured@ss-ugostiteljska-opatija.skole.hr";"www.ss-ugostiteljska-opatija.skole.hr"
"08-058-502";"Gimnazija Eugena Kumičića Opatija";"Primorsko-goranska županija";"51410";"Opatija";"Drage Gervaisa 2";"Srednja škola";"Primorsko-goranska županija";"Oliver  Kvasina";"051/271-966, 051/272-602, 051/624-757";"051/271-966";"ured@gimnazija-ekumicica-opatija.skole.hr, gek.opatija@gimnazija-ekumicica-opatija.skole.hr";""
"08-058-503";"OBRTNIČKA ŠKOLA";"Primorsko-goranska županija";"51410";"Opatija";"BOŽE MILANOVIĆA 3";"Srednja škola";"Primorsko-goranska županija";"Loredana  Grdinić";"051/494816, 051/494813, 051/494812, 051/494815, 051/494811, 051/494814";"051/271-543";"ured@ss-obrtnicka-opatija.skole.hr";""
"08-058-504";"HOTELIJERSKO - TURISTIČKA ŠKOLA";"Primorsko-goranska županija";"51410";"Opatija";"Drage Gervaisa 2";"Srednja škola";"Primorsko-goranska županija";"Ksenija  Beljan";"+385 (51) 27 15 95, +385 (51) 60 32 16, +385 (51) 71 88 59";"+385 (51) 71 15 95";"hts@ss-hotelijersko-turisticka-opatija.skole.hr";"http://ss-hotelijersko-turisticka-opatija.skole.hr/"
"08-070-501";"Srednja škola Markantuna de Dominisa Rab";"Primorsko-goranska županija";"51280";"Rab";"BANJOL 11";"Srednja škola";"Primorsko-goranska županija";"Anka  Bišić";"051/725-954, 051/724-179, 051 724 941";"";"ssrab-ravnatelj@inet.hr, tajnistvo@ss-mddominisa-rab.skole.hr, srednjaskola-rab@inet.hr, margarita.cutul@skole.hr";""
"08-071-501";"Strojarska škola za industrijska i obrtnička zanimanja";"Primorsko-goranska županija";"51000";"Rijeka";"JOŽE VLAHOVIĆA 10";"Srednja škola";"Primorsko-goranska županija";"Gojko  Miletić";"051/343-145, 051/343-132, 051/301-001, 051/343-200, 051/645-941, 051/688-575, 051/343-333";"051/648-781";"ured@ss-strojarskazaiiozanimanja-ri.skole.hr";"http://www.ss-strojarskazaiiozanimanja-ri.skole.hr"
"08-071-502";"SREDNJA TALIJANSKA ŠKOLA - RIJEKA SCUOLA MEDIA SUPERIORE ITALIANA - FIUME";"Primorsko-goranska županija";"51000";"Rijeka";"ERAZMA BARČIĆA 6";"Srednja škola";"Primorsko-goranska županija";"Michele  Scalembra";"051/213-804, 051/330-210";"051/330-210";"sts-smsi@email.t-com.hr, ";""
"08-071-503";"Trgovačka i tekstilna škola u Rijeci";"Primorsko-goranska županija";"51000";"Rijeka";"STANE VONČINE 1A";"Srednja škola";"Primorsko-goranska županija";"Antonija  Bukša";"051/351-072, 051/351-071, 051/351-074, 051/351-075, 051/351-073, 051/351-076";"051/351-077";"trgovacka-i-tekstilna-skola@ri.t-com.hr";""
"08-071-504";"Srednja škola za elektrotehniku i računalstvo";"Primorsko-goranska županija";"51000";"Rijeka";"ZVONIMIROVA 12";"Srednja škola";"Primorsko-goranska županija";"Tomislav  Klarić";"051/678-910, 051/678-912, 051/678-911, 051/678-913";"051/678-920";"sser@ri.t-com.hr, ets-rijeka@ri.t-com.hr";"www.sser.hr"
"08-071-505";"EKONOMSKA ŠKOLA MIJE MIRKOVIĆA RIJEKA";"Primorsko-goranska županija";"51000";"Rijeka";"IVANA FILIPOVIĆA 2";"Srednja škola";"Primorsko-goranska županija";"Nataša  Jokić Nastasić";"051/213-890, 214-457, 051/211-411";"051/214-457";"ekmm@ss-ekonomska-mmirkovica-ri.skole.hr";"http://ss-ekonomska-mmirkovica-ri.skole.hr/skola"
"08-071-506";"PRVA RIJEČKA HRVATSKA GIMNAZIJA";"Primorsko-goranska županija";"51000";"Rijeka";"Frana Kurelca 1";"Srednja škola";"Primorsko-goranska županija";"Jane  Sclaunich";"051/215-596, 051/214-538, 051/ 215-596, 051/339-115";"051/214-538";"1.rihrgim@prhg.hr";""
"08-071-507";"PRIRODOSLOVNA I GRAFIČKA ŠKOLA RIJEKA";"Primorsko-goranska županija";"51000";"Rijeka";"VUKOVARSKA 58";"Srednja škola";"Primorsko-goranska županija";"Radenko  Bradić";"051/675-740, 051/675-740, 051/675-738, 051/675-732 ; 099 268 0668, 099 268 0669";"051/675-740";"pgsri@ss-prirodoslovna-graficka-ri.skole.hr";""
"08-071-508";"Građevinska tehnička škola";"Primorsko-goranska županija";"51000";"Rijeka";"PODHUMSKIH ŽRTAVA 4";"Srednja škola";"Primorsko-goranska županija";"Boris  Petrović";"051/373-031, 051/561-090, 051/561-091, 051/372-005";"051/371-075";"\tgts@ss-gradjevinska-tehnicka-ri.skole.hr";""
"08-071-509";"PRVA SUŠAČKA HRVATSKA GIMNAZIJA U RIJECI";"Primorsko-goranska županija";"51000";"Rijeka";"GAJEVA 1";"Srednja škola";"Primorsko-goranska županija";"Đudita  Franko";"051/217-724, 051/217-770, 051/216-306, 051/217-724, 051/217-770";"";"pshg@gimnazija-prva-susacka-ri.skole.hr";"http://www.pshg.net/"
"08-071-511";"GIMNAZIJA ANDRIJE MOHOROVIČIĆA RIJEKA";"Primorsko-goranska županija";"51000";"Rijeka";"FRANA KURELCA 1";"Srednja škola";"Primorsko-goranska županija";"Henry  Ponte";"051/338-195, 051/338-195,214-539";"051/338-195,213-747";"gim.moho@ri.t-com.hr, ured@gam.hr";"www.gam.hr"
"08-071-512";"STROJARSKO BRODOGRAĐEVNA ŠKOLA ZA INDUSTRIJSKA I OBRTNIČKA ZANIMANJA";"Primorsko-goranska županija";"51000";"Rijeka";"Jože Vlahovića 10";"Srednja škola";"Primorsko-goranska županija";"Evica  Kozera";"051/675-834, 051/675-834";"051/675-647";"tajnistvo@ss-strojarskobrodogradjevna-ri.skole.hr, racunov@ss-strojarskobrodogradjevna-ri.skole.hr";"www.ss-strojarskobrodogradjevna-ri.skole.hr"
"08-071-513";"Tehnička škola, Rijeka";"Primorsko-goranska županija";"51000";"Rijeka";"VUKOVARSKA 58";"Srednja škola";"Primorsko-goranska županija";"Serđo  Jadrić";"051/675-746, 675-739, 051/675-746";"051/675-746";"ts@ss-tehnicka-ri.skole.hr";"www.ss-tehnicka-ri.skole.hr"
"08-071-514";"Elektroindustrijska i obrtnička škola Rijeka";"Primorsko-goranska županija";"51000";"Rijeka";"Zvonimirova 12";"Srednja škola";"Primorsko-goranska županija";"Darko  Bašić";"051/678-931, 051/678-935, 051/678-930;    678-936;   678-938";"051/678-946";"eios@ss-elektroindustrijska-obrtnicka-ri.skole.hr, eios@eios.hr";""
"08-071-515";"GRADITELJSKA ŠKOLA ZA INDUSTRIJU I OBRT";"Primorsko-goranska županija";"51000";"Rijeka";"PODHUMSKIH ŽRTAVA 4";"Srednja škola";"Primorsko-goranska županija";"Marina  Fabrio";"051/372-032, 051/372-032, 051/372-011, 051/371-061, 051/371-626";"051/372-032";"ured@ss-graditeljska-industrijaiobrt-ri.skole.hr";"www.ss-graditeljska-industrijaiobrt-ri.skole.hr"
"08-071-516";"MEDICINSKA ŠKOLA U RIJECI";"Primorsko-goranska županija";"51000";"Rijeka";"Braće Branchetta 11a";"Srednja škola";"Primorsko-goranska županija";"Alen  Vukelić";"051/217-596, 051/217-712, 051/217-022";"051/563-817";"med-skola-rijeka@ri.t-com.hr";"http://www.ss-medicinska-ri.skole.hr"
"08-071-517";"PROMETNA ŠKOLA";"Primorsko-goranska županija";"51000";"Rijeka";"JOŽE VLAHOVIĆA 10";"Srednja škola";"Primorsko-goranska županija";"Branko  Luburić";"051/343-036, 343-037, 641-213, 051/343-038";"051/343-036";"prometna-ri@ri.t-com.hr, ured@ss-prometna-ri.skole.hr";"www.ss-prometna-ri.skole.hr"
"08-071-522";"SALEZIJANSKA KLASIČNA GIMNAZIJA - s pravom javnosti";"Primorsko-goranska županija";"51000";"Rijeka";"VUKOVARSKA 62";"Srednja škola";"Hrvatska salezijanska provincija";"Niko  Tunjić";"051/672-986, 051/563-650";"051/672-204";"skg@ri.t-com.hr, skg.ravnatelj@ri.t-com.hr, skg.tajnistvo@ri.t-com.hr, skg.racunovodstvo@ri.t-com.hr, skg.knjiznica@ri.t-com.hr";""
"08-071-524";"Škola za primijenjenu umjetnost u Rijeci";"Primorsko-goranska županija";"51000";"Rijeka";"ŠETALIŠTE XIII. DIVIZIJE 75";"Srednja škola, Umjetnička škola";"Primorsko-goranska županija";"Damir  Šegota";"051/431-545,  423-943, 051/400-272";"051/400-273";"ured@spur.hr, spur.rijeka@gmail.com";""
"08-071-528";"SREDNJA ŠKOLA ANDRIJE LJUDEVITA ADAMIĆA";"Primorsko-goranska županija";"51000";"Rijeka";"ŠETALIŠTE XIII. DIVIZIJE 68";"Srednja škola";"Denis Khermayer";"Denis  Khermayer";"051/436-502";"051/436-502";"ured@ss-aljadamica-ri.skole.h";"www.ss-adamic.com"
"08-095-501";"Željeznička tehnička škola Moravice";"Primorsko-goranska županija";"51325";"Moravice";"ŠKOLSKA 2A";"Srednja škola";"Primorsko-goranska županija";"Borivoj  Dokmanović";"051/877-118, 051/877-458, 051/877-118, 051877138";"051/877-523";"zts@zts-moravice.hr, zts.racunovodstvo@gmail.com, zts.tajnik@gmail.com, zts.ravnatelj@gmail.com";"http://www.zts-moravice.hr"
"08-275-501";"POMORSKA ŠKOLA";"Primorsko-goranska županija";"51222";"Bakar";"NAUTIČKA 14";"Srednja škola";"Primorsko-goranska županija";"Gordan  Papeš";"051/761-211,761-516, 051/761-211";"051/761-516";"info@pomorskabakar.hr";"www.pomorskabakar.hr"
"08-292-501";"SREDNJA ŠKOLA AMBROZA HARAČIĆA";"Primorsko-goranska županija";"51550";"Mali Lošinj";"OMLADINSKA 12";"Srednja škola";"Primorsko-goranska županija";"Jelena  Bralić";"051/231-101, 051/231-821, 051/233-387, 051/232-049";"051/231-821";"tajnistvo@ss-aharacica-malilosinj.skole.hr";""
"09-026-503";"STRUKOVNA ŠKOLA GOSPIĆ";"Ličko-senjska županija";"53000";"Gospić";"BUDAČKA 24";"Srednja škola";"Ličko-senjska županija";"Ivan  Orešković";"053/572-083, 053/573-287, 053/572-677, 573-236";"053/572-083";"ured@ss-strukovna-gospic.skole.hr";""
"09-026-504";"GIMNAZIJA GOSPIĆ";"Ličko-senjska županija";"53000";"Gospić";"BUDAČKA 24";"Srednja škola";"Ličko-senjska županija";"Milan  Štimac";"053/560-232, 053/572-001, 053/573-286";"053/573-288";"ured@gimnazija-gospic.skole.hr";""
"09-061-501";"SREDNJA ŠKOLA OTOČAC";"Ličko-senjska županija";"53220";"Otočac";"ĆIRILA I METODA 2";"Srednja škola";"Ličko-senjska županija";"Ivan  Vidmar";"053/771-133, 053/771-134, 053/773-315, 053/771-209, 053/617-727";"053/771-133";"ured@ss-otocac.skole.hr";""
"09-074-501";"SREDNJA ŠKOLA PAVLA RITTERA VITEZOVIĆA U SENJU";"Ličko-senjska županija";"53270";"Senj";"VJENCESLAVA NOVAKA 2";"Srednja škola";"Ličko-senjska županija";"Danijela  Vukelić";"053/881-011, 053/881-680";"053/881-680";"srednja.skola.p.r.vitezovica@gs.t-com.hr, ured@ss-prvitezovica-senj.skole.hr";""
"09-455-501";"Srednja škola Plitvička jezera";"Ličko-senjska županija";"53230";"Korenica";"Zagrebačka 2";"Srednja škola";"Ličko-senjska županija";"Šimo  Pavlović";"018000599, 018000599, 018000599";"018000599";"admin@ss-plitvickajezera.skole.hr, josipa.pavlovic8@skole.hr, ucenickidom@ss-plitvickajezera.skole.hr, ured@ss-plitvickajezera.skole.hr";"www.ss-plitvickajezera.hr"
"10-059-501";"SREDNJA ŠKOLA ""STJEPAN IVŠIĆ""";"Virovitičko-podravska županija";"33515";"Orahovica";"Trg Tina Ujevića 1";"Srednja škola";"Virovitičko-podravska županija";"Zorislav  Milković";"033/673-482, 033/400-249, 033/400-248";"033/400-248";"ravnatelj@ss-sivsic-orahovica.skole.hr";""
"10-089-501";"GIMNAZIJA PETRA PRERADOVIĆA";"Virovitičko-podravska županija";"33000";"Virovitica";"TRG BANA J. JELAČIĆA 16";"Srednja škola";"Virovitičko-podravska županija";"Jasminka  Viljevac";"033/722-711 i 033/726-982, 033/722-711 i 033/726-982";"033/722-711 i 033/726-982";"gimnazija-petar-preradovic1@vt.t-com.hr";"www.gimnazija-ppreradovica-vt.skole.hr"
"10-089-502";"TEHNIČKA ŠKOLA VIROVITICA";"Virovitičko-podravska županija";"33000";"Virovitica";"ZBORA NARODNE GARDE 29";"Srednja škola";"Virovitičko-podravska županija";"Ivan  Kućan";"033/800-957, 033/725-777";"033/725-274";"ured@ss-tehnicka-vt.skole.hr";""
"10-089-503";"INDUSTRIJSKO-OBRTNIČKA ŠKOLA VIROVITICA";"Virovitičko-podravska županija";"33000";"Virovitica";"Zbora narodne garde 29";"Srednja škola";"Virovitičko-podravska županija";"Vladimir  Reider";"033/ 800-233, 033/722-791, 033/800-234, 722- 792";"033/721-283";"ios.ravnatelj@ss-industrijskoobrtnicka-vt.skole.hr, ios.vtc@ss-industrijskoobrtnicka-vt.skole.hr";"www.ss-industrijskoobrtnicka-vt.skole.hr"
"10-089-504";"STRUKOVNA ŠKOLA VIROVITICA";"Virovitičko-podravska županija";"33000";"Virovitica";"Vukovarska cesta 1";"Srednja škola";"Virovitičko-podravska županija";"Pavica  Biondić-Ivanković";"033/722-939, 033/800-919";"033/726-394";"tajnistvo@ss-strukovna-vt.skole.hr, info@ssv.hr";"www.ssv.hr"
"10-317-501";"Srednja Škola Stjepana Sulimanca";"Virovitičko-podravska županija";"33405";"Pitomača";"Dravska 41";"Srednja škola";"Virovitičko-podravska županija";"Josip  Ivoš";"033/782-442, 033/801-571, 09 11 77 55 03, 09 11 77 55 02, 09 11 77 55 01, 09 11 77 55 00";"033/801-434";"ured@ss-stjepana-sulimanca.skole.hr, psiholog@ss-stjepana-sulimanca.skole.hr, racunovodstvo@ss-stjepana-sulimanca.skole.hr, tajnistvo@ss-stjepana-sulimanca.skole.hr, ravnatelj@ss-stjepana-sulimanca.skole.hr";"http://www.ss-stjepana-sulimanca.skole.hr"
"11-064-501";"Srednja škola Pakrac";"Požeško-slavonska županija";"34550";"Pakrac";"Bolnička 59";"Srednja škola";"Požeško-slavonska županija";"Dario  Čilić";"034/411-046, 034/440-001, 034/440-003";"034/440-008";"ravnatelj@ss-pakrac.skole.hr, vsmjene@ss-pakrac.skole.hr";"http://www.sspakrac.hr"
"11-077-501";"Gimnazija";"Požeško-slavonska županija";"34000";"Požega";"Dr.Franje Tuđmana 4/a";"Srednja škola";"Požeško-slavonska županija";;"034/316-751, 034/316-750, 034/316-750";"034/271-033";"tajnistvo@gimpoz.hr, ravnatelj@gimpoz.hr";""
"11-077-502";"Ekonomska škola, Požega";"Požeško-slavonska županija";"34000";"Požega";"OSJEČKA 33";"Srednja škola";"Požeško-slavonska županija";"Marinka  Parac";"034/273-717, 034/271-293";"034/273-717, 271-293";"ured@ss-ekonomska-pozega.skole.hr";""
"11-077-503";"POLJOPRIVREDNO-PREHRAMBENA ŠKOLA";"Požeško-slavonska županija";"34000";"Požega";"RATARNIČKA  3";"Srednja škola";"Požeško-slavonska županija";"Marija  Grgić";"034/274-324, 034/274-324";"034/271-754";"ured@ss-poljoprivrednoprehrambena-pozega.skole.hr";"ss-poljoprivrednoprehrambena-pozega.skole.hr"
"11-077-504";"TEHNIČKA ŠKOLA";"Požeško-slavonska županija";"34000";"Požega";"RATARNIČKA 1";"Srednja škola";"Požeško-slavonska županija";"Zoran  Galić";"034/271-379, 034/273-207";"034/273-207";"tehnicka-skola-pozega@po.t-com.hr";""
"11-077-505";"OBRTNIČKA ŠKOLA";"Požeško-slavonska županija";"34000";"Požega";"OSJEČKA 33";"Srednja škola";"Požeško-slavonska županija";"Iva  Šnajder";"034/273-292, 272-992, 034/271-140";"034/273-992, 034/271-140";"obrtnicka.skola@po.t-com.hr";"http://www.ss-obrtnicka-pozega.skole.hr"
"12-051-501";"GIMNAZIJA NOVA GRADIŠKA";"Brodsko-posavska županija";"35400";"Nova Gradiška";"TRG KRALJA TOMISLAVA 9";"Srednja škola";"Brodsko-posavska županija";"Ljiljana  Ptačnik";"035/361-427, 035/361-427, 035/363-010";"";"ured@gimnazija-nova-gradiska.skole.hr";""
"12-051-502";"INDUSTRIJSKO OBRTNIČKA ŠKOLA";"Brodsko-posavska županija";"35400";"Nova Gradiška";"Ljudevita  Gaja  bb";"Srednja škola";"Brodsko-posavska županija";"Mijo  Matošević";"035/362-696, 035/362-695, 035/362-777";"035/362-696";"skola@iosng.hr";"www.iosng.hr"
"12-051-503";"Elektrotehnička i Ekonomska škola";"Brodsko-posavska županija";"35400";"Nova Gradiška";"LJudevita Gaja 24";"Srednja škola";"Brodsko-posavska županija";"Sanja  Müller-Zoričić";"035/362-145, 035/362-145, 035/362-575";"035/362-145";"etes@ees.hr";""
"12-078-501";"SREDNJA ŠKOLA MATIJE ANTUNA RELJKOVIĆA SLAVONSKI BROD";"Brodsko-posavska županija";"35000";"Slavonski Brod";"IVANA CANKARA 76";"Srednja škola";"Brodsko-posavska županija";;"035/255-697, 035/255-697, 035/415-386, 035/416-296";"035/402-981";"ured@ss-mareljkovica-sb.skole.hr";""
