naziv;opis;sifra;podsifra;zupanija;mjesto;e_mail;web;url
Osnovna škola Jasenovac;Osnovna škola;03-193-001;0-0;Sisačko-moslavačka;44324  Jasenovac;os-jasenovac@os-jasenovac.skole.hr;www.os-jasenovac.skole.hr;www.os-jasenovac.skole.hr
OSNOVNA ŠKOLA JABUKOVAC;Osnovna škola;03-194-001;0-0;Sisačko-moslavačka;44250  Petrinja;jadranka.novak3@skole.hr , jadranka.novak3@skole.hr;http://www.os-jabukovac.skole.hr/;http://www.os-jabukovac.skole.hr/
OSNOVNA ŠKOLA POPOVAČA;Osnovna škola;03-195-001;0-0;Sisačko-moslavačka;44317  Popovača;ured@os-popovaca.skole.hr , ured@os-popovaca.hr;www.os-popovaca.skole.hr;www.os-popovaca.skole.hr
Osnovna škola Zorke Sever;Osnovna škola;03-195-002;0-0;Sisačko-moslavačka;44317  Popovača;ured@os-zorke-sever.skole.hr;os-zorke-sever.skole.hr;os-zorke-sever.skole.hr
OSNOVNA ŠKOLA LUDINA;Osnovna škola;03-196-001;0-0;Sisačko-moslavačka;44316  Velika Ludina;ured@os-ludina.skole.hr;NA;www.os-ludina.skole.hr
OSNOVNA ŠKOLA SUNJA;Osnovna škola;03-197-001;0-0;Sisačko-moslavačka;44210  Sunja;os-sunja-001@os-sunja.skole.hr;os-sunja.skole.hr;os-sunja.skole.hr
Osnovna škola Vladimir Nazor Topusko;Osnovna škola;03-202-001;0-0;Sisačko-moslavačka;44415  Topusko;ured@os-vnazor-topusko.skole.hr; http://os-vnazor-topusko.skole.hr/  ; http://os-vnazor-topusko.skole.hr/  
Osnovna škola Katarina Zrinska Mečenčani;Osnovna škola;03-204-001;0-0;Sisačko-moslavačka;44430  Hrvatska Kostajnica;ured@os-kzrinska-mecencani.skole.hr;www.os-kzrinska-mecencani.skole.hr;www.os-kzrinska-mecencani.skole.hr
Osnovna škola Ivo Kozarčanin;Osnovna škola;03-206-001;0-0;Sisačko-moslavačka;44450  Hrvatska Dubica;ured@os-ikozarcanin-hrvatskadubica.skole.hr	 	;www.os-ikozarcanin-hrvatskadubica.skole.hr ;www.os-ikozarcanin-hrvatskadubica.skole.hr 
"OSNOVNA ŠKOLA ""VLADIMIR NAZOR""";Osnovna škola;04-019-001;0-0;Karlovačka;47250  Duga Resa;ured@os-vnazor-dugaresa.skole.hr;NA;www.os-vnazor-dugaresa.skole.hr
"OSNOVNA ŠKOLA ""IVAN GORAN KOVAČIĆ""";Osnovna škola;04-019-002;0-0;Karlovačka;47250  Duga Resa;ured@os-igkovacic-dugaresa.skole.hr;http://os-igkovacic-dugaresa.skole.hr/;http://os-igkovacic-dugaresa.skole.hr/
OSNOVNA ŠKOLA BANIJA;Osnovna škola;04-034-001;0-0;Karlovačka;47000  Karlovac;os-banija@os-banija-ka.skole.hr;NA;www.os-banija-ka.skole.hr
OSNOVNA ŠKOLA REČICA;Osnovna škola;04-034-002;0-0;Karlovačka;47000  Karlovac;ured@os-recica.skole.hr;www.os-recica.skole.hr;www.os-recica.skole.hr
OSNOVNA ŠKOLA ŠVARČA;Osnovna škola;04-034-003;0-0;Karlovačka;47000  Karlovac;svarca@os-svarca-ka.skole.hr;www.os-svarca-ka.skole.hr;www.os-svarca-ka.skole.hr
OSNOVNA ŠKOLA GRABRIK;Osnovna škola;04-034-005;0-0;Karlovačka;47000  Karlovac;grabrik@os-grabrik-ka.skole.hr;www.os-grabrik.hr;www.os-grabrik.hr
OSNOVNA ŠKOLA DUBOVAC;Osnovna škola;04-034-006;0-0;Karlovačka;47000  Karlovac;tajnistvo@os-dubovac-ka.skole.hr;NA;www.os-dubovac-ka.skole.hr
OSNOVNA ŠKOLA TURANJ;Osnovna škola;04-034-007;0-0;Karlovačka;47000  Karlovac;snjezana.zunac@skole.hr , ured@os-turanj-ka.skole.hr  , pedagog@os-turanj-ka.skole.hr;www.os-turanj.weebly.com;www.os-turanj.weebly.com
OSNOVNA ŠKOLA MAHIČNO;Osnovna škola;04-034-008;0-0;Karlovačka;47000  Karlovac;ured@os-mahicno.skole.hr;NA;www.os-mahicno.skole.hr
OSNOVNA ŠKOLA DRAGOJLE JARNEVIĆ;Osnovna škola;04-034-009;0-0;Karlovačka;47000  Karlovac;ured@os-djarnevic-ka.skole.hr;http://os-djarnevic-ka.skole.hr/;http://os-djarnevic-ka.skole.hr/
CENTAR ZA ODGOJ I OBRAZOVANJE DJECE I MLADEŽI;Osnovna škola, Posebna ustanova odgoja i obrazovanja, Srednja škola;04-034-010;0-0;Karlovačka;47000  Karlovac;coodm@centar-odgojiobrazovanje-djeceimladezi-ka.skole.hr;centar-odgojiobrazovanje-djeceimladezi-ka.skole.hr;centar-odgojiobrazovanje-djeceimladezi-ka.skole.hr
"OSNOVNA ŠKOLA ""BRAĆA SELJAN""";Osnovna škola;04-034-013;0-0;Karlovačka;47000  Karlovac;ured@os-braca-seljan-ka.skole.hr;www.os-braca-seljan-ka.skole.hr;www.os-braca-seljan-ka.skole.hr
"OSNOVNA ŠKOLA ""SKAKAVAC""";Osnovna škola;04-034-014;0-0;Karlovačka;47212  Skakavac;racunovodstvo.oskakavac@gmail.com , ured@os-skakavac.skole.hr ;NA;www.os-skakavac.skole.hr
PRVA OSNOVNA ŠKOLA;Osnovna škola;04-056-001;0-0;Karlovačka;47300  Ogulin;tajnistvo@os-prva-ogulin.skole.hr;os-prva-ogulin.skole.hr;os-prva-ogulin.skole.hr
Osnovna škola Ivane Brlić - Mažuranić Ogulin;Osnovna škola, Umjetnička škola;04-056-002;0-0;Karlovačka;47300  Ogulin;ured@os-ibmazuranic-ogulin.skole.hr;NA;www.os-ibmazuranic-ogulin.skole.hr
"OSNOVNA ŠKOLA ""SLAVA RAŠKAJ""";Osnovna škola;04-062-001;0-0;Karlovačka;47280  Ozalj;ured@os-slava-raskaj-ozalj.skole.hr , tajnistvo@os-slava-raskaj-ozalj.skole.hr;http://os-slava-raskaj-ozalj.skole.hr/;http://os-slava-raskaj-ozalj.skole.hr/
OSNOVNA ŠKOLA SLUNJ;Osnovna škola;04-079-001;0-0;Karlovačka;47240  Slunj;ured@os-slunj.skole.hr;http://os-slunj.skole.hr/;http://os-slunj.skole.hr/
Osnovna škola Vojnić;Osnovna škola;04-091-001;0-0;Karlovačka;47220  Vojnić;skola@os-vojnic.skole.hr;NA;www.os-vojnic.skole.hr
OSNOVNA ŠKOLA ˝ANTUN KLASINC˝ LASINJA;Osnovna škola;04-201-001;0-0;Karlovačka;47206  Lasinja;ured@osakl.hr;NA;www.osakl.hr
OSNOVNA ŠKOLA BARILOVIĆ;Osnovna škola;04-209-001;0-0;Karlovačka;47252  Barilović;ured@os-barilovic.skole.hr;www.os-barilovic.skole.hr;www.os-barilovic.skole.hr
OSNOVNA ŠKOLA CETINGRAD;Osnovna škola;04-210-001;0-0;Karlovačka;47222  Cetingrad;ured@os-cetingrad.skole.hr;os-cetingrad.skole.hr;os-cetingrad.skole.hr
OSNOVNA ŠKOLA DRAGANIĆI;Osnovna škola;04-211-001;0-0;Karlovačka;47201  Draganić;ured@os-draganici.skole.hr;NA;www.os-draganici.skole.hr
OSNOVNA ŠKOLA GENERALSKI STOL;Osnovna škola;04-212-001;0-0;Karlovačka;47262  Generalski Stol;dijana.zadrovic@skole.hr , skola@os-generalski-stol.skole.hr ;www.os-generalski-stol.hr;www.os-generalski-stol.hr
OSNOVNA ŠKOLA KATARINE ZRINSKI;Osnovna škola;04-213-001;0-0;Karlovačka;47242  Krnjak;ured@os-kzrinski-krnjak.skole.hr;NA;www.os-kzrinski-krnjak.skole.hr
OSNOVNA ŠKOLA NETRETIĆ;Osnovna škola;04-214-001;0-0;Karlovačka;47271  Netretić;ured@os-netretic.skole.hr;NA;www.os-netretic.skole.hr
"OSNOVNA ŠKOLA ""JOSIPDOL""";Osnovna škola;04-216-001;0-0;Karlovačka;47303  Josipdol;ured@os-josipdol.skole.hr;os-josipdol.skole.hr ;os-josipdol.skole.hr 
OSNOVNA ŠKOLA PLAŠKI;Osnovna škola;04-217-001;0-0;Karlovačka;47304  Plaški;ured@os-plaski.skole.hr;os-plaski.skole.hr;os-plaski.skole.hr
OSNOVNA ŠKOLA EUGENA KVATERNIKA;Osnovna škola;04-219-001;0-0;Karlovačka;47245  Rakovica;vera.ljubanovic-grdic@skole.hr , valentina.kraljicek@skole.hr , os-rakovica@os-ekvaternika-rakovica.skole.hr;http://os-ekvaternika-rakovica.skole.hr/;http://os-ekvaternika-rakovica.skole.hr/
OSNOVNA ŠKOLA ŽAKANJE;Osnovna škola;04-221-001;0-0;Karlovačka;47276  Žakanje;ured@os-zakanje.skole.hr;www/os-zakanje.hr;www/os-zakanje.hr
Osnovna škola Ivana Kukuljevića Sakcinskog;Osnovna škola;05-031-001;0-0;Varaždinska;42240  Ivanec;os-ivanec@os-iksakcinskog-ivanec.skole.hr ;http://os-iksakcinskog-ivanec.skole.hr/;http://os-iksakcinskog-ivanec.skole.hr/
Osnovna škola Metel Ožegović;Osnovna škola;05-031-004;0-0;Varaždinska;42242  Radovan;ured@os-metel-ozegovic-radovan.skole.hr;www.os-metel-ozegovic-radovan.skole.hr;www.os-metel-ozegovic-radovan.skole.hr
Osnovna škola Ludbreg;Osnovna škola, Umjetnička škola;05-046-001;0-0;Varaždinska;42230  Ludbreg;os-ludbreg@osl.hr , ured@os-ludbreg.skole.hr ;NA;www.osl.hr
Osnovna škola Novi Marof;Osnovna škola, Umjetnička škola;05-053-001;0-0;Varaždinska;42220  Novi Marof;branka.novak1@skole.hr , andelko.bosnjak@skole.hr , os.novimarof@skole.hr ;NA;https://os-novi-marof.skole.hr/
"Osnovna škola ""Podrute""";Osnovna škola;05-053-002;0-0;Varaždinska;42220  Donje Makojišće;ravnatelj@os-podrute-donje-makoisce.skole.hr;http://www.os-podrute-donje-makoisce.skole.hr/;http://www.os-podrute-donje-makoisce.skole.hr/
I. OSNOVNA ŠKOLA VARAŽDIN;Osnovna škola;05-086-001;0-0;Varaždinska;42000  Varaždin;ured@os-prva-vz.skole.hr;http://os-prva-vz.skole.hr/;http://os-prva-vz.skole.hr/
II. osnovna škola Varaždin;Osnovna škola;05-086-002;0-0;Varaždinska;42000  Varaždin;drugaos-vz@os-druga-vz.skole.hr , ravnatelj@os-druga-vz.skole.hr;NA;www.os-druga-vz.skole.hr
III. OSNOVNA ŠKOLA VARAŽDIN;Osnovna škola;05-086-003;0-0;Varaždinska;42000  Varaždin;ravnateljica@os-treca-vz.skole.hr    , tajnistvo@os-treca-vz.skole.hr    , racunovodstvo@os-treca-vz.skole.hr  , knjiznica@os-treca-vz.skole.hr    , ured@os-treca-vz.skole.hr ;http://os-treca-vz.skole.hr/;http://os-treca-vz.skole.hr/
IV. osnovna škola Varaždin;Osnovna škola;05-086-004;0-0;Varaždinska;42000  Varaždin;ured@os-cetvrta-vz.skole.hr , jasmina.dvorski@skole.hr;http://os-cetvrta.skole.hr/;http://os-cetvrta.skole.hr/
V. osnovna škola Varaždin;Osnovna škola;05-086-005;0-0;Varaždinska;42000  Varaždin;peta@os-peta-vz.skole.hr;NA;www.os-peta-vz.skole.hr
VI. osnovna škola Varaždin;Osnovna škola;05-086-006;0-0;Varaždinska;42000  Varaždin;ured@os-sesta-vz.skole.hr;http://www.os-sesta-vz.skole.hr/;http://www.os-sesta-vz.skole.hr/
Centar za odgoj i obrazovanje Tomislav Špoljar;Osnovna škola, Posebna ustanova odgoja i obrazovanja, Srednja škola;05-086-007;0-0;Varaždinska;42000  Varaždin;info@centar-tspoljar-vz.skole.hr , info@centar-tspoljar-vz.skole.hr;NA;https://centar-tomislavspoljar.hr/
VII. osnovna  škola  Varaždin;Osnovna škola;05-086-008;0-0;Varaždinska;42000  Varaždin;ured@os-sedma-vz.skole.hr;os-sedma-vz.skole.hr;os-sedma-vz.skole.hr
Katolička osnovna škola Svete Uršule;Osnovna škola;05-086-010;0-0;Varaždinska;42000  Varaždin;ured@os-svete-ursule.skole.hr;www.os-svete-ursule.skole.hr;www.os-svete-ursule.skole.hr
Osnovna škola Cestica;Osnovna škola;05-222-001;0-0;Varaždinska;42208  Cestica;ravnateljica@os-cestica.hr , racunovodstvo@os-cestica.hr , pedagog@os-cestica.hr , zbornica@os-cestica.hr , knjiznica@os-cestica.hr , ured@os-cestica.skole.hr , tajnistvo@os-cestica.hr , skola@os-cestica.hr;http://os-cestica.skole.hr/;http://os-cestica.skole.hr/
Osnovna škola Kneginec Gornji;Osnovna škola;05-223-001;0-0;Varaždinska;42204  Gornji Kneginec;miljenko.rozmaric@skole.hr , ured@os-gornji-kneginec.skole.hr ;NA;www.os-gornji-kneginec.skole.hr
"Osnovna škola ""Petar Zrinski"" Jalžabet";Osnovna škola;05-224-001;0-0;Varaždinska;42203  Jalžabet;ured@os-pzrinski-jalzabet.skole.hr;http://os-pzrinski-jalzabet.skole.hr/;http://os-pzrinski-jalzabet.skole.hr/
Osnovna škola Vidovec;Osnovna škola;05-225-001;0-0;Varaždinska;42205  Vidovec;vidovec@os-vidovec.skole.hr;os-vidovec.skole.hr;os-vidovec.skole.hr
Osnovna škola Petrijanec;Osnovna škola;05-226-001;0-0;Varaždinska;42206  Petrijanec;os-petrijanec@os-petrijanec.skole.hr;http://os-petrijanec.skole.hr/;http://os-petrijanec.skole.hr/
Osnovna škola Vladimir Nazor;Osnovna škola;05-227-001;0-0;Varaždinska;42214  Sveti Ilija;skola@os-vnazor-svetiilija.skole.hr;NA;www.os-vnazor-svetiilija.skole.hr
Osnovna škola Beletinec;Osnovna škola;05-227-002;0-0;Varaždinska;42214  Beletinec;tajnistvo@os-beletinec.skole.hr;www.os-beletinec.skole.hr;www.os-beletinec.skole.hr
Osnovna škola Trnovec;Osnovna škola;05-229-001;0-0;Varaždinska;42202  Trnovec;os.trnovec@skole.hr , ostrnovec@ostrnovec.hr;NA;www.ostrnovec.hr
Osnovna škola Šemovec;Osnovna škola;05-229-002;0-0;Varaždinska;42202  Šemovec;racunovodstvo@os-semovec.hr , ravnateljica@os-semovec.hr , tajnistvo@os-semovec.hr  , skola@os-semovec.hr;http://os-semovec.skole.hr , os-semovec.skole.hr/skola;http://os-semovec.skole.hr , os-semovec.skole.hr/skola
Osnovna škola Vinica;Osnovna škola;05-230-001;0-0;Varaždinska;42207  Vinica;os-vinica@os-vinica.skole.hr;http://os-vinica.skole.hr/;http://os-vinica.skole.hr/
Osnovna škola Sračinec;Osnovna škola;05-231-001;0-0;Varaždinska;42209  Sračinec;lidija.valec@ossracinec.hr , ljiljanka.skomrak@ossracinec.hr , skola@ossracinec.hr ;http://os-sracinec.skole.hr;http://os-sracinec.skole.hr
Osnovna škola Franje Serta Bednja;Osnovna škola;05-232-001;0-0;Varaždinska;42253  Bednja;admin@os-fserta-bednja.skole.hr , ured@os-fserta-bednja.skole.hr;http://os-fserta-bednja.skole.hr/;http://os-fserta-bednja.skole.hr/
Osnovna škola Gustav Krklec Maruševec;Osnovna škola;05-233-001;0-0;Varaždinska;42243  Maruševec;ured@os-gkrklec-calinec.skole.hr;NA;www.os-gkrklec-calinec.skole.hr
Osnovna škola grofa Janka Draškovića;Osnovna škola;05-234-001;0-0;Varaždinska;42244  Klenovnik;ured@os-grofa-jdraskovica-klenovnik.skole.hr;www:http://skole.htnet.hr/os-klenovnik-001/skola;www:http://skole.htnet.hr/os-klenovnik-001/skola
Osnovna škola Andrije Kačića Miošića;Osnovna škola;05-235-001;0-0;Varaždinska;42245  Donja Voća;ured@os-akmiosica-donja-voca.skole.hr;NA;www.os-akmiosica-donja-voca.skole.hr
Osnovna škola Ante Starčevića;Osnovna škola;05-236-001;0-0;Varaždinska;42250  Lepoglava;ratko.tomic1@gmail.com , tajnistvo@os-astarcevica-lepoglava.skole.hr;NA;www.os-astarcevica-lepoglava.skole.hr
Osnovna škola Ivana Rangera, Kamenica;Osnovna škola;05-236-002;0-0;Varaždinska;42250  Kamenica;ured@os-irangera-kamenica.skole.hr;http://www.os-kamenica.com;http://www.os-kamenica.com
Osnovna škola Izidora Poljaka, Višnjica;Osnovna škola;05-236-003;0-0;Varaždinska;42250  Lepoglava;ured@os-ipoljaka-visnjica.skole.hr;http://os-ipoljaka-visnjica.skole.hr;http://os-ipoljaka-visnjica.skole.hr
Osnovna škola Martijanec;Osnovna škola;05-237-001;0-0;Varaždinska;42232  Martijanec;ured@os-martijanec.skole.hr;www.os-martijanec.skole.hr;www.os-martijanec.skole.hr
Osnovna škola Sveti Đurđ;Osnovna škola;05-238-001;0-0;Varaždinska;42233  Sveti Đurđ;mirela.vukoja@skole.hr , ured@os-sveti-djurdj.skole.hr;http://os-sveti-djurdj.skole.hr;http://os-sveti-djurdj.skole.hr
Osnovna škola Veliki Bukovec;Osnovna škola;05-239-001;0-0;Varaždinska;42231  Veliki Bukovec;ured@os-bukovec.hr;NA;www.os-bukovec.hr
Osnovna škola Antuna i Ivana Kukuljevića;Osnovna škola;05-240-001;0-0;Varaždinska;42223  Varaždinske Toplice;skola@os-aiikukuljevica-varazdinske-toplice.skole.hr;os-aiikukuljevica-varazdinske-toplice.skole.hr;os-aiikukuljevica-varazdinske-toplice.skole.hr
Osnovna škola Svibovec;Osnovna škola;05-240-002;0-0;Varaždinska;42223  Svibovec;tajnistvo@os-svibovec.skole.hr , ravnateljica@os-svibovec.skole.hr;NA;www.os-svibovec.skole.hr
Osnovna škola Breznički Hum;Osnovna škola;05-241-001;0-0;Varaždinska;42225  Breznički Hum;ured@os-breznicki-hum.skole.hr;NA;www.os-breznicki-hum.skole.hr
Osnovna škola Ljubešćica;Osnovna škola;05-242-001;0-0;Varaždinska;42222  Ljubešćica;ured@os-ljubescica.skole.hr , skola@os-ljubescica.hr;www.os-ljubescica.skole.hr;www.os-ljubescica.skole.hr
Osnovna škola Bisag;Osnovna škola;05-243-001;0-0;Varaždinska;42226  Bisag;os-bisag@os-bisag.skole.hr , os-bisag@os-bisag.skole.hr;NA;www.os-bisag.skole.hr
Osnovna škola Visoko;Osnovna škola;05-244-001;0-0;Varaždinska;42224  Visoko;tajnistvo@os-visoko.skole.hr , pedagog@os-visoko.skole.hr , knjiznica@os-visoko.skole.hr , skola@os-visoko.skole.hr ;https://osvisoko.hr;https://osvisoko.hr
Osnovna škola Tužno;Osnovna škola;05-484-001;0-0;Varaždinska;42242  Tužno;skola@os-tuzno.skole.hr;www:os-tuzno.skole.hr;www:os-tuzno.skole.hr
OSNOVNA ŠKOLA ĐURĐEVAC;Osnovna škola;06-023-001;0-0;Koprivničko-križevačka;48350  Đurđevac;ured@os-djurdjevac.skole.hr;http://os-djurdjevac.skole.hr/;http://os-djurdjevac.skole.hr/
OSNOVNA ŠKOLA ANTUN NEMČIĆ GOSTOVINSKI;Osnovna škola;06-037-001;0-0;Koprivničko-križevačka;48000  Koprivnica;ang@os-angostovinski-kc.skole.hr , osang-kc@kc.t-com.hr;NA;www.os-angostovinski-kc.skole.hr
"OSNOVNA ŠKOLA ""Braća Radić""";Osnovna škola;06-037-002;0-0;Koprivničko-križevačka;48000  Koprivnica;anita.brkovic@skole.hr , andreja.ersetic@skole.hr , ljubinka.jug@skole.hr , jadranka.bosanac@skole.hr , dunja.mlinjaric@skole.hr , vesna.auer-gregor@skole.hr , kreso.grgac@skole.hr  , adrijana.hatadi@skole.hr ,  ured@os-braca-radic-koprivnica.skole.hr;NA;www.os-braca-radic-koprivnica.skole.hr
"OSNOVNA ŠKOLA ""ĐURO ESTER""";Osnovna škola;06-037-003;0-0;Koprivničko-križevačka;48000  Koprivnica;sanja.prelogovic@skole.hr , marina.kozjak@skole.hr , ured@os-gjuro-ester-koprivnica.skole.hr ;www.os-gjuro-ester-koprivnica.skole.hr;www.os-gjuro-ester-koprivnica.skole.hr
CENTAR ZA ODGOJ, OBRAZOVANJE I REHABILITACIJU PODRAVSKO SUNCE;Osnovna škola;06-037-004;0-0;Koprivničko-križevačka;48000  Koprivnica;ravnatelj@centar-podravskosunce-koprivnica.skole.hr , ured@centar-podravskosunce-koprivnica.skole.hr;www.podravsko-sunce.hr;www.podravsko-sunce.hr
Osnovna škola Koprivnički Ivanec;Osnovna škola;06-038-001;0-0;Koprivničko-križevačka;48311  Kunovec;ured@os-koprivnicki-ivanec.skole.hr;www.os-koprivnicki-ivanec.skole.hr;www.os-koprivnicki-ivanec.skole.hr
OSNOVNA ŠKOLA LJUDEVITA MODECA KRIŽEVCI;Osnovna škola;06-041-001;0-0;Koprivničko-križevačka;48260  Križevci;krizevci@os-ljmodeca-kc.skole.hr;os-ljmodeca-kc.skole.hr;os-ljmodeca-kc.skole.hr
"OSNOVNA ŠKOLA ""VLADIMIR NAZOR"" KRIŽEVCI";Osnovna škola;06-041-002;0-0;Koprivničko-križevačka;48260  Križevci;ravnatelj@os-vnazor-kc.skole.hr , tatjana.strabic@skole.hr , ljiljana.kopjar@skole.hr , gordana.loncaric@skole.hr , petra.kamenaric@skole.hr , andrea.katanovic-babic@skole.hr , tajnistvo@os-vnazor-kc.skole.hr ;NA;www.os-vnazor-kc.skole.hr
CENTAR ZA ODGOJ, OBRAZOVANJE I REHABILITACIJU KRIŽEVCI;Osnovna škola;06-041-004;0-0;Koprivničko-križevačka;48260  Križevci;ured@centar-odgoj-obrazovanjeirehabilitacija-kc.skole.hr  , ccokrizevci@net.hr;http://www.centar-odgoj-obrazovanjeirehabilitacija-kc.skole.hr/;http://www.centar-odgoj-obrazovanjeirehabilitacija-kc.skole.hr/
OSNOVNA ŠKOLA KOPRIVNIČKI BREGI;Osnovna škola;06-150-001;0-0;Koprivničko-križevačka;48324  Koprivnički Bregi;ured@os-koprivnicki-bregi.skole.hr;www.os-koprivnicki-bregi.skole.hr;www.os-koprivnicki-bregi.skole.hr
OSNOVNA ŠKOLA FRAN KONCELAK DRNJE;Osnovna škola;06-247-001;0-0;Koprivničko-križevačka;48316  Drnje;ured@os-fkoncelak-drnje.skole.hr;http://os-fkoncelak-drnje.skole.hr;http://os-fkoncelak-drnje.skole.hr
OSNOVNA ŠKOLA GOLA;Osnovna škola;06-248-001;0-0;Koprivničko-križevačka;48331  Gola;ured@os-gola.skole.hr;NA;www.os-gola.skole.hr
OSNOVNA ŠKOLA LEGRAD;Osnovna škola;06-249-001;0-0;Koprivničko-križevačka;48317  Legrad;ured@os-legrad.skole.hr;http://os-legrad.skole.hr;http://os-legrad.skole.hr
OSNOVNA ŠKOLA MIHOVIL PAVLEK MIŠKINA ĐELEKOVEC;Osnovna škola;06-250-001;0-0;Koprivničko-križevačka;48316  Đelekovec;ravnatelj@os-mpavlek-miskina-djelekovec.skole.hr;NA;www.os-mpavlek-miskina-djelekovec.skole.hr
"OSNOVNA ŠKOLA ""PROF.BLAŽ MAĐER"", Novigrad Podravski";Osnovna škola;06-251-001;0-0;Koprivničko-križevačka;48325  Novigrad Podravski;ured@os-bmadjera-novigrad-podravski.skole.hr;http://www.os-bmadjera-novigrad-podravski.skole.hr;http://www.os-bmadjera-novigrad-podravski.skole.hr
Osnovna škola ANDRIJE PALMOVIĆA;Osnovna škola;06-253-001;0-0;Koprivničko-križevačka;48312  Rasinja;ured@os-apalmovica-rasinja.skole.hr;NA;www.os-apalmovica-rasinja.skole.hr
OSNOVNA ŠKOLA SOKOLOVAC;Osnovna škola;06-254-001;0-0;Koprivničko-križevačka;48306  Sokolovac;ured@os-sokolovac.skole.hr;www.os-sokolovac.skole.hr;www.os-sokolovac.skole.hr
OSNOVNA ŠKOLA SVETI PETAR OREHOVEC;Osnovna škola;06-255-001;0-0;Koprivničko-križevačka;48267  Sveti Petar Orehovec;ured@os-sveti-petar-orehovec.skole.hr;www.os-sveti-petar-orehovec.skole.hr ;www.os-sveti-petar-orehovec.skole.hr 
OSNOVNA ŠKOLA SIDONIJE RUBIDO ERDODY;Osnovna škola;06-255-002;0-0;Koprivničko-križevačka;48268  Gornja Rijeka;os.sidonije.rubido.erddy.gornja.rijeka@kc.t-com.hr;NA;http://os-srerdody-gornjarijeka.skole.hr/
OSNOVNA ŠKOLA KLOŠTAR PODRAVSKI;Osnovna škola;06-256-001;0-0;Koprivničko-križevačka;48362  Kloštar Podravski;ured@os-klostar-podravski.skole.hr;os-klostar-podravski.skole.hr;os-klostar-podravski.skole.hr
"OSNOVNA ŠKOLA ""GRIGOR VITEZ""";Osnovna škola;06-257-001;0-0;Koprivničko-križevačka;48214  Sveti Ivan Žabno;ured@os-gvitez-zabno.skole.hr;http://os-gvitez-zabno.skole.hr;http://os-gvitez-zabno.skole.hr
OSNOVNA ŠKOLA MOLVE;Osnovna škola;06-258-001;0-0;Koprivničko-križevačka;48327  Molve;ivan.jakovic1@os-molve.skole.hr;NA;www.os-molve.skole.hr
OSNOVNA ŠKOLA FERDINANDOVAC;Osnovna škola;06-259-001;0-0;Koprivničko-križevačka;48356  Ferdinandovac;danijela.begovic@skole.hr , racunovodstvo-os-ferdinandovac@kckzz.hr  , ured@os-ferdinandovac.skole.hr ;http://www.os-ferdinandovac.skole.hr;http://www.os-ferdinandovac.skole.hr
OSNOVNA ŠKOLA PROF. FRANJE VIKTORA ŠIGNJARA;Osnovna škola;06-260-001;0-0;Koprivničko-križevačka;48326  Virje;skola@os-fvsignjara-virje.skole.hr;http://www.os-fvsignjara-virje.skole.hr/;http://www.os-fvsignjara-virje.skole.hr/
OSNOVNA ŠKOLA IVAN LACKOVIĆ CROATA KALINOVAC;Osnovna škola;06-559-001;0-0;Koprivničko-križevačka;48361  Kalinovac;mirjana.bazijanec@skole.hr , racunovodstvo.os.kalinovac@gmail.com , ured@os-kalinovac.skole.hr ;NA;www.os-kalinovac.skole.hr
OSNOVNA ŠKOLA KALNIK;Osnovna škola;06-560-001;0-0;Koprivničko-križevačka;48269  Kalnik;os-kalnik@kc.t-com.hr , ured@os-kalnik.skole.hr , racunovodstvo-os-kalnik-001@kckzz.hr;http://www.os-kalnik.skole.hr/;http://www.os-kalnik.skole.hr/
I. OSNOVNA  ŠKOLA BJELOVAR;Osnovna škola;07-004-001;0-0;Bjelovarsko-bilogorska;43000  Bjelovar;tajnistvo@1osb.ims.hr , prva.bj@os-prva-bj.skole.hr  , ravnatelj@1osb.ims.hr , tajnistvo@1osb.ims.hr;http://www.os-prva-bj.skole.hr/;http://www.os-prva-bj.skole.hr/
II. OSNOVNA  ŠKOLA  BJELOVAR;Osnovna škola;07-004-002;0-0;Bjelovarsko-bilogorska;43000  Bjelovar;2.os-bjelovar@bj.t-com.hr , ssluzba@os-druga-bj.skole.hr , ines.kapsa@skole.hr , tajnistvo@os-druga-bj.skole.hr , ured@os-druga-bj.skole.hr , ured@os-druga.bj.skole.hr;NA;www.os-druga-bj.skole.hr
III. OSNOVNA  ŠKOLA  BJELOVAR;Osnovna škola;07-004-003;0-0;Bjelovarsko-bilogorska;43000  Bjelovar;ured@os-treca-bj.skole.hr;http://os-treca-bj.skole.hr/;http://os-treca-bj.skole.hr/
IV. OSNOVNA  ŠKOLA  BJELOVAR;Osnovna škola;07-004-004;0-0;Bjelovarsko-bilogorska;43000  Bjelovar;ured@os-cetvrta-bj.skole.hr;os-cetvrta-bj.skole.hr;os-cetvrta-bj.skole.hr
V OSNOVNA ŠKOLA;Osnovna škola;07-004-005;0-0;Bjelovarsko-bilogorska;43000  Bjelovar;skola@os-peta-bj.skole.hr , skola@os-peta-bj.skole.hr;NA;www.os-peta-bj.skole.hr
OSNOVNA ŠKOLA ČAZMA;Osnovna škola;07-011-001;0-0;Bjelovarsko-bilogorska;43240  Čazma;ured@os-cazma.skole.hr;www.os-cazma.skole.hr;www.os-cazma.skole.hr
